type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,basel-landschaft,,4132 Muttenz,auf Anfrage,Garage,Nach Vereinbarung,Einfamilienhaus,4.5,,260 m²,838 m²,,1978,2022,,
haus,basel-landschaft,"Rebgasse 31, ",4102 Binningen, 3010980.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Garage, Neubau, Minergie zertifiziert, Minergie Bauweise",Sofort,Einfamilienhaus,3.5,2,230 m²,265 m²,950 m³,2024,,,
haus,basel-landschaft,"Landskronweg 15, ",4107 Ettingen, 1938840.– ,"Balkon / Terrasse, Cheminée, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Neubau, Minergie Bauweise",Nach Vereinbarung,Einfamilienhaus,3.5,1,130 m²,601 m²,1226 m³,2016,2016,,2.6
haus,basel-landschaft,"Zunzgerstrasse 28, ",4450 Sissach, 1206960.– ,Parkplatz,Sofort,Einfamilienhaus,4.5,4,240 m²,332 m²,1035 m³,1906,2008,,2.5
haus,basel-landschaft,"Schöntalstrasse 11, ",4438 Langenbruck, 1919580.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich",Sofort,Einfamilienhaus,5,4,520 m²,358 m²,1430 m³,1888,,3,
haus,basel-landschaft,"Schöntalstrasse 11, ",4438 Langenbruck, 1919580.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich",Sofort,Mehrfamilienhaus,5,4,520 m²,358 m²,1430 m³,1888,,3,
haus,basel-landschaft,,4438 Langenbruck, 2099340.– ,,Sofort,Mehrfamilienhaus,12,,770 m²,4160 m²,,1680,,6,
haus,basel-landschaft,"Lerchenstrasse 51, ",4103 Bottmingen, 1579320.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Mittelhaus",Sofort,Reihenfamilienhaus,3.5,,180 m²,147 m²,573 m³,1970,,,
haus,basel-landschaft,"Feldstrasse 70, ",4123 Allschwil, 2028720.– ,"Balkon / Terrasse, Mit Gartenhaus, Kinderfreundlich",Sofort,Einfamilienhaus,3.5,3,210 m²,243 m²,847 m³,1933,,3,
haus,basel-landschaft,"Florastrasse 15, ",4153 Reinach, 1534380.– ,"Balkon / Terrasse, Kinderfreundlich",Sofort,Einfamilienhaus,3.5,4,190 m²,187 m²,662 m³,1960,,,
haus,basel-landschaft,"Mühlemattstrasse 28, ",4414 Füllinsdorf, 2285520.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau, Minergie zertifiziert, Minergie Bauweise",01.01.2026,Einfamilienhaus,3,5,250 m²,283 m²,1069 m³,2024,,,
haus,basel-landschaft,"Im Strengigarten 11, ",4123 Allschwil, 1592160.– ,"Haustiere erlaubt, Balkon / Terrasse, Kinderfreundlich, Parkplatz, Im Baurecht, Neubau, Eckhaus",01.12.2024,Reihenfamilienhaus,3.5,4,220 m²,179 m²,,2023,,1,240
haus,basel-landschaft,"Bündtenweg 33, ",4244 Röschenz, 1649940.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Parkplatz, Neubau",Nach Vereinbarung,Einfamilienhaus,3,,200 m²,427 m²,825 m³,2023,,,
haus,basel-landschaft,"Oberer Sonnhaldenweg, ",4450 Sissach, 2529480.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Kabel-TV, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau, Minergie zertifiziert",Nach Vereinbarung,Einfamilienhaus,3.5,3,270 m²,511 m²,1040 m³,2024,,,
haus,basel-landschaft,"Sonnenweg, ",4242 Laufen, 1765500.– ,"Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,,220 m²,411 m²,,2025,,,
