type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,genf,,1228 Plan-les-Ouates, 2496600.– ,"Parkplatz, Neubau",Nach Vereinbarung,Einfamilienhaus,4,,270,,,,,,
haus,genf,,1218 Le Grand-Saconnex, 2220660.– ,"Garage, Neubau",01.07.2025,Reihenfamilienhaus,4,,160,,,,,,
haus,genf,,1213 Petit-Lancy, 2614860.– ,"Parkplatz, Neubau",01.06.2025,Doppeleinfamilienhaus,4.5,,210,450,,,,,
haus,genf,,1213 Onex, 3087900.– ,"Kinderfreundlich, Neubau, Mittelhaus",01.07.2026,Villa,3,,180,806,,2026,,,
haus,genf,,1245 Collonge-Bellerive, 12088800.– ,"Balkon / Terrasse, Cheminée, Parkplatz, Swimmingpool, Neubau",Sofort,Einfamilienhaus,6,,520,1500,,,,,
haus,genf,,1223 Cologny,auf Anfrage,"Balkon / Terrasse, Cheminée, Lift, Swimmingpool, Neubau",Nach Vereinbarung,Villa,7,,770,3184,,2022,,1,
haus,genf,,1222 Vésenaz, 4599000.– ,"Balkon / Terrasse, Kinderfreundlich, Neubau",Nach Vereinbarung,Einfamilienhaus,4,,,396,,2023,,,
haus,genf,,1213 Onex, 2562300.– ,"Kinderfreundlich, Neubau, Mittelhaus",01.07.2026,Villa,3,,180,320,,2026,,,
haus,genf,,1293 Bellevue, 3928860.– ,"Balkon / Terrasse, Kinderfreundlich, Neubau",Nach Vereinbarung,Einfamilienhaus,4,,200,494,,2024,,,
haus,genf,,1293 Bellevue, 3705480.– ,"Balkon / Terrasse, Kinderfreundlich, Neubau",Nach Vereinbarung,Einfamilienhaus,4,,210,288,,2024,,,
haus,genf,,1232 Confignon, 3179880.– ,"Balkon / Terrasse, Neubau, Eckhaus",Sofort,Doppeleinfamilienhaus,4.5,,230,212,,2024,,1,
haus,genf,,1226 Thônex, 2220660.– ,Neubau,Nach Vereinbarung,Villa,4,,200,312,,,,,
haus,genf,,1226 Thônex, 2352060.– ,"Balkon / Terrasse, Ruhige Lage, Neubau, Minergie Bauweise",01.12.2025,Reihenfamilienhaus,4.5,1,150,161,,2025,,,
haus,genf,,1218 Le Grand-Saconnex, 2470320.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Neubau",Sofort,Einfamilienhaus,,,160,285,,,,,
haus,genf,,1232 Confignon, 3403260.– ,"Balkon / Terrasse, Neubau, Eckhaus",Sofort,Doppeleinfamilienhaus,4.5,,230,590,,2024,,1,
haus,genf,,1213 Onex, 2956500.– ,"Kinderfreundlich, Neubau, Mittelhaus",01.07.2026,Villa,3,,190,313,,2026,,,
haus,genf,"Veyrier, ",1255 Veyrier, 2877660.– ,"Balkon / Terrasse, Aussicht, Parkplatz, Garage",01.07.2024,Reihenfamilienhaus,4.5,2,230,513,900,1972,2013,,
haus,genf,"Plan-les-Ouates, ",1228 Plan-les-Ouates, 3337560.– ,"Balkon / Terrasse, Cheminée, Parkplatz, Garage",Sofort,Einfamilienhaus,4,2,330,1038,1150,1980,,,
haus,genf,"Collex, ",1239 Collex, 2358630.– ,"Balkon / Terrasse, Parkplatz, Garage",Nach Vereinbarung,Reihenfamilienhaus,4.5,4,240,263,610,2002,,,
haus,genf,"Chemin de Lacolat 7, ",1226 Thônex, 3015630.– ,"Balkon / Terrasse, Cheminée, Parkplatz, Garage",Sofort,Reihenfamilienhaus,5.5,3,320,852,1288,1972,,,
haus,genf,,1292 Chambésy, 3416400.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,4.5,1,190,800,870,1946,2009,,2.75
haus,genf,"Avenue Petit-Senn 46, ",1225 Chêne-Bourg, 2430900.– ,"Balkon / Terrasse, Cheminée, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift",Nach Vereinbarung,Einfamilienhaus,4,2,240,285,,2003,,,1
haus,genf,,1246 Corsier GE,auf Anfrage,"Balkon / Terrasse, Parkplatz, Garage",Sofort,Villa,4,3,190,580,,,,,
haus,genf,,1234 Vessy, 5420250.– ,,Nach Vereinbarung,Einfamilienhaus,,,320,1200,,,,,
haus,genf,,1233 Bernex, 4191660.– ,"Swimmingpool, Neubau",01.08.2025,Einfamilienhaus,4,,,833,,2024,,,
haus,genf,,1281 Russin, 2746260.– ,Parkplatz,Nach Vereinbarung,Einfamilienhaus,7,,,450,1153,1890,,,
haus,genf,"Chemin de la Mousse 53A, ",1226 Thônex, 2233800.– ,"Kinderfreundlich, Minergie Bauweise, Mittelhaus",Nach Vereinbarung,Reihenfamilienhaus,3,,160,137,,2019,,,
haus,genf,"Route de Base 84, ",1258 Perly, 2299500.– ,"Balkon / Terrasse, Kinderfreundlich",Nach Vereinbarung,Reihenfamilienhaus,4,,190,358,,1976,2010,,
haus,genf,"Chemin Monplaisir 3, ",1224 Chêne-Bougeries, 5650200.– ,"Balkon / Terrasse, Cheminée, Aussicht, Parkplatz, Garage, Neubau, Minergie zertifiziert, Minergie Bauweise",Nach Vereinbarung,Villa,4,1,290,452,,2023,,,
haus,genf,,1226 Thônex, 2246940.– ,"Balkon / Terrasse, Ruhige Lage, Neubau, Minergie Bauweise",01.12.2025,Reihenfamilienhaus,4.5,1,150,,,,,,
haus,genf,,1218 Le Grand-Saconnex, 2470320.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz",01.09.2025,Einfamilienhaus,,,160,285,,,,,
haus,genf,,1222 Vésenaz,auf Anfrage,"Balkon / Terrasse, Cheminée, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Terrassenhaus,6,2,520,1900,,,,,
haus,genf,"Villa idéalement située, proche des grands axes, ",1218 Le Grand-Saconnex, 4993200.– ,,Nach Vereinbarung,Einfamilienhaus,5,,280,,,1961,2003,,
haus,genf,"Quartier résidentiel de maisons, ",1214 Vernier, 2628000.– ,,Nach Vereinbarung,Einfamilienhaus,4,3,250,,777,2007,,,
haus,genf,"Villa de haut-standing, ",1293 Bellevue,auf Anfrage,,31.12.2025,Einfamilienhaus,4,2,,,,2024,,,
haus,genf,"Villa de haut-standing, ",1293 Bellevue,auf Anfrage,,31.12.2025,Einfamilienhaus,4,2,,,,2024,,,
haus,genf,"Villa de haut-standing, ",1293 Bellevue,auf Anfrage,,31.12.2025,Einfamilienhaus,4,2,,,,2024,,,
haus,genf,"Rive Gauche, ",1223 Cologny,auf Anfrage,,Nach Vereinbarung,Einfamilienhaus,8,,450,,,,,1,
haus,genf,"Choulex, ",1244 Choulex,auf Anfrage,,Nach Vereinbarung,Schloss,16,,1330,,,,2010,2,
haus,genf,"Cologny, ",1223 Cologny,auf Anfrage,,Nach Vereinbarung,Einfamilienhaus,6,,550,,,1980,1993,,
haus,genf,"Collonge-Bellerive, ",1245 Collonge-Bellerive, 14454000.– ,,Nach Vereinbarung,Einfamilienhaus,6,,,,,1987,2012,2,
haus,genf,"Bellevue, ",1293 Bellevue, 9198000.– ,,Nach Vereinbarung,Einfamilienhaus,7,,,,,,,,
haus,genf,"Vandoeuvres, ",1253 Vandoeuvres,auf Anfrage,,Nach Vereinbarung,Einfamilienhaus,7,,,,,1959,,1,
haus,genf,"Vésenaz, ",1222 Vésenaz,auf Anfrage,,Nach Vereinbarung,Einfamilienhaus,4,,,,,2025,,,
