type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,tessin?map=true&pf=2500000,"Via Albaredo 22, ",6645 Brione sopra Minusio, 3823200.– ,"Balkon / Terrasse, Mit Gartenhaus, Cheminée, Kinderfreundlich, Parkplatz, Garage, Swimmingpool, Bauland erschlossen",Sofort,Villa,4.5,,300,2208,,1930,2020,,
haus,tessin?map=true&pf=2500000,,6924 Sorengo, 9007200.– ,"Aussicht, Garage, Lift, Swimmingpool",Nach Vereinbarung,Villa,6.5,4,650,1290,,2002,,,
haus,tessin?map=true&pf=2500000,,6949 Comano, 3369600.– ,"Cheminée, Aussicht, Parkplatz",Nach Vereinbarung,Villa,4.5,4,310,958,,1600,2000,,
haus,tessin?map=true&pf=2500000,,6949 Comano, 5508000.– ,"Cheminée, Aussicht, Parkplatz, Garage, Lift",Nach Vereinbarung,Villa,5.5,3,490,1298,,2002,2004,,
haus,tessin?map=true&pf=2500000,,6914 Carona, 6415200.– ,"Balkon / Terrasse, Cheminée, Rollstuhlgängig, Parkplatz, Lift",Nach Vereinbarung,Villa,6,3,1250,2364,,1992,2006,,
haus,tessin?map=true&pf=2500000,,6518 Gorduno, 3823200.– ,"Cheminée, Parkplatz",Nach Vereinbarung,Einfamilienhaus,9,2,850,1756,,2010,,,
haus,tessin?map=true&pf=2500000,,6500 Bellinzona, 5961600.– ,"Cheminée, Aussicht, Parkplatz, Lift",Nach Vereinbarung,Villa,18,,920,1340,,1981,,,
haus,tessin?map=true&pf=2500000,,6952 Canobbio, 3888000.– ,"Aussicht, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Villa,6.5,3,520,1183,,1978,1990,,
haus,tessin?map=true&pf=2500000,"Via alla Selva 44, ",6645 Brione sopra Minusio, 4121280.– ,"Balkon / Terrasse, Parkplatz, Garage",Nach Vereinbarung,Villa,5.5,,310,534,,1974,2014,,
haus,tessin?map=true&pf=2500000,"Via Soldini 2A, ",6830 Chiasso, 6350400.– ,,Nach Vereinbarung,Mehrfamilienhaus,,7,1780,475,,1960,2021,,
haus,tessin?map=true&pf=2500000,"Piazza Boffalora 2 + 3, ",6830 Chiasso, 18792000.– ,,Nach Vereinbarung,Mehrfamilienhaus,,6,5970,2254,,1950,2021,,
haus,tessin?map=true&pf=2500000,"Contrada Cavallier Pellanda 3, ",6710 Biasca, 3369600.– ,Balkon / Terrasse,Nach Vereinbarung,Mehrfamilienhaus,10,,590,,,2020,,,
haus,tessin?map=true&pf=2500000,"Via Casarico, ",6900 Lugano, 4147200.– ,"Cheminée, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Villa,4,2,330,600,,2004,,,
haus,tessin?map=true&pf=2500000,"Via Marianda, ",6926 Montagnola, 4924800.– ,"Parkplatz, Swimmingpool",Nach Vereinbarung,Villa,4.5,,670,877,,1980,,,
haus,tessin?map=true&pf=2500000,,6900 Lugano, 5171040.– ,,Nach Vereinbarung,Villa,4,,420,919,,2007,,,
haus,tessin?map=true&pf=2500000,"Via dei Castagni, ",6645 Brione sopra Minusio, 9072000.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Swimmingpool, Neubau",Nach Vereinbarung,Villa,3.5,,510,,,2026,,,
haus,tessin?map=true&pf=2500000,"Via ai Ronchi 3, ",6930 Bedano, 4147200.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Cheminée, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Swimmingpool, Stromanschluss, Wasseranschluss, Abwasseranschluss",Sofort,Villa,6.5,3,850,1391,,,,,
haus,tessin?map=true&pf=2500000,"Via ai Ronchi 3, ",6930 Bedano, 4147200.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Cheminée, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Swimmingpool, Stromanschluss, Wasseranschluss, Abwasseranschluss",Sofort,Villa,6.5,3,850,1391,,,,,
haus,tessin?map=true&pf=2500000,"Via ai Ronchi 3, ",6930 Bedano, 4147200.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Cheminée, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Swimmingpool, Stromanschluss, Wasseranschluss, Abwasseranschluss",Sofort,Villa,6.5,3,850,1391,,,,,
haus,tessin?map=true&pf=2500000,"via Al Roccolo, ",6900 Lugano, 4536000.– ,"Parkplatz, Garage",Nach Vereinbarung,Villa,3,4,460,,,2014,,,
haus,tessin?map=true&pf=2500000,"via Minigera, ",6926 Montagnola, 16200000.– ,"Lift, Swimmingpool",Nach Vereinbarung,Villa,4.5,,840,343,,2019,,,
haus,tessin?map=true&pf=2500000,,6919 Carabietta, 5832000.– ,"Cheminée, Parkplatz, Swimmingpool",Nach Vereinbarung,Villa,4,,710,1396,,1970,,,
haus,tessin?map=true&pf=2500000,"Riva Valbella, ",6926 Montagnola, 12960000.– ,"Cheminée, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Villa,4,,680,1441,,,,,
haus,tessin?map=true&pf=2500000,"Breganzona, ",6900 Lugano, 10238400.– ,"Cheminée, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Villa,5,,770,2400,,,,,
haus,tessin?map=true&pf=2500000,"Via centro tv, ",6949 Comano, 3875040.– ,"Parkplatz, Swimmingpool",Nach Vereinbarung,Villa,7,,440,218,,2019,,,
haus,tessin?map=true&pf=2500000,"Neggio Via San Gi, ",6991 Neggio, 16200000.– ,Parkplatz,Nach Vereinbarung,Villa,13,,1550,50000,,,,,
haus,tessin?map=true&pf=2500000,,6644 Orselina, 3758400.– ,"Cheminée, Aussicht, Parkplatz",Nach Vereinbarung,Villa,3.5,3,230,1067,,1904,2006,,
haus,tessin?map=true&pf=2500000,,6600 Locarno, 3304800.– ,"Cheminée, Aussicht, Parkplatz, Lift, Swimmingpool",Nach Vereinbarung,Villa,3.5,3,200,1140,,2007,,,
haus,tessin?map=true&pf=2500000,,6516 Cugnasco, 6467040.– ,"Balkon / Terrasse, Cheminée, Aussicht, Parkplatz, Swimmingpool",Nach Vereinbarung,Villa,8,2,740,6428,,,2022,,
haus,tessin?map=true&pf=2500000,,6976 Castagnola, 5119200.– ,"Cheminée, Aussicht, Parkplatz, Garage, Lift",Nach Vereinbarung,Villa,4.5,3,450,440,,1984,,,
haus,tessin?map=true&pf=2500000,,6822 Arogno, 3823200.– ,"Cheminée, Aussicht, Garage",Nach Vereinbarung,Villa,4.5,3,450,51249,,1850,2006,,
haus,tessin?map=true&pf=2500000,,6932 Breganzona, 6350400.– ,"Aussicht, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Villa,3.5,2,340,1103,,2007,,,
haus,tessin?map=true&pf=2500000,,6945 Origlio, 7776000.– ,"Cheminée, Aussicht, Swimmingpool",Nach Vereinbarung,Villa,5,1,470,2466,,1989,2013,,
haus,tessin?map=true&pf=2500000,,6900 Lugano, 4924800.– ,"Cheminée, Aussicht, Parkplatz, Lift",Nach Vereinbarung,Villa,4,4,490,497,,2006,2015,,
haus,tessin?map=true&pf=2500000,"via Massago, ",6977 Lugano, 11534400.– ,,Nach Vereinbarung,Villa,8,,2590,2400,,1965,,,
haus,tessin?map=true&pf=2500000,,6612 Ascona, 7257600.– ,"Cheminée, Aussicht, Parkplatz, Swimmingpool",Nach Vereinbarung,Villa,4.5,,250,718,,1970,2022,,
haus,tessin?map=true&pf=2500000,,6612 Ascona, 5508000.– ,"Cheminée, Aussicht, Parkplatz",Nach Vereinbarung,Villa,4,2,330,951,,1956,,,
haus,tessin?map=true&pf=2500000,,6935 Bosco Luganese, 5119200.– ,"Cheminée, Aussicht, Parkplatz",Nach Vereinbarung,Villa,4.5,1,280,3581,,,2001,,
haus,tessin?map=true&pf=2500000,,6648 Minusio, 3823200.– ,"Cheminée, Aussicht, Parkplatz",Nach Vereinbarung,Villa,3.5,,180,1790,,1957,2009,,
haus,tessin?map=true&pf=2500000,,6850 Mendrisio, 4276800.– ,"Cheminée, Parkplatz, Garage",Nach Vereinbarung,Villa,6.5,2,510,1132,,1985,2000,,
haus,tessin?map=true&pf=2500000,,6614 Brissago, 5948640.– ,"Cheminée, Aussicht, Parkplatz, Swimmingpool",Nach Vereinbarung,Villa,5.5,,280,5685,,1971,2013,,
haus,tessin?map=true&pf=2500000,,6925 Gentilino, 5819040.– ,"Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Villa,3,3,420,659,,2018,,,
haus,tessin?map=true&pf=2500000,,6987 Caslano, 7711200.– ,"Balkon / Terrasse, Cheminée, Aussicht, Parkplatz, Swimmingpool",Nach Vereinbarung,Villa,4.5,2,330,1771,,2008,,,
haus,tessin?map=true&pf=2500000,,6622 Ronco sopra Ascona, 7711200.– ,"Balkon / Terrasse, Cheminée, Aussicht, Parkplatz, Swimmingpool",Nach Vereinbarung,Villa,5,3,490,2276,,1950,2009,,
haus,tessin?map=true&pf=2500000,,6612 Ascona, 8877600.– ,"Cheminée, Aussicht, Parkplatz, Lift",Nach Vereinbarung,Villa,4,4,550,675,,1978,2011,,
haus,tessin?map=true&pf=2500000,,6921 Vico Morcote, 5508000.– ,"Aussicht, Parkplatz, Swimmingpool",Nach Vereinbarung,Villa,3.5,3,340,,,2020,,,
haus,tessin?map=true&pf=2500000,"Piazza Giuseppe Motta 2, ",6818 Melano, 4276800.– ,"Balkon / Terrasse, Kabel-TV, Ruhige Lage, Kinderfreundlich, Altbau",Nach Vereinbarung,Mehrfamilienhaus,,4,680,250,,1920,2021,,
haus,tessin?map=true&pf=2500000,,6614 Brissago, 8424000.– ,"Cheminée, Aussicht, Parkplatz, Lift, Swimmingpool",Nach Vereinbarung,Villa,4.5,2,430,1995,,2012,,,
haus,tessin?map=true&pf=2500000,,6914 Carona, 6480000.– ,"Cheminée, Aussicht, Parkplatz, Swimmingpool",Nach Vereinbarung,Villa,7.5,2,610,1252,,2011,,,
haus,tessin?map=true&pf=2500000,,6648 Minusio, 4860000.– ,"Aussicht, Garage, Lift, Swimmingpool",Nach Vereinbarung,Einfamilienhaus,2,2,220,564,,2013,,,
haus,tessin?map=true&pf=2500000,"via Centro TV 13, ",6949 Comano, 3875040.– ,"Balkon / Terrasse, Cheminée, Parkplatz, Swimmingpool",Nach Vereinbarung,Villa,7,,440,,,2020,,,
haus,tessin?map=true&pf=2500000,,6648 Minusio, 3823200.– ,"Balkon / Terrasse, Cheminée, Aussicht, Parkplatz",Nach Vereinbarung,Villa,7.5,3,590,1312,,1750,1997,,
haus,tessin?map=true&pf=2500000,,6982 Agno, 4600800.– ,"Cheminée, Aussicht, Parkplatz, Garage",Nach Vereinbarung,Villa,5.5,2,580,4391,,,,,
haus,tessin?map=true&pf=2500000,"via la monda 1, ",6703 Osogna, 4082400.– ,"Parkplatz, Garage, Lift",Nach Vereinbarung,Mehrfamilienhaus,17,,1030,,,2021,,,
haus,tessin?map=true&pf=2500000,"Vicolo del Municipio 2, ",6988 Ponte Tresa, 5119200.– ,"Balkon / Terrasse, Kabel-TV, Ruhige Lage, Kinderfreundlich, Altbau",Nach Vereinbarung,Mehrfamilienhaus,,5,940,352,,1920,2021,,
haus,tessin?map=true&pf=2500000,,6983 Magliaso, 3369600.– ,"Cheminée, Aussicht, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Villa,3.5,2,220,1023,,,,,
haus,tessin?map=true&pf=2500000,"via Monte Generoso, ",6873 Castel San Pietro, 3240000.– ,"Cheminée, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Villa,5.5,,580,4000,,1965,,,
haus,tessin?map=true&pf=2500000,,6977 Ruvigliana, 7452000.– ,"Cheminée, Swimmingpool, Gasanschluss",Nach Vereinbarung,Villa,4.5,2,460,675,,,2017,,
haus,tessin?map=true&pf=2500000,,6883 Novazzano, 3693600.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Villa,4,,460,1730,,1991,,,
haus,tessin?map=true&pf=2500000,"via collina, ",6816 Bissone, 4536000.– ,"Parkplatz, Garage, Lift, Swimmingpool",Nach Vereinbarung,Villa,3.5,,390,,,2023,,,
haus,tessin?map=true&pf=2500000,"Villaggio Olivella 27, ",6921 Vico Morcote, 5184000.– ,,Nach Vereinbarung,Villa,7.5,,550,1125,,1973,2010,,
haus,tessin?map=true&pf=2500000,"Via Montalbano, ",6925 Gentilino, 5601310.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Swimmingpool",Sofort,Villa,3.5,,290,,,1979,2012,,
haus,tessin?map=true&pf=2500000,"1, ",6966 Villa Luganese, 3628800.– ,"Haustiere erlaubt, Cheminée, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Swimmingpool",Sofort,Villa,3.5,,320,,,,,,
haus,tessin?map=true&pf=2500000,"Via Cossio 9, ",6965 Lugano, 3758400.– ,Parkplatz,Nach Vereinbarung,Villa,3,3,410,800,,,,1,
haus,tessin?map=true&pf=2500000,"., ",6900 Lugano, 4989600.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Lift, Swimmingpool",Sofort,Villa,4,3,490,2015,,,2018,,
haus,tessin?map=true&pf=2500000,"., ",6921 Vico Morcote, 4989600.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Lift, Swimmingpool",Sofort,Villa,4,3,490,2015,,,2018,,
haus,tessin?map=true&pf=2500000,,6883 Novazzano, 4536000.– ,"Aussicht, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Villa,5,,690,1311,,1983,2021,,
haus,tessin?map=true&pf=2500000,,6835 Morbio Superiore, 3758400.– ,"Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,7.5,,1080,1900,,1967,,,
haus,tessin?map=true&pf=2500000,"Via Costa di Fuori 44, ",6614 Brissago, 7711200.– ,"Mit Gartenhaus, Cheminée, Swimmingpool",Nach Vereinbarung,Villa,3.5,,430,931,,2009,2019,,
haus,tessin?map=true&pf=2500000,,6612 Ascona, 5119200.– ,"Cheminée, Parkplatz, Garage",Nach Vereinbarung,Villa,3.5,,230,688,,1997,,,
haus,tessin?map=true&pf=2500000,,6600 Locarno, 4276800.– ,"Balkon / Terrasse, Parkplatz, Swimmingpool",Nach Vereinbarung,Villa,4.5,2,310,819,,1986,,,
haus,tessin?map=true&pf=2500000,,6919 Carabietta, 5832000.– ,"Haustiere erlaubt, Balkon / Terrasse, Garage, Swimmingpool",Nach Vereinbarung,Einfamilienhaus,5.5,,480,1396,,1970,,1,2
