type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,waadt?map=false&pf=1250000&pt=1500000,"Chemin de Valacrêt 5, ",1510 Moudon, 1675350.– ,"Balkon / Terrasse, Cheminée, Aussicht, Rollstuhlgängig, Parkplatz, Garage, Altbau",Nach Vereinbarung,Villa,6,2,240,4027,960,1959,2018,,
haus,waadt?map=false&pf=1250000&pt=1500000,,1864 Vers-l'Eglise,auf Anfrage,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Altbau",Sofort,Chalet,5.5,2,260,500,650,1800,2023,,8
haus,waadt?map=false&pf=1250000&pt=1500000,,1814 La Tour-de-Peilz, 1806750.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage",01.08.2024,Reihenfamilienhaus,4.5,3,210,180,654,2001,2024,,2.4
haus,waadt?map=false&pf=1250000&pt=1500000,,1807 Blonay, 1905300.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau",Sofort,Doppeleinfamilienhaus,4.5,2,170,872,,2017,,,
haus,waadt?map=false&pf=1250000&pt=1500000,,1589 Chabrey, 1705570.– ,"Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,4,,230,843,900,,,,
haus,waadt?map=false&pf=1250000&pt=1500000,"Rue de la Potale, ",1148 L'Isle, 1905300.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz",Nach Vereinbarung,Einfamilienhaus,4.5,2,320,1379,1092,,2020,,
haus,waadt?map=false&pf=1250000&pt=1500000,,1073 Savigny, 1721340.– ,"Balkon / Terrasse, Ruhige Lage, Kinderfreundlich, Parkplatz, Neubau, Minergie zertifiziert, Minergie Bauweise",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,,,500,710,2023,,,
haus,waadt?map=false&pf=1250000&pt=1500000,,1073 Savigny, 1681920.– ,"Balkon / Terrasse, Parkplatz, Garage, Neubau",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,,150,500,,2023,,,
haus,waadt?map=false&pf=1250000&pt=1500000,,1073 Savigny, 1721340.– ,"Balkon / Terrasse, Ruhige Lage, Kinderfreundlich, Parkplatz, Neubau, Minergie zertifiziert, Minergie Bauweise",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,,,500,710,2023,,,
haus,waadt?map=false&pf=1250000&pt=1500000,,1530 Payerne,auf Anfrage,"Balkon / Terrasse, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Neubau, Minergie zertifiziert",Sofort,Einfamilienhaus,3.5,3,190,,,2024,,,
haus,waadt?map=false&pf=1250000&pt=1500000,,1297 Founex,auf Anfrage,"Balkon / Terrasse, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,5.5,,420,,,2024,,1,
