type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,wallis?map=false&pf=1500000,"Rue des audannes 8b, ",1972 Anzère, 2168100.– ,"Balkon / Terrasse, Reduit, Geschirrspüler, Kabel-TV, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage",Sofort,Chalet,4.5,2,390,580,,,,,
haus,wallis?map=false&pf=1500000,"Rue de Lausanne 118, ",1950 Sion, 4599000.– ,"Balkon / Terrasse, Parkplatz, Garage, Altbau",Nach Vereinbarung,Mehrfamilienhaus,,4,910,1050,2382,1971,,,
haus,wallis?map=false&pf=1500000,"Rue du Wildhorn 5, ",1972 Anzère, 2200950.– ,"Balkon / Terrasse, Cheminée, Parkplatz",Sofort,Chalet,5,,450,1645,,1972,2020,,
haus,wallis?map=false&pf=1500000,"Chemin de Ladray 40, ",1922 Salvan, 2884230.– ,"Balkon / Terrasse, Cheminée, Aussicht, Parkplatz",Sofort,Chalet,8,,300,3512,,1990,2023,,
haus,wallis?map=false&pf=1500000,,1950 Sion, 2759400.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Neubau",Sofort,Einfamilienhaus,4.5,3,320,700,977,2020,,,
haus,wallis?map=false&pf=1500000,"Chemin des Chevreuils 5, ",1873 Les Crosets, 3547800.– ,,Nach Vereinbarung,Chalet,6,,380,1021,,2008,,1,
haus,wallis?map=false&pf=1500000,,1965 Savièse,auf Anfrage,"Balkon / Terrasse, Cheminée, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Altbau",Sofort,Chalet,3,2,58,1800,180,,,,2.1
haus,wallis?map=false&pf=1500000,,1875 Morgins, 2614860.– ,"Rollstuhlgängig, Parkplatz",Nach Vereinbarung,Chalet,4,,260,710,1846,,,,
haus,wallis?map=false&pf=1500000,,1874 Champéry, 3547800.– ,"Parkplatz, Garage",Nach Vereinbarung,Chalet,4,,350,2071,1340,,,,
haus,wallis?map=false&pf=1500000,"Route Cantonale 57, ",1898 Saint-Gingolph, 4585860.– ,"Balkon / Terrasse, Cheminée, Aussicht",Sofort,Villa,5,3,270,2057,,1925,,,
haus,wallis?map=false&pf=1500000,,1873 Les Crosets, 3580650.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Garage",Nach Vereinbarung,Chalet,6,,290,850,,2008,,1,
haus,wallis?map=false&pf=1500000,"Chemin de la Bergerie 38, ",1936 Verbier, 13074300.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Neubau, Minergie Bauweise",Nach Vereinbarung,Chalet,4,,410,681,,2024,,2,
haus,wallis?map=false&pf=1500000,,1987 Hérémence, 2168100.– ,"Balkon / Terrasse, Kabel-TV, Parkplatz, Garage, Lift, Swimmingpool, Neubau",Nach Vereinbarung,Chalet,4.5,2,270,,,2024,,1,
haus,wallis?map=false&pf=1500000,,1926 Fully,auf Anfrage,"Aussicht, Garage, Neubau",31.08.2024,Doppeleinfamilienhaus,4.5,,200,,,2024,,,
haus,wallis?map=false&pf=1500000,"Aegärtustrasse 11, ",3916 Ferden,auf Anfrage,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau",Sofort,Einfamilienhaus,3.5,2,150,290,486,2024,,,2.6
haus,wallis?map=false&pf=1500000,,1978 Lens,auf Anfrage,"Aussicht, Parkplatz, Garage, Neubau",Nach Vereinbarung,Chalet,2.5,,210,795,,,,,
haus,wallis?map=false&pf=1500000,"Fully, ",1926 Fully, 3403260.– ,"Balkon / Terrasse, Parkplatz",Nach Vereinbarung,Einfamilienhaus,6,2,580,1307,1534,2006,2022,,
haus,wallis?map=false&pf=1500000,"Martigny, ",1920 Martigny, 3350700.– ,"Aussicht, Parkplatz",Sofort,Mehrfamilienhaus,,3,,1312,,2011,,,
haus,wallis?map=false&pf=1500000,"Savièse, ",1965 Savièse, 3140460.– ,"Balkon / Terrasse, Cheminée, Aussicht, Parkplatz, Garage, Minergie zertifiziert",Sofort,Einfamilienhaus,4,2,530,1454,1540,2010,,,
haus,wallis?map=false&pf=1500000,"Sion, ",1950 Sion, 3232440.– ,"Cheminée, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,4,2,330,1703,1275,2004,2021,,
haus,wallis?map=false&pf=1500000,"Crans-Montana, ",3963 Crans-Montana, 4599000.– ,,Sofort,Chalet,3,,320,916,,2012,,,
haus,wallis?map=false&pf=1500000,"Saxon, ",1907 Saxon,auf Anfrage,Parkplatz,Nach Vereinbarung,Mehrfamilienhaus,10,4,,710,2035,,,,
haus,wallis?map=false&pf=1500000,"Route de Beauregard, ",3961 Grimentz, 4671270.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Chalet,4.5,,330,760,,2023,,,
haus,wallis?map=false&pf=1500000,,1997 Haute-Nendaz, 2299500.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich, Parkplatz",Sofort,Chalet,4.5,,280,1072,,2006,,,
haus,wallis?map=false&pf=1500000,"Nufenenstrasse 74, ",3988 Ulrichen,auf Anfrage,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich, Parkplatz, Bauland erschlossen",Nach Vereinbarung,Einfamilienhaus,,3,,855,,2005,2015,3,
haus,wallis?map=false&pf=1500000,,1928 Ravoire, 2076120.– ,"Haustiere erlaubt, Balkon / Terrasse, Cheminée, Kinderfreundlich, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Einfamilienhaus,3.5,,430,5197,,1987,2012,,
haus,wallis?map=false&pf=1500000,"Furi 197, ",3920 Zermatt,auf Anfrage,"Cheminée, Kinderfreundlich",Nach Vereinbarung,Chalet,5.5,3,400,665,,2012,,2,
haus,wallis?map=false&pf=1500000,"Lens, ",1978 Lens, 3270540.– ,"Cheminée, Aussicht, Garage",Sofort,Einfamilienhaus,5,3,440,1292,1530,1963,2019,,
haus,wallis?map=false&pf=1500000,"Route des Echertès 104, ",3961 Chandolin, 2759400.– ,"Balkon / Terrasse, Cheminée, Rollstuhlgängig, Kinderfreundlich",Nach Vereinbarung,Chalet,4.5,,290,625,,2009,,,
haus,wallis?map=false&pf=1500000,"Route de Beauregard, ",3961 Grimentz, 2614860.– ,"Balkon / Terrasse, Kinderfreundlich, Garage",Nach Vereinbarung,Chalet,4,,260,538,,1987,2019,,
haus,wallis?map=false&pf=1500000,,3951 Agarn,auf Anfrage,"Haustiere erlaubt, Balkon / Terrasse, Cheminée, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,5.5,,280,,,1997,2024,,
haus,wallis?map=false&pf=1500000,,3983 Mörel, 2621430.– ,"Haustiere erlaubt, Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage, Lift",Nach Vereinbarung,Mehrfamilienhaus,,,760,973,3773,1991,,5,
haus,wallis?map=false&pf=1500000,,3966 Chalais, 1971000.– ,"Haustiere erlaubt, Balkon / Terrasse, Cheminée, Kinderfreundlich",Nach Vereinbarung,Einfamilienhaus,5.5,4,390,720,,2017,,1,
haus,wallis?map=false&pf=1500000,,1873 Val-d'Illiez, 2430900.– ,"Haustiere erlaubt, Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,3,2,260,,,,,,
haus,wallis?map=false&pf=1500000,"Chemin des Dzardis 5, ",1955 Chamoson, 2299500.– ,,Sofort,Chalet,3.5,3,200,1047,563,1963,2021,,
haus,wallis?map=false&pf=1500000,"Route de Beauregard, ",3961 Grimentz, 3022200.– ,"Balkon / Terrasse, Kinderfreundlich",Nach Vereinbarung,Chalet,4.5,,230,,,2008,,,
haus,wallis?map=false&pf=1500000,"Chemin de Ricard 20, ",3960 Niouc, 2496600.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Cheminée, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Neubau, Stromanschluss, Wasseranschluss, Abwasseranschluss",Nach Vereinbarung,Chalet,5.5,2,280,7056,,2022,,,2.8
haus,wallis?map=false&pf=1500000,"Chemin de Nifortsié 55, ",1936 Verbier, 6504300.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Parkplatz",Sofort,Chalet,4,,200,729,,1978,2021,,
haus,wallis?map=false&pf=1500000,,1950 Sion, 4993200.– ,"Aussicht, Parkplatz, Garage",Nach Vereinbarung,Villa,6,2,890,6482,,1973,2020,,
haus,wallis?map=false&pf=1500000,"Route des Mayens 42, ",1993 Veysonnaz, 4533300.– ,Balkon / Terrasse,Sofort,Chalet,4,,450,,,,,,
haus,wallis?map=false&pf=1500000,"Chemin du Hattey 6, ",1936 Verbier, 5518800.– ,"Balkon / Terrasse, Cheminée, Aussicht",Nach Vereinbarung,Chalet,5,,280,1696,,,,1,
