type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,zuerich,"Steinbodenstrasse 1d, ",8447 Dachsen, 1605000.– ,,Nach Vereinbarung,Doppeleinfamilienhaus,3.5,,200 m²,249 m²,790 m³,2001,2021,,
haus,zuerich,,8303 Bassersdorf,auf Anfrage,Cheminée,Sofort,Doppeleinfamilienhaus,3.5,,220 m²,538 m²,,1990,2016,,
haus,zuerich,"Wissigasse 2, ",8248 Uhwiesen, 1791180.– ,"Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Garage",Sofort,Einfamilienhaus,4.5,,230 m²,300 m²,1141 m³,1860,,1,
haus,zuerich,,8404 Winterthur,auf Anfrage,,Nach Vereinbarung,Bauernhaus,4.5,,410 m²,421 m²,,1780,2022,,
haus,zuerich,,8955 Oetwil an der Limmat, 3813480.– ,,Nach Vereinbarung,Einfamilienhaus,3.5,,250 m²,1236 m²,,1993,,,
haus,zuerich,"Rosenstrasse 44, ",8953 Dietikon,auf Anfrage,"Balkon / Terrasse, Parkplatz, Garage",Sofort,Doppeleinfamilienhaus,3.5,,200 m²,308 m²,741 m³,1984,2023,,
haus,zuerich,,8610 Uster, 2375400.– ,"Balkon / Terrasse, Mit Gartenhaus, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,3.5,,150 m²,673 m²,,1939,2008,,
haus,zuerich,"Grossackerstrasse 9, ",8152 Opfikon, 3460380.– ,,Nach Vereinbarung,Einfamilienhaus,3.5,,250 m²,405 m²,,2024,,,
haus,zuerich,"Grossackerstrasse 9, ",8152 Opfikon, 3460380.– ,,Nach Vereinbarung,Einfamilienhaus,3.5,,250 m²,414 m²,,2024,,,
haus,zuerich,,8153 Rümlang,auf Anfrage,"Cheminée, Kinderfreundlich",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,4,220 m²,384 m²,781 m³,1988,,,
haus,zuerich,"Stockerstrasse, ",8810 Horgen, 2850480.– ,"Parkplatz, Neubau",Sofort,Einfamilienhaus,3.5,,310 m²,352 m²,1187 m³,,,,
haus,zuerich,,8044 Zürich, 17976000.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Garage, Altbau",Nach Vereinbarung,Villa,6,5,570 m²,751 m²,2505 m³,1914,2013,,
haus,zuerich,"Alte Bettswilerstr.1, ",8344 Bäretswil, 1271160.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Garage, Altbau",Sofort,Reihenfamilienhaus,4.5,4,240 m²,250 m²,1064 m³,,2017,,
haus,zuerich,"Hohfurenstrasse 23, ",8610 Uster, 2247000.– ,"Balkon / Terrasse, Kinderfreundlich, Garage, Eckhaus",Nach Vereinbarung,Reihenfamilienhaus,3.5,,160 m²,268 m²,746 m³,2004,,,
haus,zuerich,"Sonnenbühlstrasse 12b, ",8181 Höri, 2510220.– ,"Balkon / Terrasse, Keller, Reduit, Aussicht, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,3,4,,,,,,,
haus,zuerich,"Im Obstgarten 3a, ",8414 Buch am Irchel, 1720560.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Neubau, Minergie Bauweise, Stromanschluss, Wasseranschluss, Abwasseranschluss",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,,210 m²,209 m²,918 m³,2024,,,2.42
haus,zuerich,"Buchenweg 1, ",8442 Hettlingen, 3588780.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Parkplatz",Nach Vereinbarung,Einfamilienhaus,5,,380 m²,890 m²,1355 m³,1983,,2,
haus,zuerich,"Egetswilerstrasse 77, ",8302 Kloten, 1733400.– ,"Balkon / Terrasse, Kinderfreundlich, Garage",Nach Vereinbarung,Einfamilienhaus,3.5,,160 m²,203 m²,569 m³,2000,,,
haus,zuerich,"Steinler 25, ",8545 Rickenbach Sulz, 1149180.– ,Garage,Nach Vereinbarung,Einfamilienhaus,2.5,,54 m²,174 m²,390 m³,1965,,,
haus,zuerich,"Hagackerstrasse 9, ",8427 Freienstein, 1538230.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,3.5,,,422 m²,1198 m³,1836,1999,,
haus,zuerich,"Breitestrasse 104, ",8400 Winterthur, 1784760.– ,Kinderfreundlich,Nach Vereinbarung,Einfamilienhaus,2.5,,130 m²,554 m²,545 m³,1926,,,
haus,zuerich,"Weissenhaldenstrasse 2, ",8427 Rorbas, 1919580.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage, Bauland erschlossen",Nach Vereinbarung,Mehrfamilienhaus,5,,430 m²,788 m²,1410 m³,1805,1974,3,
haus,zuerich,"Dietikon, ",8953 Dietikon, 1527960.– ,"Cheminée, Parkplatz, Garage",Nach Vereinbarung,Reihenfamilienhaus,3.5,3,160 m²,364 m²,632 m³,1965,,,
haus,zuerich,"Ziergärtlistrasse 5, ",8953 Dietikon, 2041560.– ,"Cheminée, Garage",Nach Vereinbarung,Reihenfamilienhaus,3.5,4,310 m²,354 m²,797 m³,1994,,,
haus,zuerich,"Leehaldenweg 30B, ",8153 Rümlang, 2047980.– ,Garage,Sofort,Einfamilienhaus,2.5,3,170 m²,,,2004,2022,1,
haus,zuerich,"Richterswil, ",8805 Richterswil, 3402600.– ,"Balkon / Terrasse, Aussicht, Parkplatz, Garage",01.07.2025,Reihenfamilienhaus,3.5,4,260 m²,276 m²,880 m³,2010,,,
haus,zuerich,,8424 Embrach, 1605000.– ,"Aussicht, Garage",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,,170 m²,341 m²,,2008,,,
haus,zuerich,"Töbelistrasse22, ",8483 Kollbrunn, 1368740.– ,"Balkon / Terrasse, Reduit, Geschirrspüler, Kabel-TV, Aussicht, Kinderfreundlich, Parkplatz, Garage",Sofort,Einfamilienhaus,2,3,130 m²,991 m²,625 m³,1956,2018,,
haus,zuerich,"Bützistrasse 23, ",8132 Egg, 2131440.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage, Mittelhaus",15.03.2025,Reihenfamilienhaus,3.5,3,190 m²,208 m²,573 m³,1996,,,
haus,zuerich,"Im Geissacker 24, ",8404 Winterthur, 2953200.– ,"Balkon / Terrasse, Parkplatz, Garage",Sofort,Einfamilienhaus,3.5,2,200 m²,682 m²,700 m³,1960,2024,,2.45
haus,zuerich,,8810 Horgen, 2169960.– ,"Parkplatz, Garage, Altbau",Sofort,Mehrfamilienhaus,,4,210 m²,482 m²,,1730,1998,,
haus,zuerich,,8634 Hombrechtikon, 1271160.– ,"Parkplatz, Garage",Nach Vereinbarung,Reihenfamilienhaus,3.5,,170 m²,,,,,,
haus,zuerich,"Im Waidegg 7, ",8037 Zürich,auf Anfrage,"Balkon / Terrasse, Cheminée, Parkplatz, Garage",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,,230 m²,286 m²,840 m³,1926,,,
haus,zuerich,"Niederhasli, ",8155 Niederhasli, 1771920.– ,Cheminée,Nach Vereinbarung,Einfamilienhaus,3.5,1,170 m²,594 m²,683 m³,1968,,,
haus,zuerich,"Tisliacherstrasse 15, ",8320 Fehraltorf, 2028720.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Eckhaus",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,,220 m²,493 m²,906 m³,1982,,,
haus,zuerich,"Büelstrasse 16, ",8143 Stallikon, 1640950.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich",Nach Vereinbarung,Einfamilienhaus,2.5,,150 m²,247 m²,537 m³,1975,,,
haus,zuerich,"Buchs ZH, ",8107 Buchs ZH, 2247000.– ,"Aussicht, Parkplatz, Garage",01.09.2024,Reihenfamilienhaus,3.5,4,210 m²,313 m²,808 m³,2007,2022,,
haus,zuerich,"Lützelstrasse 6, ",8634 Hombrechtikon, 1142760.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Garage",Sofort,Einfamilienhaus,2.5,,55 m²,175 m²,573 m³,1981,,,
haus,zuerich,"Kehlhofstrasse, ",8542 Wiesendangen, 2047980.– ,"Neubau, Minergie Bauweise",01.10.2024,Reihenfamilienhaus,3.5,3,,,,2024,,,
haus,zuerich,"Kehlhofstrasse, ",8542 Wiesendangen, 2047980.– ,"Neubau, Minergie Bauweise",01.10.2024,Reihenfamilienhaus,3.5,3,200 m²,172 m²,,2024,,1,
haus,zuerich,"Koloniestrasse 21, ",8310 Grafstal, 1540800.– ,"Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Eckhaus",Nach Vereinbarung,Reihenfamilienhaus,3.5,3,180 m²,264 m²,593 m³,2000,,,
haus,zuerich,"Ellikon an der Thur, ",8548 Ellikon an der Thur, 2041560.– ,"Balkon / Terrasse, Garage",Sofort,Einfamilienhaus,3.5,3,230 m²,544 m²,952 m³,2003,,,
haus,zuerich,"Winterthur, ",8406 Winterthur, 1791180.– ,"Balkon / Terrasse, Aussicht, Garage",Nach Vereinbarung,Reihenfamilienhaus,3.5,4,170 m²,335 m²,620 m³,2008,2008,,
haus,zuerich,"Bölli 14, ",8197 Rafz, 1399560.– ,Garage,Nach Vereinbarung,Einfamilienhaus,3,,170 m²,708 m²,586 m³,1949,,,
haus,zuerich,"Samstagern, ",8833 Samstagern, 1656360.– ,"Cheminée, Garage",Nach Vereinbarung,Reihenfamilienhaus,3.5,4,220 m²,183 m²,603 m³,1988,,,
haus,zuerich,"Thurtalstrasse 8, ",8479 Altikon, 1829700.– ,"Haustiere erlaubt, Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Reihenfamilienhaus,4.5,5,250 m²,243 m²,,,2023,,
haus,zuerich,"Rickenbach ZH, ",8545 Rickenbach ZH, 1399560.– ,"Cheminée, Parkplatz",Nach Vereinbarung,Einfamilienhaus,4.5,4,330 m²,276 m²,706 m³,1639,2006,,
haus,zuerich,"Gockhausen, ",8044 Gockhausen, 3575940.– ,"Cheminée, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,3.5,2,230 m²,820 m²,876 m³,1980,,,
haus,zuerich,"Dorfstrasse 112, ",8192 Glattfelden, 1990200.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich, Altbau",Nach Vereinbarung,Einfamilienhaus,4.5,,210 m²,341 m²,1011 m³,1720,,,
haus,zuerich,"Zürcherstrasse 67, ",8424 Embrach, 1861800.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich, Parkplatz",Nach Vereinbarung,Mehrfamilienhaus,5,3,360 m²,457 m²,1477 m³,1838,2018,2,
haus,zuerich,"Agasul, ",8308 Agasul,auf Anfrage,"Cheminée, Aussicht, Parkplatz",Nach Vereinbarung,Mehrfamilienhaus,5.5,4,,626 m²,1522 m³,1945,,,
haus,zuerich,"Dietikon, ",8953 Dietikon, 2722080.– ,"Cheminée, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,2.5,3,200 m²,478 m²,869 m³,2008,,,
haus,zuerich,"Lohwisstrasse 20, ",8123 Ebmatingen, 1643520.– ,"Balkon / Terrasse, Aussicht, Garage",Sofort,Reihenfamilienhaus,2.5,3,150 m²,340 m²,556 m³,1973,,,
haus,zuerich,"Tannenbergstrasse 64, ",8625 Gossau ZH, 1630680.– ,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Garage, Eckhaus",16.09.2024,Reihenfamilienhaus,3.5,3,170 m²,223 m²,569 m³,1996,2022,1,
haus,zuerich,"Hombrechtikon, ",8634 Hombrechtikon,auf Anfrage,"Cheminée, Aussicht, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,4.5,3,320 m²,796 m²,1257 m³,2009,,,
haus,zuerich,"Langächerstrasse 12a, ",8907 Wettswil, 2426760.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich",Nach Vereinbarung,Einfamilienhaus,3.5,,190 m²,465 m²,733 m³,1984,,,
haus,zuerich,"Laubisser Quartier, ",8105 Watt, 2298360.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Cheminée, Ruhige Lage, Kinderfreundlich, Garage, Minergie zertifiziert, In Wohngemeinschaft",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,3,220 m²,,,2000,,,
haus,zuerich,"Im Wagenstoss 22, ",8543 Kefikon ZH, 2247000.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich",Nach Vereinbarung,Einfamilienhaus,3.5,,210 m²,564 m²,889 m³,2005,,,
haus,zuerich,"Forchstrasse 160, ",8125 Zollikerberg,auf Anfrage,"Cheminée, Garage",Sofort,Reihenfamilienhaus,3.5,,160 m²,472 m²,,1931,,,
haus,zuerich,"Gossau ZH, ",8625 Gossau ZH, 2426760.– ,Garage,Nach Vereinbarung,Einfamilienhaus,3.5,3,200 m²,1261 m²,975 m³,1965,,,
haus,zuerich,"Hüeblistrasse 59, ",8165 Oberweningen, 1855380.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich",Nach Vereinbarung,Einfamilienhaus,3.5,,170 m²,484 m²,713 m³,1987,,,
haus,zuerich,"Sperdiklerstrasse 23, ",8466 Trüllikon, 1605000.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz",Nach Vereinbarung,Einfamilienhaus,3.5,3,210 m²,762 m²,840 m³,1979,2023,,
haus,zuerich,"Gartenstrasse 9, ",8636 Wald ZH, 1797600.– ,"Balkon / Terrasse, Parkplatz",Nach Vereinbarung,Einfamilienhaus,4.5,,250 m²,403 m²,993 m³,1908,2018,,
haus,zuerich,"Haldenstrasse 16, ",8955 Oetwil an der Limmat, 3112410.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Lift, Swimmingpool",Nach Vereinbarung,Einfamilienhaus,2.5,2,230 m²,,,2009,2014,,
