type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
immobilien,appenzell-ar,"Schmiedgasse 30, ",9100 Herisau, 4380480.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Neubau",Nach Vereinbarung,Mehrfamilienhaus,,5,560,293,,2019,2023,,
immobilien,appenzell-ar,"Kurvenstrasse 12a, ",9053 Teufen AR, 2255040.– ,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Waschmaschine, Kabel-TV, Aussicht, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie Bauweise",01.11.2025,Attikawohnung,3.5,5,270,,,2024,,,
immobilien,appenzell-ar,"Teufener Strasse 38, ",9042 Speicher, 1244160.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Aussicht, Rollstuhlgängig, Ruhige Lage, Garage, Lift, Neubau, Stromanschluss, Wasseranschluss",Nach Vereinbarung,Maisonette / Duplex,2,2,160,,,2023,,,
immobilien,appenzell-ar,,9064 Hundwil, 829440.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,3.5,,,,,2023,,,2.47
immobilien,appenzell-ar,"Battenhaus 3092, ",9052 Niederteufen, 1749600.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,160,,,,,,
immobilien,appenzell-ar,"Mohren 11, ",9411 Reute AR, 1807920.– ,"Haustiere erlaubt, Kabel-TV, Cheminée, Parkplatz, Garage, Bauland erschlossen",Nach Vereinbarung,Einfamilienhaus,3.5,3,160,355,1035,2014,,1,2.6
immobilien,appenzell-ar,"Wilen 403, ",9428 Walzenhausen, 1399680.– ,"Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,3,,250,473,1444,1896,,,
immobilien,appenzell-ar,"Oberstrasse 3, ",9038 Rehetobel, 1062720.– ,Garage,Nach Vereinbarung,Mehrfamilienhaus,,,,305,1090,1902,,3,
immobilien,appenzell-ar,"Obermoosbergstrasse 2a, ",9100 Herisau, 764640.– ,"Haustiere erlaubt, Balkon / Terrasse",Nach Vereinbarung,Wohnung,3.5,,120,,,1991,,,
immobilien,appenzell-ar,"Obermoosbergstrasse 2a, ",9100 Herisau, 1088640.– ,"Haustiere erlaubt, Balkon / Terrasse",Nach Vereinbarung,Maisonette / Duplex,3.5,,190,,,1991,,,
immobilien,appenzell-ar,"Obermoosbergstrasse 2a, ",9100 Herisau, 706320.– ,"Haustiere erlaubt, Balkon / Terrasse",Nach Vereinbarung,Wohnung,2.5,,58,,,1991,,,
immobilien,appenzell-ar,"Oberstrasse 3, ",9038 Rehetobel, 1062720.– ,Garage,Nach Vereinbarung,Einfamilienhaus,5.5,,200,305,1090,,,,
immobilien,appenzell-ar,,9426 Lutzenberg, 699840.– ,"Balkon / Terrasse, Geschirrspüler, Waschmaschine, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Wohnung,3.5,2,130,,,1990,,,
immobilien,appenzell-ar,,9426 Lutzenberg, 563760.– ,"Balkon / Terrasse, Geschirrspüler, Waschmaschine, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Wohnung,2.5,2,57,,,1990,,,
immobilien,appenzell-ar,"Sonnhalde 10, ",9410 Heiden, 1140480.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz",Sofort,Einfamilienhaus,4.5,3,180,526,605,1968,,,
immobilien,appenzell-ar,,9063 Stein AR, 511920.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Garage",Nach Vereinbarung,Wohnung,2,,55,,,1974,2016,,
immobilien,appenzell-ar,"Kohli 5, ",9055 Bühler, 712800.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Parkplatz, Garage, Lift",Nach Vereinbarung,Wohnung,3.5,,140,,,2018,,,
immobilien,appenzell-ar,,9037 Speicherschwendi, 1496880.– ,"Haustiere erlaubt, Balkon / Terrasse, Rollstuhlgängig, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,3,160,,,,,3,2.4
immobilien,appenzell-ar,"Rütistrasse 3, ",9037 Speicherschwendi, 1496880.– ,"Haustiere erlaubt, Balkon / Terrasse, Rollstuhlgängig, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,3,160,,,,,3,2.4
immobilien,appenzell-ar,"Teufener Strasse 38, ",9042 Speicher, 1503360.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Sofort,Wohnung,3.5,,190,,,2023,,,2.7
immobilien,appenzell-ar,"Obere Wilenhalde 14, ",9100 Herisau,auf Anfrage,"Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,4.5,3,190,595,923,1961,2010,,
immobilien,appenzell-ar,"Dicken 390, ",9035 Grub AR, 3110400.– ,"Balkon / Terrasse, Mit Gartenhaus, Cheminée, Swimmingpool",Nach Vereinbarung,Villa,7.5,5,380,2677,2290,1973,,,
immobilien,appenzell-ar,"Unterrechstein 294, ",9038 Rehetobel, 1231200.– ,"Haustiere erlaubt, Aussicht",Nach Vereinbarung,Doppeleinfamilienhaus,2.5,2,160,1339,784,1982,,,
