type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
immobilien,luzern,"Unterdorfstrasse 38, ",6122 Menznau, 1011780.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",01.09.2026,Wohnung,3.5,,160,,,2026,,,
immobilien,luzern,"Oberhusrain 38, ",6010 Kriens, 2365200.– ,"Lift, Neubau",Nach Vereinbarung,Wohnung,4.5,,180,,,2025,,,
immobilien,luzern,"Oberfeldstrasse 15a, ",6037 Root, 7752600.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Neubau",Sofort,Mehrfamilienhaus,,4,650,734,3120,2019,,,2.4
immobilien,luzern,"Hagenstrasse 4, ",6037 Root, 1964430.– ,"Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau, Minergie zertifiziert",Nach Vereinbarung,Wohnung,4.5,,170,,,2024,,,
immobilien,luzern,"Vorstatt 44, ",6244 Nebikon, 814680.– ,"Balkon / Terrasse, Aussicht, Parkplatz, Garage, Lift, Neubau",Sofort,Wohnung,2.5,,61,,,2023,,,
immobilien,luzern,"Schmittenhof 24, ",6142 Gettnau, 854100.– ,"Balkon / Terrasse, Ruhige Lage, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,75,,,2021,,,
immobilien,luzern,,6000 Luzern,auf Anfrage,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Swimmingpool, Neubau, Minergie Bauweise",Sofort,Villa,4.5,3,,886,,,,,
immobilien,luzern,"Sonnhalde, ",6354 Vitznau, 1316620.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Garage, Lift, Neubau",01.02.2025,Wohnung,3.5,,54,,,2025,,,260
immobilien,luzern,"Sonnhalde, ",6354 Vitznau, 2895390.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Garage, Lift, Neubau",01.02.2025,Attikawohnung,4.5,,160,,,2025,,,260
immobilien,luzern,,6353 Weggis, 3521520.– ,"Balkon / Terrasse, Lift, Neubau, Minergie Bauweise, Hochparterre",Nach Vereinbarung,Terrassenwohnung,3.5,,230,,,2023,,,
