type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
immobilien,neuenburg?loc=geo-canton-nidwalden%2Cgeo-canton-obwalden,"Chännel 7, ",6067 Melchtal, 913230.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,76,,,2021,,,
immobilien,neuenburg?loc=geo-canton-nidwalden%2Cgeo-canton-obwalden,,2105 Travers, 1143180.– ,"Aussicht, Garage, Neubau",Nach Vereinbarung,Villa,4.5,,180,535,747,2025,,,
immobilien,neuenburg?loc=geo-canton-nidwalden%2Cgeo-canton-obwalden,,2105 Travers, 1116900.– ,"Aussicht, Garage, Neubau",Nach Vereinbarung,Villa,4.5,,180,610,756,2025,,,
immobilien,neuenburg?loc=geo-canton-nidwalden%2Cgeo-canton-obwalden,,2022 Bevaix, 2016990.– ,Neubau,Nach Vereinbarung,Wohnung,3.5,,180,,,,,,
immobilien,neuenburg?loc=geo-canton-nidwalden%2Cgeo-canton-obwalden,"Rue de Corcelles 12, ",2034 Peseux, 1419120.– ,Neubau,Nach Vereinbarung,Wohnung,4.5,6,170,,,2024,,,
immobilien,neuenburg?loc=geo-canton-nidwalden%2Cgeo-canton-obwalden,,6064 Kerns, 1787040.– ,"Balkon / Terrasse, Cheminée, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",01.07.2025,Wohnung,4.5,3,190,,,2024,,,
immobilien,neuenburg?loc=geo-canton-nidwalden%2Cgeo-canton-obwalden,"Rue de l'Hôpital 8A, ",2024 St-Aubin-Sauges, 952650.– ,"Haustiere erlaubt, Kinderfreundlich, Parkplatz, Neubau",Nach Vereinbarung,Dachwohnung,3.5,,140,,,2023,,,2.4
immobilien,neuenburg?loc=geo-canton-nidwalden%2Cgeo-canton-obwalden,,2022 Bevaix, 1681920.– ,"Aussicht, Parkplatz, Neubau",Nach Vereinbarung,Wohnung,2.5,,150,501,,2024,,,
immobilien,neuenburg?loc=geo-canton-nidwalden%2Cgeo-canton-obwalden,,2022 Bevaix, 1813320.– ,"Aussicht, Parkplatz, Neubau",Nach Vereinbarung,Wohnung,2.5,,140,529,,2024,,,
immobilien,neuenburg?loc=geo-canton-nidwalden%2Cgeo-canton-obwalden,,2105 Travers, 1143180.– ,"Aussicht, Garage, Neubau",Nach Vereinbarung,Villa,4.5,,190,434,842,2025,,,
