type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
immobilien,schaffhausen,"Im Baumgarten 2, ",8262 Ramsen, 963000.– ,"Garage, Neubau",Nach Vereinbarung,Wohnung,2.5,3,140 m²,,,2025,,,
immobilien,schaffhausen,,8200 Schaffhausen, 1104240.– ,"Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Garage, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,,130 m²,,,2024,,,
immobilien,schaffhausen,"Hauptstrasse 8, ",8232 Merishausen, 1136340.– ,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,3,130 m²,,,2024,,8,2.65
immobilien,schaffhausen,,8232 Merishausen, 930900.– ,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,3,52 m²,,,2024,,8,2.55
immobilien,schaffhausen,"Haingartenstrasse, ",8215 Hallau, 661260.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,,46 m²,,,2024,,,2.4
immobilien,schaffhausen,"Haingartenstrasse, ",8215 Hallau, 853860.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Dachwohnung,2.5,,180 m²,,,2024,,,2.4
immobilien,schaffhausen,"Haingartenstrasse, ",8215 Hallau, 654840.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,,46 m²,,,2024,,,2.4
immobilien,schaffhausen,"Haingartenstrasse, ",8215 Hallau, 802500.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,,120 m²,,,2024,,,2.4
immobilien,schaffhausen,"Haingartenstrasse, ",8215 Hallau, 956580.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Dachwohnung,2.5,,210 m²,,,2024,,,2.4
immobilien,schaffhausen,"Haingartenstrasse, ",8215 Hallau, 808920.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,,120 m²,,,2024,,,2.4
immobilien,schaffhausen,"Haingartenstrasse, ",8215 Hallau, 914200.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,,150 m²,,,2024,,,2.4
immobilien,schaffhausen,"Hauptstrasse 8, ",8232 Merishausen, 494340.– ,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,3,24 m²,,,2024,,8,2.55
immobilien,schaffhausen,"Hauptstrasse 8, ",8232 Merishausen, 1020780.– ,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,3,130 m²,,,2024,,8,2.55
immobilien,schaffhausen,"Hauptstrasse 8, ",8232 Merishausen, 1084980.– ,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,3,120 m²,,,2024,,8,2.55
immobilien,schaffhausen,"Im Baumgarten 2, ",8262 Ramsen, 1020780.– ,"Garage, Neubau",Nach Vereinbarung,Wohnung,2.5,3,160 m²,,,2025,,,
immobilien,schaffhausen,"Haingartenstrasse, ",8215 Hallau, 860280.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,,130 m²,,,2024,,,2.4
immobilien,schaffhausen,"Espiligartenweg 6, ",8226 Schleitheim, 1527960.– ,"Haustiere erlaubt, Balkon / Terrasse, Cheminée, Kinderfreundlich, Garage",Nach Vereinbarung,Einfamilienhaus,4.5,,250 m²,2007 m²,1210 m³,1982,2009,,
immobilien,schaffhausen,"Dorfstrasse 9, ",8261 Hemishofen, 1219800.– ,"Haustiere erlaubt, Balkon / Terrasse, Cheminée",01.01.2025,Einfamilienhaus,3,,350 m²,437 m²,1520 m³,1850,,2,
immobilien,schaffhausen,"Steigstrasse 76, ",8200 Schaffhausen, 1142760.– ,"Balkon / Terrasse, Garage",Nach Vereinbarung,Wohnung,2.5,,170 m²,,,,2022,,
immobilien,schaffhausen,"Stein am Rhein, ",8260 Stein am Rhein, 879540.– ,Balkon / Terrasse,Sofort,Wohnung,2.5,4,130 m²,,,2018,,,
immobilien,schaffhausen,"Tauchergasse 4, ",8226 Schleitheim, 1110660.– ,Cheminée,Sofort,Einfamilienhaus,4.5,,330 m²,460 m²,,,,,
immobilien,schaffhausen,"Weinbergstrasse 10, ",8212 Neuhausen am Rheinfall, 640710.– ,"Haustiere erlaubt, Parkplatz, Lift",01.11.2024,Wohnung,3.5,,45 m²,,,2024,,,
immobilien,schaffhausen,"Geerenweg 8, ",8226 Schleitheim, 1450920.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage, Altbau",Nach Vereinbarung,Bauernhaus,3,3,210 m²,1913 m²,1300 m³,,1998,,2.3
immobilien,schaffhausen,"Wiesentalstrasse 8, ",8215 Hallau, 975840.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Spielplatz, Garage, Lift, Neubau, Minergie zertifiziert",Nach Vereinbarung,Wohnung,2.5,3,160 m²,,,2024,,,
