type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,basel-landschaft,"Holeeweg 16, ",4123 Allschwil,auf Anfrage,Neubau,Nach Vereinbarung,Wohnung,2.5,2,170 m²,,,2021,,4,
wohnung,basel-landschaft,"Erzenbergstrasse 52, ",4410 Liestal, 1258320.– ,"Balkon / Terrasse, Waschmaschine, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Stromanschluss, Wasseranschluss, Abwasseranschluss",30.06.2025,Wohnung,2.5,,130 m²,,280 m³,2024,,,2.5
wohnung,basel-landschaft,"Hinterfeldstrasse 16, ",4222 Zwingen,auf Anfrage,"Balkon / Terrasse, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,130 m²,,,2021,,,250
wohnung,basel-landschaft,"Schürmattweg, ",4203 Grellingen, 1271160.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Aussicht, Rollstuhlgängig, Kinderfreundlich, Spielplatz, Parkplatz, Garage, Lift, Neubau",01.12.2025,Terrassenwohnung,2.5,,130 m²,,,2024,,,
wohnung,basel-landschaft,"Hauptstrasse 43, ",4153 Reinach BL, 1168440.– ,"Balkon / Terrasse, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,51 m²,,,2024,,,
wohnung,basel-landschaft,"Hauptstrasse 43, ",4153 Reinach BL, 1232640.– ,"Balkon / Terrasse, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,54 m²,,,2024,,,
wohnung,basel-landschaft,"Muttenzerstrasse 61, ",4133 Pratteln, 1014360.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",01.03.2025,Wohnung,2.5,,45 m²,,,2024,,,
wohnung,basel-landschaft,"Lärchenstrasse, ",4416 Bubendorf, 1097820.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Spielplatz, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,3,51 m²,,3000 m³,2024,,,
wohnung,basel-landschaft,"Kreuzackerweg 4, ",4103 Bottmingen, 1232640.– ,"Haustiere erlaubt, Parkplatz, Garage, Lift, Neubau",Sofort,Wohnung,3.5,,42 m²,,,2022,,,
wohnung,basel-landschaft,"Altmarktstrasse 99, ",4410 Liestal, 1258320.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",01.12.2024,Wohnung,2.5,,130 m²,,,2024,,,
wohnung,basel-landschaft,"Fürstenrainstrasse 23, ",4104 Oberwil BL, 1784760.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,3,130 m²,,,2024,,6,
wohnung,basel-landschaft,"Loogstrasse 15, ",4142 Münchenstein, 2946780.– ,"Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,2.5,,200 m²,,,2024,,,
wohnung,basel-landschaft,"Loogstrasse 15, ",4142 Münchenstein, 1990200.– ,"Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,2.5,,120 m²,2511 m²,,2025,,,2.6
wohnung,basel-landschaft,"Unterer Mühlestettenweg, ",4450 Sissach, 2247000.– ,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Waschmaschine, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Sofort,Terrassenwohnung,2.5,3,,,,2023,,,
wohnung,basel-landschaft,"Büsserachstrasse 12, ",4246 Wahlen b. Laufen, 1155600.– ,"Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,2.5,3,130 m²,1100 m²,,2024,,5,
wohnung,basel-landschaft,"Schafmattweg 104, ",4102 Binningen, 2298360.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Rauchen erlaubt, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Stromanschluss, Wasseranschluss, Abwasseranschluss",30.09.2024,Wohnung,2.5,4,190 m²,1781 m²,,2024,,,
wohnung,basel-landschaft,"Ettingerstrasse 26, ",4106 Therwil, 950160.– ,"Balkon / Terrasse, Kinderfreundlich",Sofort,Wohnung,2.5,,49 m²,,,1989,,,
wohnung,basel-landschaft,"Bottmingerstrasse 87, ",4102 Binningen, 1733400.– ,"Balkon / Terrasse, Aussicht, Lift",Sofort,Wohnung,2.5,2,120 m²,,,1995,,6,
wohnung,basel-landschaft,,4102 Binningen, 1020780.– ,"Balkon / Terrasse, Cheminée, Aussicht, Lift",Sofort,Dachwohnung,2,,50 m²,,,1989,,,
