type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,bern?map=false&pt=800000,"Schulstrasse 4, ",3414 Oberburg, 745560.– ,"Haustiere erlaubt, Balkon / Terrasse, Mit Gartenhaus, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Bauland erschlossen, Neubau",Nach Vereinbarung,Wohnung,2.5,,62,,,2024,,,
wohnung,bern?map=false&pt=800000,"Lyssachstrasse 44, ",3400 Burgdorf, 771720.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Studio,2,,140,,,2023,,,
wohnung,bern?map=false&pt=800000,"Bernstrasse 48, ",3125 Toffen, 1039860.– ,"Balkon / Terrasse, Keller, Estrich, Reduit, Geschirrspüler, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Kinderfreundlich, Spielplatz, Garage, Lift, Neubau, Minergie zertifiziert",Nach Vereinbarung,Dachwohnung,3.5,,160,,,2023,,,
wohnung,bern?map=false&pt=800000,"Oberfeldweg 2, ",4704 Niederbipp, 673620.– ,"Balkon / Terrasse, Keller, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Rollstuhlgängig, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,4,60,,,2023,,,
wohnung,bern?map=false&pt=800000,"Lyssachstrasse 44, ",3400 Burgdorf, 850200.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,,66,,,2023,,,
wohnung,bern?map=false&pt=800000,"Schulstrasse 4, ",3414 Oberburg, 961380.– ,"Haustiere erlaubt, Balkon / Terrasse, Mit Gartenhaus, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Bauland erschlossen, Neubau",Nach Vereinbarung,Wohnung,3.5,,130,,,2024,,,
wohnung,bern?map=false&pt=800000,"Wiesenweg 11, ",4536 Attiswil,auf Anfrage,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Sofort,Wohnung,3.5,,180,,,2013,,,
wohnung,bern?map=false&pt=800000,"Hauptstrasse 1, ",3251 Wengi b. Büren, 824040.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,150,,,2017,,,
wohnung,bern?map=false&pt=800000,"Bernstrasse 48, ",3125 Toffen, 902520.– ,"Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Kinderfreundlich, Spielplatz, Garage, Lift, Neubau, Minergie zertifiziert",Nach Vereinbarung,Wohnung,3.5,,130,,,2023,,,
wohnung,bern?map=false&pt=800000,"Schulstrasse 4, ",3414 Oberburg, 1039860.– ,"Haustiere erlaubt, Balkon / Terrasse, Mit Gartenhaus, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Bauland erschlossen, Neubau",Nach Vereinbarung,Wohnung,3.5,,150,,,2024,,,
wohnung,bern?map=false&pt=800000,"Parkettstrasse 32, ",3432 Lützelflüh-Goldbach, 810960.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,150,,,2024,,,
wohnung,bern?map=false&pt=800000,,3645 Gwatt (Thun),auf Anfrage,"Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",Sofort,Terrassenwohnung,3.5,1,200,2976,,2024,,,
wohnung,bern?map=false&pt=800000,"Unterweg 25, ",3302 Moosseedorf, 1039860.– ,"Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,130,,,2025,,,
