type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,freiburg?map=false&pt=700000,"Peterstrasse 21, ",3186 Düdingen, 545310.– ,"Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,6,58,,,2025,,18,
wohnung,freiburg?map=false&pt=700000,"Route de la Ria, ",1544 Gletterens, 735840.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,68,,,2023,,,
wohnung,freiburg?map=false&pt=700000,"Route de Billens 2, ",1680 Romont, 479610.– ,"Parkplatz, Neubau",Nach Vereinbarung,Wohnung,3.5,,46,,,2024,,,
wohnung,freiburg?map=false&pt=700000,"Route Derrière la Gare 4, ",1774 Cousset, 545310.– ,"Haustiere erlaubt, Balkon / Terrasse, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Terrassenwohnung,3.5,1,42,,,,,1,
wohnung,freiburg?map=false&pt=700000,,1542 Rueyres-les-Prés, 494060.– ,"Haustiere erlaubt, Kinderfreundlich, Garage, Lift, Neubau",01.10.2024,Wohnung,3.5,,42,,,2023,,,
wohnung,freiburg?map=false&pt=700000,,1616 Attalens, 900090.– ,"Balkon / Terrasse, Aussicht, Garage, Neubau",01.03.2025,Wohnung,2.5,,64,,,2024,,,
wohnung,freiburg?map=false&pt=700000,"A St-Aubin FR, ",1566 St-Aubin, 775260.– ,"Parkplatz, Lift, Neubau",31.03.2025,Dachwohnung,2.5,,130,,,,,,
wohnung,freiburg?map=false&pt=700000,,1630 Bulle, 748980.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Neubau",Sofort,Wohnung,2.5,,61,59,,2022,,,
wohnung,freiburg?map=false&pt=700000,"Route de la Ria, ",1544 Gletterens, 735840.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,67,,,2023,,,
wohnung,freiburg?map=false&pt=700000,"Hinterdorf 7, ",3215 Gempenach, 847530.– ,"Balkon / Terrasse, Aussicht, Parkplatz, Garage, Lift, Neubau",01.04.2026,Wohnung,3.5,,130,,,2025,,,
wohnung,freiburg?map=false&pt=700000,"Peterstrasse 21, ",3186 Düdingen, 545310.– ,"Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,6,58,,,2025,,18,
wohnung,freiburg?map=false&pt=700000,,1700 Fribourg, 748980.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Neubau",Nach Vereinbarung,Wohnung,2.5,,61,,,1977,2021,,
wohnung,freiburg?map=false&pt=700000,,1680 Romont FR, 604440.– ,"Balkon / Terrasse, Parkplatz, Lift, Neubau",15.06.2025,Wohnung,2.5,1,58,,,,,,
wohnung,freiburg?map=false&pt=700000,"Impasse de Vulliama, ",1489 Murist, 558450.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rauchen erlaubt, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",31.03.2026,Wohnung,3.5,,130,,,2025,,,
wohnung,freiburg?map=false&pt=700000,"Route du Zible 8, ",1634 La Roche, 670140.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Sofort,Dachwohnung,2.5,,67,,,2023,,,
wohnung,freiburg?map=false&pt=700000,,1680 Romont FR, 611010.– ,"Balkon / Terrasse, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,1,58,,,,,,
wohnung,freiburg?map=false&pt=700000,"Murist, ",1489 Murist, 885630.– ,"Aussicht, Garage, Lift",Nach Vereinbarung,Wohnung,4.5,,,,,,,,
wohnung,freiburg?map=false&pt=700000,"Murist, ",1489 Murist, 772630.– ,"Aussicht, Garage, Lift",Nach Vereinbarung,Wohnung,3.5,,,,,,,,
wohnung,freiburg?map=false&pt=700000,"Murist, ",1489 Murist, 565020.– ,"Aussicht, Garage, Lift",Nach Vereinbarung,Wohnung,2.5,,,,,,,,
wohnung,freiburg?map=false&pt=700000,"Estavayer-le-Lac, ",1470 Estavayer-le-Lac, 565020.– ,"Aussicht, Garage, Lift",Nach Vereinbarung,Wohnung,2.5,,,,,,,,
wohnung,freiburg?map=false&pt=700000,"Estavayer-le-Lac, ",1470 Estavayer-le-Lac, 772630.– ,"Aussicht, Garage, Lift",Nach Vereinbarung,Wohnung,3.5,,,,,,,,
wohnung,freiburg?map=false&pt=700000,"Estavayer-le-Lac, ",1470 Estavayer-le-Lac, 885630.– ,"Aussicht, Garage, Lift",Nach Vereinbarung,Wohnung,4.5,,,,,,,,
wohnung,freiburg?map=false&pt=700000,,1773 Russy, 854100.– ,"Balkon / Terrasse, Rollstuhlgängig, Parkplatz, Lift",Nach Vereinbarung,Wohnung,4.5,,200,,,2022,,,
wohnung,freiburg?map=false&pt=700000,,3175 Flamatt, 913230.– ,"Balkon / Terrasse, Lift",Nach Vereinbarung,Wohnung,3.5,,160,,,,2020,,
wohnung,freiburg?map=false&pt=700000,"Impasse de Cheiry 20, ",1754 Rosé,auf Anfrage,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Sofort,Terrassenwohnung,3.5,,170,,,2024,,,
wohnung,freiburg?map=false&pt=700000,,1726 Grenilles, 919800.– ,"Aussicht, Neubau",Sofort,Maisonette / Duplex,3.5,1,150,,,2023,,,
wohnung,freiburg?map=false&pt=700000,"Route des Ecoles 6, ",1726 Farvagny-le-Grand, 604440.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Rauchen erlaubt, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Spielplatz, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise, Stromanschluss, Wasseranschluss, Abwasseranschluss",01.12.2025,Wohnung,2.5,3,63,,,2024,,,
wohnung,freiburg?map=false&pt=700000,"Route Derrière la Gare 4, ",1774 Cousset, 854100.– ,"Haustiere erlaubt, Balkon / Terrasse, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,1,130,,,,,1,
wohnung,freiburg?map=false&pt=700000,"Impasse de Vulliama, ",1489 Murist, 611010.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rauchen erlaubt, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",31.03.2026,Wohnung,2.5,,59,,,2025,,,
wohnung,freiburg?map=false&pt=700000,,1694 Orsonnens, 611010.– ,"Balkon / Terrasse, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,58,,,2024,,,
wohnung,freiburg?map=false&pt=700000,,1619 Les Paccots, 729270.– ,"Balkon / Terrasse, Aussicht, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,49,,,,,,
wohnung,freiburg?map=false&pt=700000,"Route de l'Etriva, ",1776 Montagny, 760800.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Neubau",Sofort,Wohnung,3.5,,140,,,2023,,,
wohnung,freiburg?map=false&pt=700000,"Impasse de Champ Riond 4, ",1753 Matran, 801540.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,1,61,,,2022,,,
wohnung,freiburg?map=false&pt=700000,"Grueneburg 32, ",3213 Kleinbösingen, 775260.– ,"Balkon / Terrasse, Parkplatz, Garage, Lift",Sofort,Maisonette / Duplex,3.5,,180,,,1992,,,
wohnung,freiburg?map=false&pt=700000,"Impasse de Champ Riond 3, ",1753 Matran, 880380.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,1,67,,,2022,,,
wohnung,freiburg?map=false&pt=700000,"Impasse de Champ Riond 1, ",1753 Matran, 722700.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,1,60,,,2022,,,
wohnung,freiburg?map=false&pt=700000,"Impasse de Champ Riond 5, ",1753 Matran, 880380.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,1,67,,,2022,,,
wohnung,freiburg?map=false&pt=700000,"Impasse de Champ Riond 5, ",1753 Matran, 893520.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,1,67,,,2022,,,
wohnung,freiburg?map=false&pt=700000,"Impasse de Champ Riond 6, ",1753 Matran, 867240.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,1,67,,,2022,,,
wohnung,freiburg?map=false&pt=700000,"Impasse de Champ Riond 6, ",1753 Matran, 880380.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,1,67,,,2022,,,
wohnung,freiburg?map=false&pt=700000,"Impasse de Champ Riond 6, ",1753 Matran, 893520.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,1,67,,,2022,,,
wohnung,freiburg?map=false&pt=700000,"Route de Moudon 96, ",1670 Ursy, 840960.– ,,Nach Vereinbarung,Wohnung,2.5,,130,,,2008,,,
wohnung,freiburg?map=false&pt=700000,"Peterstrasse 21, ",3186 Düdingen, 558450.– ,"Balkon / Terrasse, Kinderfreundlich, Lift",Nach Vereinbarung,Wohnung,2.5,6,54,,,1978,2013,18,
wohnung,freiburg?map=false&pt=700000,"Peterstrasse 21, ",3186 Düdingen, 558450.– ,"Balkon / Terrasse, Kinderfreundlich, Lift",Nach Vereinbarung,Wohnung,2.5,6,54,,,1978,2013,18,
wohnung,freiburg?map=false&pt=700000,"Peterstrasse 23, ",3186 Düdingen, 689850.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Wohnung,3.5,6,72,,,1978,2013,18,
wohnung,freiburg?map=false&pt=700000,"Rue du Russalet 7, ",1630 Bulle, 519030.– ,"Balkon / Terrasse, Kinderfreundlich, Garage",Sofort,Wohnung,2.5,,51,,,1946,2024,,
