type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,genf,"A Chancy, ",1284 Chancy, 2181240.– ,"Parkplatz, Neubau",26.03.2026,Wohnung,4,4,240,,,,,,
wohnung,genf,,1284 Chancy, 1629360.– ,"Balkon / Terrasse, Lift, Neubau",Nach Vereinbarung,Wohnung,3,,150,,,2025,,,
wohnung,genf,,1254 Jussy, 1826460.– ,"Balkon / Terrasse, Neubau",Nach Vereinbarung,Wohnung,4,,170,,,2024,,,
wohnung,genf,"Le Parc des Crêts, ",1256 Troinex, 3790890.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,4,,250,,,2024,,,2.6
wohnung,genf,,1284 Chancy, 1681920.– ,"Balkon / Terrasse, Lift, Neubau",Nach Vereinbarung,Wohnung,3,,160,,,2025,,,
wohnung,genf,,1233 Bernex, 1876120.– ,"Balkon / Terrasse, Kinderfreundlich, Lift, Neubau",Sofort,Wohnung,2,,,,,2025,,,
wohnung,genf,"A Plan-les-Ouates, ",1228 Plan-les-Ouates, 2667420.– ,"Balkon / Terrasse, Aussicht, Parkplatz, Lift, Neubau",Sofort,Attikawohnung,3,2,170,,,,,,
wohnung,genf,,1233 Bernex, 2312640.– ,"Balkon / Terrasse, Kinderfreundlich, Lift, Neubau",Sofort,Wohnung,4,,,,,2025,,,
wohnung,genf,"A Genève, ",1202 Genève, 1785720.– ,Neubau,01.08.2026,Wohnung,3,,70,,,,,,
wohnung,genf,,1284 Chancy, 1550520.– ,"Balkon / Terrasse, Lift, Neubau",Nach Vereinbarung,Wohnung,3,,140,,,2025,,,
wohnung,genf,"Chemin Aux-Folies 10, ",1293 Bellevue, 2325780.– ,"Balkon / Terrasse, Rollstuhlgängig, Parkplatz, Neubau",01.03.2025,Wohnung,3,2,140,,,,,,
wohnung,genf,,1284 Chancy, 1300860.– ,"Balkon / Terrasse, Lift, Neubau, Hochparterre",Nach Vereinbarung,Wohnung,3,,75,,,2025,,,
wohnung,genf,"A Chancy, ",1284 Chancy, 1379700.– ,"Parkplatz, Neubau",26.03.2026,Wohnung,3,,130,,,,,,
wohnung,genf,"A Anières, ",1247 Anières, 2864520.– ,"Aussicht, Parkplatz, Lift, Neubau",31.08.2026,Wohnung,3,,150,,,2026,,,
wohnung,genf,,1233 Bernex, 2233800.– ,"Balkon / Terrasse, Kinderfreundlich, Lift, Neubau",Sofort,Wohnung,3,,,,,2025,,,
wohnung,genf,,1284 Chancy, 1471680.– ,"Balkon / Terrasse, Lift, Neubau, Hochparterre",Nach Vereinbarung,Wohnung,3,,130,,,2025,,,
wohnung,genf,"Avenue de Chamonix 3B, ",1207 Genève,auf Anfrage,"Haustiere erlaubt, Balkon / Terrasse, Geschirrspüler, Waschmaschine, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",Sofort,Wohnung,3.5,,,,,2023,,,
wohnung,genf,"Chemin de la Farette 4, ",1232 Confignon, 1957860.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Neubau, Minergie Bauweise",01.10.2024,Wohnung,3,,160,,,,,,
wohnung,genf,,1256 Troinex, 2430900.– ,"Garage, Lift, Neubau",01.10.2025,Wohnung,4,,170,,,,,,
wohnung,genf,"chemin de la béchette 7, ",1226 Thônex, 1800180.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Lift, Neubau, Mittelhaus",Nach Vereinbarung,Wohnung,3,,160,,,2024,,,
wohnung,genf,,1284 Chancy, 1563660.– ,"Balkon / Terrasse, Lift, Neubau",Nach Vereinbarung,Wohnung,3,,150,,,2025,,,
wohnung,genf,"Route de Sous-Moulin 6, ",1225 Chêne-Bourg, 2628000.– ,"Balkon / Terrasse, Parkplatz, Lift, Neubau",01.03.2026,Attikawohnung,3,,150,,,2025,,,2.88
wohnung,genf,,1233 Bernex, 1905300.– ,"Balkon / Terrasse, Kinderfreundlich, Lift, Neubau",Sofort,Wohnung,3,,,,,2025,,,
wohnung,genf,,1226 Thônex, 1807800.– ,"Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Neubau",02.09.2024,Wohnung,3,1,74,,,2024,,1,
wohnung,genf,,1203 Genève, 3797460.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Lift, Neubau",Sofort,Attikawohnung,4.5,,,,,2012,,,
wohnung,genf,,1233 Bernex, 2168100.– ,"Balkon / Terrasse, Kinderfreundlich, Lift, Neubau",Sofort,Wohnung,3,,,,,2025,,,
wohnung,genf,,1284 Chancy, 1576800.– ,"Balkon / Terrasse, Lift, Neubau",Nach Vereinbarung,Wohnung,3,,150,,,2025,,,
wohnung,genf,,1233 Bernex, 2049840.– ,"Balkon / Terrasse, Kinderfreundlich, Lift, Neubau",Sofort,Wohnung,3,,,,,2025,,,
wohnung,genf,"chemin de la béchette 7, ",1226 Thônex, 1668780.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Lift, Neubau, Mittelhaus",Nach Vereinbarung,Wohnung,3,,140,,,2024,,,
wohnung,genf,,1239 Collex, 1826460.– ,"Balkon / Terrasse, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3,,,,,,,,
wohnung,genf,,1284 Chancy, 1268010.– ,"Balkon / Terrasse, Lift, Neubau",Nach Vereinbarung,Wohnung,2,,72,,,2025,,,
