type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,st-gallen,"Romanshornerstrasse, ",9308 Lömmenschwil, 1001520.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie Bauweise",Sofort,Wohnung,2.5,,130 m²,,,2024,,,
wohnung,st-gallen,"Gatterstrasse 25, ",9010 St. Gallen, 1258320.– ,"Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,1,130 m²,,,2025,,,
wohnung,st-gallen,"Sinda 1, ",9470 Buchs SG, 1142760.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Lift, Neubau",Nach Vereinbarung,Dachwohnung,2.5,,48 m²,,,2024,,,
wohnung,st-gallen,"Aachweg 1, ",9323 Steinach, 763980.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Geschirrspüler, Steamer, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau, Stromanschluss, Wasseranschluss",01.09.2024,Wohnung,2.5,4,39 m²,,,2024,,,
wohnung,st-gallen,"Dörfli, ",8723 Maseltrangen, 841020.– ,"Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau, Minergie zertifiziert",Nach Vereinbarung,Wohnung,2.5,,120 m²,,,,,,
wohnung,st-gallen,"Allmeindstrasse 43, ",8645 Jona, 3017400.– ,"Haustiere erlaubt, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,2.5,,,,,2025,,1,
wohnung,st-gallen,"Aachweg 1, ",9323 Steinach, 1412400.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau, Stromanschluss, Wasseranschluss",01.09.2024,Wohnung,2.5,4,130 m²,,,2024,,,
wohnung,st-gallen,"Rötlistrasse 4, ",8717 Benken SG, 1181280.– ,"Balkon / Terrasse, Kinderfreundlich, Garage, Lift, Neubau",01.05.2026,Wohnung,3.5,,170 m²,,,2024,,,
wohnung,st-gallen,"Hauptstrasse 62, ",9477 Trübbach, 763980.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,4,51 m²,,,2024,,,
wohnung,st-gallen,"Löwengartenstrasse 14, ",9400 Rorschach, 639430.– ,"Balkon / Terrasse, Reduit, Geschirrspüler, Waschmaschine, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",Sofort,Wohnung,3.5,6,31 m²,,,2023,,,
wohnung,st-gallen,"Konstanzerstrasse 30, ",9512 Rossrüti, 1155600.– ,"Haustiere erlaubt, Balkon / Terrasse, Kinderfreundlich, Lift, Neubau, Minergie Bauweise",Sofort,Wohnung,2.5,,150 m²,,,2023,,7,2.4
wohnung,st-gallen,"Gatterstrasse 25, ",9010 St. Gallen, 1091400.– ,"Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,1,55 m²,,,2025,,,
