type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,tessin?map=true&pf=1500000,,6926 Montagnola, 2694380.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau",Sofort,Wohnung,3.5,,230,,,2024,,,
wohnung,tessin?map=true&pf=1500000,,6648 Minusio, 2060640.– ,"Balkon / Terrasse, Ruhige Lage, Parkplatz, Neubau",Sofort,Wohnung,2.5,,200,237,,2022,,,
wohnung,tessin?map=true&pf=1500000,,6925 Gentilino, 2324930.– ,"Balkon / Terrasse, Kabel-TV, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Stromanschluss, Wasseranschluss, Abwasseranschluss",Sofort,Wohnung,3.5,,200,,,,,,
wohnung,tessin?map=true&pf=1500000,"Via Guidino, ",6900 Paradiso, 3110400.– ,"Balkon / Terrasse, Kabel-TV, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,250,,,2016,,,
wohnung,tessin?map=true&pf=1500000,"Via Rubiana, ",6925 Gentilino, 4004640.– ,"Balkon / Terrasse, Waschmaschine, Kabel-TV, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Stromanschluss, Wasseranschluss, Abwasseranschluss",Sofort,Attikawohnung,3.5,,350,,,2024,,,
wohnung,tessin?map=true&pf=1500000,"Via Quinta, ",6710 Biasca, 2180390.– ,"Balkon / Terrasse, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",30.12.2025,Attikawohnung,3.5,,370,,,2025,,,
wohnung,tessin?map=true&pf=1500000,,6612 Ascona, 3291840.– ,"Balkon / Terrasse, Cheminée, Neubau",Nach Vereinbarung,Wohnung,3.5,,140,,,2024,,,
wohnung,tessin?map=true&pf=1500000,,6604 Solduno, 2579040.– ,"Parkplatz, Neubau",Nach Vereinbarung,Attikawohnung,3.5,4,280,,,2013,,,
wohnung,tessin?map=true&pf=1500000,"Via Giudino 4, ",6900 Paradiso, 4179600.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Swimmingpool, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,3.5,5,290,,,2018,2021,,
wohnung,tessin?map=true&pf=1500000,,6512 Giubiasco, 2034720.– ,"Balkon / Terrasse, Parkplatz, Neubau",Sofort,Maisonette / Duplex,3.5,2,300,,,2024,,,
wohnung,tessin?map=true&pf=1500000,,6900 Massagno, 2851200.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,3.5,,170,,,2021,,,
