type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,waadt?map=false&pf=1500000,,1270 Trélex, 2227230.– ,Neubau,Nach Vereinbarung,Wohnung,4.5,,230,,,,,,
wohnung,waadt?map=false&pf=1500000,,1262 Eysins, 2049840.– ,Neubau,Nach Vereinbarung,Wohnung,2.5,,170,,,2023,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 3942000.– ,Neubau,Nach Vereinbarung,Wohnung,3.5,,240,,,,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 2733120.– ,Neubau,Nach Vereinbarung,Wohnung,3.5,,160,,,,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 2509740.– ,Neubau,Nach Vereinbarung,Wohnung,2.5,,130,,,,,,
wohnung,waadt?map=false&pf=1500000,,1095 Lutry, 2614860.– ,"Garage, Neubau",Nach Vereinbarung,Wohnung,3.5,,150,,,2024,,,
wohnung,waadt?map=false&pf=1500000,,1012 Lausanne, 2260080.– ,"Balkon / Terrasse, Aussicht, Garage, Neubau",01.09.2024,Wohnung,3.5,,150,100,,2023,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 2667420.– ,Neubau,Nach Vereinbarung,Wohnung,2.5,,150,,,,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 1984140.– ,Neubau,Nach Vereinbarung,Wohnung,3.5,,150,,,,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 3258720.– ,Neubau,Nach Vereinbarung,Wohnung,3.5,,190,,,,,,
wohnung,waadt?map=false&pf=1500000,,1009 Pully, 2102400.– ,"Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,70,,,2025,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 3376980.– ,Neubau,Nach Vereinbarung,Wohnung,3.5,,190,,,,,,
wohnung,waadt?map=false&pf=1500000,,1010 Lausanne, 2910510.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Lift, Neubau",Nach Vereinbarung,Wohnung,4.5,,210,,,2024,,,2.62
wohnung,waadt?map=false&pf=1500000,,1052 Mont sur Lausanne,auf Anfrage,"Kinderfreundlich, Parkplatz, Neubau",15.09.2024,Wohnung,3.5,2,140,,,2024,,2,
wohnung,waadt?map=false&pf=1500000,,1262 Eysins, 2128680.– ,Neubau,Nach Vereinbarung,Wohnung,3.5,,180,,,2023,,,
wohnung,waadt?map=false&pf=1500000,,1180 Rolle, 3271860.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",Nach Vereinbarung,Wohnung,3.5,,,,,2025,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 2851380.– ,Neubau,Nach Vereinbarung,Wohnung,3.5,,160,,,,,,
wohnung,waadt?map=false&pf=1500000,,1070 Puidoux, 2338920.– ,Neubau,Nach Vereinbarung,Wohnung,3.5,,,,,2021,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 2260080.– ,Neubau,Nach Vereinbarung,Wohnung,2.5,,130,,,,,,
wohnung,waadt?map=false&pf=1500000,,1197 Prangins, 2181240.– ,"Aussicht, Neubau",Nach Vereinbarung,Wohnung,3.5,1,160,,,2024,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 6070680.– ,Neubau,Nach Vereinbarung,Wohnung,4.5,,300,,,,,,
wohnung,waadt?map=false&pf=1500000,"Chemin des Vignettes, ",1185 Mont-sur-Rolle, 3771180.– ,"Aussicht, Parkplatz, Lift, Neubau",30.09.2025,Attikawohnung,4.5,,250,,,,,,
wohnung,waadt?map=false&pf=1500000,,1180 Rolle, 3560940.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rollstuhlgängig, Lift, Neubau, Minergie zertifiziert",30.09.2025,Attikawohnung,3.5,,150,,,2025,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 2299500.– ,Neubau,Nach Vereinbarung,Wohnung,2.5,,76,,,,,,
wohnung,waadt?map=false&pf=1500000,,1180 Rolle, 3252150.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rollstuhlgängig, Lift, Neubau, Minergie zertifiziert",31.03.2025,Wohnung,3.5,,140,,,2025,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 2483460.– ,Neubau,Nach Vereinbarung,Wohnung,2.5,,150,,,,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 3830310.– ,Neubau,Nach Vereinbarung,Wohnung,4.5,,250,,,,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 3521520.– ,Neubau,Nach Vereinbarung,Wohnung,3.5,,190,,,,,,
wohnung,waadt?map=false&pf=1500000,,1010 Lausanne, 2516310.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,160,,,2024,,,2.62
wohnung,waadt?map=false&pf=1500000,,1004 Lausanne,auf Anfrage,Neubau,01.12.2024,Wohnung,2.5,,70,14,,2023,,,
wohnung,waadt?map=false&pf=1500000,,1009 Pully, 3285000.– ,"Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,130,,,2025,,,
wohnung,waadt?map=false&pf=1500000,,1009 Pully, 2102400.– ,"Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Lift, Neubau",Nach Vereinbarung,Wohnung,,,,,,2025,,,
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 2214090.– ,Neubau,Nach Vereinbarung,Wohnung,2.5,,140,,,,,,
wohnung,waadt?map=false&pf=1500000,,1885 Chesières, 2444040.– ,"Balkon / Terrasse, Garage, Neubau",Nach Vereinbarung,Wohnung,4.5,,210,,,2024,,,
wohnung,waadt?map=false&pf=1500000,,1009 Pully, 4073400.– ,"Balkon / Terrasse, Aussicht, Lift, Neubau",Nach Vereinbarung,Attikawohnung,4,2,190,,,2023,,,
wohnung,waadt?map=false&pf=1500000,,1180 Rolle,auf Anfrage,Neubau,Nach Vereinbarung,Terrassenwohnung,,,180,,,,,,
wohnung,waadt?map=false&pf=1500000,,1010 Lausanne, 2562300.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,160,,,2024,,,2.62
wohnung,waadt?map=false&pf=1500000,"Route de Lausanne, ",1180 Rolle, 2588580.– ,Neubau,Nach Vereinbarung,Wohnung,3.5,,160,,,,,,
