type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,wallis?map=false&pf=400000&pt=500000,,1950 Sion, 571590.– ,"Garage, Neubau",31.07.2025,Wohnung,3.5,,54,,,2023,2025,,
wohnung,wallis?map=false&pf=400000&pt=500000,,1996 Baar (Nendaz), 655680.– ,"Balkon / Terrasse, Aussicht, Neubau",Nach Vereinbarung,Maisonette / Duplex,2.5,2,76,,,2025,,,
wohnung,wallis?map=false&pf=400000&pt=500000,,1920 Martigny, 591300.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Parkplatz, Lift, Neubau, Hochparterre",Nach Vereinbarung,Wohnung,3,1,50,,,2019,,,
wohnung,wallis?map=false&pf=400000&pt=500000,"A Verbier, ",1936 Verbier,auf Anfrage,"Balkon / Terrasse, Aussicht, Parkplatz, Garage, Neubau",02.09.2025,Wohnung,3.5,,170,,,1966,2024,,
wohnung,wallis?map=false&pf=400000&pt=500000,,1994 Aproz (Sion), 620780.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Lift, Neubau",Sofort,Wohnung,2.5,1,75,,,2024,,,
wohnung,wallis?map=false&pf=400000&pt=500000,,3970 Salgesch, 538740.– ,"Balkon / Terrasse, Aussicht, Lift, Neubau",30.04.2025,Wohnung,2.5,,130,,,2024,,,
wohnung,wallis?map=false&pf=400000&pt=500000,"A Verbier, ",1936 Verbier,auf Anfrage,"Balkon / Terrasse, Aussicht, Garage, Neubau",01.09.2025,Wohnung,3.5,,160,,,1966,2024,,
wohnung,wallis?map=false&pf=400000&pt=500000,"Mondstrasse, ",3930 Visp, 612320.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,3.5,,58,,,,,,
wohnung,wallis?map=false&pf=400000&pt=500000,,3963 Crans-Montana,auf Anfrage,"Balkon / Terrasse, Aussicht, Parkplatz, Garage, Neubau",Nach Vereinbarung,Wohnung,3,,190,250,,2016,,,
wohnung,wallis?map=false&pf=400000&pt=500000,"Rue des Verdelets 10, ",1957 Ardon, 650430.– ,"Kinderfreundlich, Neubau",Sofort,Wohnung,2.5,,69,,,2025,,,
wohnung,wallis?map=false&pf=400000&pt=500000,"A Verbier, ",1936 Verbier,auf Anfrage,Neubau,30.09.2025,Wohnung,3.5,,45,,,1966,2024,,
