type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,zuerich?map=false&pt=1000000,,8802 Kilchberg ZH,auf Anfrage,"Balkon / Terrasse, Cheminée, Aussicht, Garage, Neubau",Nach Vereinbarung,Attikawohnung,2.5,,180 m²,,,1969,2016,,
wohnung,zuerich?map=false&pt=1000000,"Aentenschnabel, ",8353 Elgg, 1268760.– ,"Balkon / Terrasse, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",01.07.2025,Wohnung,3.5,,150 m²,,,2024,,,
wohnung,zuerich?map=false&pt=1000000,"Weinbergstrasse 29, ",8802 Kilchberg ZH,auf Anfrage,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,3,280 m²,,,2023,,5,
wohnung,zuerich?map=false&pt=1000000,"Schmiedgasse 3, ",8545 Rickenbach ZH, 961380.– ,"Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,62 m²,,,2022,,,
wohnung,zuerich?map=false&pt=1000000,"Binzackerstrasse 23, ",8620 Wetzikon ZH, 1301460.– ,"Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,65 m²,,,2025,,5,
wohnung,zuerich?map=false&pt=1000000,,8000 Zürich, 1209900.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau",Sofort,Wohnung,2.5,,130 m²,,,2024,,,2.4
wohnung,zuerich?map=false&pt=1000000,"Rheinsfelderstrasse 14, ",8192 Zweidlen, 979690.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Sofort,Wohnung,2.5,,70 m²,,,2024,,,
wohnung,zuerich?map=false&pt=1000000,"Im Bödeli 8, ",8624 Grüt (Gossau ZH),auf Anfrage,Neubau,Nach Vereinbarung,Wohnung,3.5,4,170 m²,,,2025,,5,
wohnung,zuerich?map=false&pt=1000000,"Rheinsfelderstrasse 14, ",8192 Zweidlen, 1196820.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,150 m²,,,2024,,,
wohnung,zuerich?map=false&pt=1000000,"Schmiedgasse 3, ",8545 Rickenbach ZH, 1260250.– ,"Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,160 m²,,,2022,,,
