type_search,street,price,object_type,living_area,construction_category,PLZ_only,Location,canton,BFS-Nr.,Region type,Haustiere erlaubt,Balkon,Terrasse,Kabel-TV,Rollstuhlgängig,Kinderfreundlich,Garage,Lift,Neubau,Keller,Reduit,Geschirrspüler,Steamer,Spielplatz,Eckhaus,Parkplatz,Aussicht,Minergie Bauweise,Minergie zertifiziert,Mittelhaus,Ruhige Lage,Waschmaschine,Rauchen erlaubt,Stromanschluss,Wasseranschluss,Abwasseranschluss,Cheminée,Altbau,Estrich,Swimmingpool,Bauland erschlossen,Mit Gartenhaus,Im Baurecht,Hochparterre,Gasanschluss,Tumbler,In Wohngemeinschaft,Hebebühne,Gedeckt,Anfahrrampe LKW,full_address,lat,long
immobilien,Brändlihangstrasse 10,1559538.462,Attikawohnung,216.6666667,New Construction,9442,Berneck,St. Gallen,3233,2: Agglomerationskerngemeinde (Hauptkern),1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brändlihangstrasse 10 9442,,
immobilien,Brändlihangstrasse 10,991061.5385,Wohnung,133.3333333,New Construction,9442,Berneck,St. Gallen,3233,2: Agglomerationskerngemeinde (Hauptkern),1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brändlihangstrasse 10 9442,,
immobilien,Gmündstrasse 1,1086646.154,Reihenfamilienhaus,158.3333333,New Construction,9442,Berneck,St. Gallen,3233,2: Agglomerationskerngemeinde (Hauptkern),1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gmündstrasse 1 9442,,
immobilien,Schwendetalstrasse 75,2304092.308,Einfamilienhaus,408.3333333,New Construction,9057,Wasserauen,Appenzell Innerrhoden,3112,6 Kerngemeinde ausserhalb Agglomerationen,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Schwendetalstrasse 75 9057,47.28834542972293,9.432515016004952
immobilien,Chappelihof 6,794861.5385,Einfamilienhaus,107.6923077,Old Buildings,9050,Appenzell Steinegg,Appenzell Innerrhoden,3112,6 Kerngemeinde ausserhalb Agglomerationen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chappelihof 6 9050,47.32176644891449,9.430668314704173
immobilien,Rutlengasse 1,925661.5385,Einfamilienhaus,125.0,Old Buildings,9413,Oberegg,Appenzell Innerrhoden,3111,7: Ländliche Gemeinde ohne städtischen Charakter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rutlengasse 1 9413,47.42505654313536,9.549610401789806
immobilien,Berneckerstrasse 2,1499169.231,Einfamilienhaus,208.3333333,Old Buildings,9442,Büriswilen,St. Gallen,3233,2: Agglomerationskerngemeinde (Hauptkern),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berneckerstrasse 2 9442,47.43482299121946,9.608648889812423
immobilien,Brändlihangstrasse 10,799892.3077,Wohnung,108.3333333,New Construction,9442,Berneck,St. Gallen,3233,2: Agglomerationskerngemeinde (Hauptkern),1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brändlihangstrasse 10 9442,,
immobilien,Enggenhüttenstrasse 13d,1056461.538,Wohnung,125.0,New Construction,9050,Appenzell,Appenzell Innerrhoden,3101,6 Kerngemeinde ausserhalb Agglomerationen,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enggenhüttenstrasse 13d 9050,47.33329238974574,9.3948893906153
immobilien,Enggenhüttenstrasse 13c,975969.2308,Wohnung,108.3333333,New Construction,9050,Appenzell,Appenzell Innerrhoden,3101,6 Kerngemeinde ausserhalb Agglomerationen,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enggenhüttenstrasse 13c 9050,47.332922390152056,9.394955221504558
