STN_LABEL;ADR_NUMBER;zip;place;COM_CANTON;lat;long
Schaftenholzweg;24a;2557;Studen BE;BE;47.10807583935065;7.305512939112195
La Petite Fin;6;2516;Lamboing;BE;47.11119364127723;7.141246599681831
Itramenstrasse;62a;3818;Grindelwald;BE;46.61863786262006;7.999745983266275
Winklenstrasse;17;3714;Frutigen;BE;46.59631246284767;7.64741099552101
Oberburgstrasse;38d;3400;Burgdorf;BE;47.050613716669034;7.621114570468309
Lützimad;1d;3614;Unterlangenegg;BE;46.80649212414435;7.688101546097528
Krauchthalstrasse;22;3065;Bolligen;BE;46.97813226735485;7.501835395009297
Gantrischstrasse;11a;3638;Blumenstein;BE;46.742120717100846;7.5192801482956675
Aarbergstrasse;43;3250;Lyss;BE;47.07116690140733;7.303222348785074
Juraweg;10;3422;Kirchberg BE;BE;47.09078548181835;7.5828589814422065
Gaicht;19;2513;Twann;BE;47.10880963285875;7.1664107972052715
Feldstrasse;7;3454;Sumiswald;BE;47.03432027738774;7.748822985930583
Rue de l'Aurore;1;2738;Court;BE;47.2435670476676;7.344889440680802
Bettenhölzliweg;3b;4900;Langenthal;BE;47.21459351257945;7.7993703991631085
Zibelegässli;4;3612;Steffisburg;BE;46.77979899882577;7.63442229031443
Schulhausgasse;18;3110;Münsingen;BE;46.876550803044275;7.56562827571208
Nassiweg;4;3421;Lyssach;BE;47.06536152421849;7.586174177358065
Volzweg;1c;3270;Aarberg;BE;47.039700149015346;7.274184054755559
Am Rain;17;2542;Pieterlen;BE;47.177248130237125;7.343489875289351
Etzelkofenstrasse;6;3308;Grafenried;BE;47.078701596085715;7.509233871131492
Jurastrasse;13;3314;Schalunen;BE;47.111251956989044;7.525811396472146
Amselweg;2;2563;Ipsach;BE;47.11523565761227;7.237768107557274
Jaunpass;1076b;3766;Boltigen;BE;46.59141938695968;7.337902690111358
Anggistrasse;18a;3818;Grindelwald;BE;46.637402644385226;8.005282235836429
Tiefenmöslistrasse;11a;3072;Ostermundigen;BE;46.94684620661979;7.484565886763793
