type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,aargau?map=false&pt=1500000,"Weidstrasse 22, ",8962 Bergdietikon, 1839600.– ,"Kabel-TV, Aussicht, Parkplatz, Garage, Neubau, Minergie Bauweise",Sofort,Doppeleinfamilienhaus,4.5,,170,303,,2025,,2,
haus,aargau?map=false&pt=1500000,"Abtwilerstrasse 1, ",5645 Aettenschwil, 1701630.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Aussicht, Kinderfreundlich, Neubau, Minergie zertifiziert, Mittelhaus",Nach Vereinbarung,Reihenfamilienhaus,4,,230,191,838,2024,,,
haus,aargau?map=false&pt=1500000,"Bündtenstrasse 7, 9, ",5612 Villmergen, 1856680.– ,"Ruhige Lage, Kinderfreundlich, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,2,170,329,,2024,,,
haus,aargau?map=false&pt=1500000,"Kohlplatzweg 12, ",4310 Rheinfelden, 1773900.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Aussicht, Rauchen erlaubt, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Neubau, Stromanschluss, Wasseranschluss, Abwasseranschluss",Nach Vereinbarung,Reihenfamilienhaus,3.5,3,170,286,730,2024,,,2.4
haus,aargau?map=false&pt=1500000,"Jonermattenring 6, ",5313 Klingnau, 1734480.– ,"Kinderfreundlich, Parkplatz, Neubau, Minergie zertifiziert",Nach Vereinbarung,Einfamilienhaus,4.5,,170,326,,2016,,,
haus,aargau?map=false&pt=1500000,"Erlihalde, ",5106 Veltheim AG, 1168140.– ,"Haustiere erlaubt, Keller, Geschirrspüler, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau, Eckhaus",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,3,200,254,,2024,,,
haus,aargau?map=false&pt=1500000,,5606 Dintikon, 1563660.– ,"Kinderfreundlich, Parkplatz, Neubau",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,,210,383,870,2024,,,
haus,aargau?map=false&pt=1500000,"Saalhofstrasse 20b, ",5018 Erlinsbach, 1635930.– ,"Balkon / Terrasse, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,,200,338,1032,2020,,,
haus,aargau?map=false&pt=1500000,,5614 Sarmenstorf, 1806750.– ,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,,230,413,,2024,,1,
haus,aargau?map=false&pt=1500000,"Pleggasse, ",5057 Reitnau, 1600450.– ,"Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,,180,565,,2025,,,
haus,aargau?map=false&pt=1500000,"Höhenweg 9c, ",5023 Biberstein,auf Anfrage,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Neubau",Sofort,Terrassenhaus,3.5,1,210,,,2004,2024,,2.42
haus,aargau?map=false&pt=1500000,,5606 Dintikon, 1563660.– ,"Kinderfreundlich, Parkplatz, Neubau",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,,210,370,898,2024,,,
haus,aargau?map=false&pt=1500000,,4310 Rheinfelden,auf Anfrage,"Balkon / Terrasse, Waschmaschine, Cheminée, Rollstuhlgängig, Garage, Swimmingpool, Neubau, Minergie Bauweise",Nach Vereinbarung,Villa,4.5,,590,1500,,,,,
haus,aargau?map=false&pt=1500000,"Reckolderhubel, ",4665 Oftringen, 1780470.– ,"Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,,210,332,,2025,,,
haus,aargau?map=false&pt=1500000,"Worben 3, ",5706 Boniswil, 1116900.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Doppeleinfamilienhaus,2.5,3,65,537,1510,2023,,,2400
haus,aargau?map=false&pt=1500000,"Dammweg 2, ",5200 Brugg AG, 1156320.– ,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Garage, Neubau",01.09.2025,Reihenfamilienhaus,2.5,,130,,,2024,,,2.7
haus,aargau?map=false&pt=1500000,"Oberdorfstrasse 8, ",5074 Eiken,auf Anfrage,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Bauernhaus,5.5,,350,15400,3012,1914,2019,,
haus,aargau?map=false&pt=1500000,"Rossweid 10, ",5619 Büttikon AG, 1445400.– ,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Aussicht, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,4,2,200,700,976,1970,2020,,2.4
haus,aargau?map=false&pt=1500000,"Wiesenstrasse 41, ",5742 Kölliken, 1300860.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Doppeleinfamilienhaus,4,2,200,264,,2005,2017,,
haus,aargau?map=false&pt=1500000,"Delphinweg 15, ",5616 Meisterschwanden,auf Anfrage,"Balkon / Terrasse, Cheminée, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Neubau",Sofort,Einfamilienhaus,4.5,2,270,622,1097,2023,,,2.4
haus,aargau?map=false&pt=1500000,"Erlihalde, ",5106 Veltheim AG, 1168140.– ,"Haustiere erlaubt, Balkon / Terrasse, Geschirrspüler, Aussicht, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,3,200,254,,2024,,,
haus,aargau?map=false&pt=1500000,"Seengerstrasse 33, ",5704 Egliswil,auf Anfrage,"Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,,180,336,1250,2024,,,
haus,aargau?map=false&pt=1500000,"Seengerstrasse 33, ",5704 Egliswil,auf Anfrage,"Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,,210,337,1250,2024,,,
haus,aargau?map=false&pt=1500000,"Delphinweg 13, ",5616 Meisterschwanden,auf Anfrage,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Neubau",Sofort,Doppeleinfamilienhaus,3.5,2,150,356,786,2023,,,2.4
haus,aargau?map=false&pt=1500000,"Kirchenbreitestrasse 20, ",5734 Reinach, 1543950.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,3,170,244,772,2025,,,
haus,aargau?map=false&pt=1500000,"Kirchenbreitestrasse 20, ",5734 Reinach, 1543950.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,3,170,244,772,2025,,,
haus,aargau?map=false&pt=1500000,"Adelmattstrasse, ",5242 Birr, 1898730.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Parkplatz, Garage, Neubau",01.11.2025,Einfamilienhaus,4.5,3,190,465,975,2025,,,5.1
haus,aargau?map=false&pt=1500000,"Leisacherstrasse 11, ",5085 Sulz AG,auf Anfrage,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,4,3,200,915,1000,1987,2002,,2.4
haus,aargau?map=false&pt=1500000,"Sonnenbergstrasse, ",5303 Würenlingen, 1576800.– ,"Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Terrassenhaus,3.5,,130,,,2024,,,
haus,aargau?map=false&pt=1500000,,5606 Dintikon,auf Anfrage,Parkplatz,Nach Vereinbarung,Einfamilienhaus,4.5,,260,400,906,,,,
haus,aargau?map=false&pt=1500000,,5503 Schafisheim, 1314000.– ,"Balkon / Terrasse, Parkplatz",Nach Vereinbarung,Einfamilienhaus,3.5,,190,402,1400,,,,
haus,aargau?map=false&pt=1500000,,5624 Bünzen, 1826460.– ,Parkplatz,Nach Vereinbarung,Mehrfamilienhaus,8,,330,384,1337,,,,
