type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,bern?map=false&pt=1500000,"Aulengasse 30, ",3436 Zollbrück, 1824660.– ,"Haustiere erlaubt, Kabel-TV, Cheminée, Kinderfreundlich, Parkplatz, Neubau",Sofort,Einfamilienhaus,3.5,,160 m²,674 m²,,2024,,,
haus,bern?map=false&pt=1500000,"Hinter den Häusern 1, ",3235 Erlach, 1033320.– ,"Balkon / Terrasse, Keller, Geschirrspüler, Steamer, Kabel-TV, Aussicht, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Reihenfamilienhaus,2.5,4,130 m²,,,2023,,,
haus,bern?map=false&pt=1500000,"Zürich-Bernstrasse, ",3429 Höchstetten, 1293610.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,3,270 m²,327 m²,950 m³,2024,,,2.4
haus,bern?map=false&pt=1500000,"Aegelseestrasse, ",3375 Inkwil, 1641540.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Estrich, Reduit, Geschirrspüler, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,3.5,3,260 m²,525 m²,965 m³,2024,,,
haus,bern?map=false&pt=1500000,"Hinter den Häusern 1, ",3235 Erlach, 1177200.– ,"Balkon / Terrasse, Keller, Geschirrspüler, Steamer, Kabel-TV, Aussicht, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Reihenfamilienhaus,3.5,4,150 m²,,,2023,,,
haus,bern?map=false&pt=1500000,,3624 Goldiwil (Thun),auf Anfrage,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Cheminée, Rauchen erlaubt, Ruhige Lage, Kinderfreundlich, Parkplatz, Neubau, Stromanschluss, Wasseranschluss, Abwasseranschluss",Nach Vereinbarung,Einfamilienhaus,3.5,2,220 m²,3405 m²,,2024,2024,,2.5
haus,bern?map=false&pt=1500000,"Rue du Collège 17, ",2720 Tramelan, 1033320.– ,"Kinderfreundlich, Parkplatz, Neubau",31.05.2024,Einfamilienhaus,3.5,2,170 m²,275 m²,685 m³,2024,,,
haus,bern?map=false&pt=1500000,"Horbachwerweg, ",3706 Leissigen, 1555210.– ,"Balkon / Terrasse, Keller, Reduit, Aussicht, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,,,,,,2023,,,
haus,bern?map=false&pt=1500000,"Hauptstrasse 13d, ",2556 Schwadernau, 1419180.– ,"Balkon / Terrasse, Keller, Estrich, Reduit, Kinderfreundlich, Parkplatz, Neubau",Nach Vereinbarung,Einfamilienhaus,3.5,4,170 m²,402 m²,,2023,,,
haus,bern?map=false&pt=1500000,"Untere Bahnhofstrasse 5b, ",3225 Müntschemier, 1046400.– ,"Haustiere erlaubt, Kinderfreundlich, Parkplatz, Neubau, Minergie zertifiziert, Eckhaus",Sofort,Einfamilienhaus,3.5,2,170 m²,449 m²,639 m³,2023,,,
haus,bern?map=false&pt=1500000,"Aulengasse 28, ",3436 Zollbrück, 1654620.– ,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Parkplatz, Neubau",Sofort,Villa,3.5,,160 m²,403 m²,,2023,,,
haus,bern?map=false&pt=1500000,,2736 Sorvilier, 1242600.– ,"Balkon / Terrasse, Aussicht, Parkplatz, Garage, Neubau",Sofort,Villa,4.5,,200 m²,2000 m²,1082 m³,2009,,,
haus,bern?map=false&pt=1500000,"Eigerweg, ",4922 Thunstetten, 1366860.– ,"Haustiere erlaubt, Kinderfreundlich, Bauland erschlossen, Neubau, Stromanschluss, Wasseranschluss, Abwasseranschluss",Nach Vereinbarung,Einfamilienhaus,3.5,,170 m²,324 m²,,2025,,,
haus,bern?map=false&pt=1500000,"Schützenweg 5, ",3282 Bargen, 1425720.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,,200 m²,,,2024,,,
haus,bern?map=false&pt=1500000,"Hinter den Häusern 1, ",3235 Erlach, 1229520.– ,"Balkon / Terrasse, Keller, Geschirrspüler, Steamer, Kabel-TV, Aussicht, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Reihenfamilienhaus,3.5,4,130 m²,,,2023,,,
haus,bern?map=false&pt=1500000,"Gaichtstrasse, ",2512 Twann-Tüscherz, 1896600.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Aussicht, Rauchen erlaubt, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Terrassenhaus,3.5,1,210 m²,1053 m²,,2024,,,
haus,bern?map=false&pt=1500000,"Wydackerweg 14, ",3054 Schüpfen,auf Anfrage,"Balkon / Terrasse, Cheminée, Kinderfreundlich",01.07.2024,Einfamilienhaus,3.5,,190 m²,884 m²,936 m³,1978,2023,,
haus,bern?map=false&pt=1500000,"Hausenstrasse 37, ",3860 Meiringen,auf Anfrage,"Kabel-TV, Aussicht, Kinderfreundlich, Parkplatz, Swimmingpool",Sofort,Doppeleinfamilienhaus,3.5,,170 m²,219 m²,,1964,2018,,
haus,bern?map=false&pt=1500000,,2518 Nods, 1085640.– ,Kinderfreundlich,Nach Vereinbarung,Einfamilienhaus,3.5,,180 m²,383 m²,,2024,,,
haus,bern?map=false&pt=1500000,,2518 Nods, 1072560.– ,Kinderfreundlich,Nach Vereinbarung,Einfamilienhaus,3.5,,180 m²,338 m²,,2024,,,
haus,bern?map=false&pt=1500000,"Meisenweg 8, ",3506 Grosshöchstetten, 981000.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich, Parkplatz, Garage, Eckhaus",Nach Vereinbarung,Doppeleinfamilienhaus,3,,150 m²,293 m²,,1975,,,
haus,bern?map=false&pt=1500000,"Thürliweg, ",2542 Pieterlen, 1565670.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau, Minergie Bauweise",30.04.2025,Einfamilienhaus,4.5,2,250 m²,672 m²,1125 m³,2024,,,2.65
haus,bern?map=false&pt=1500000,,3113 Rubigen, 1635000.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Reihenfamilienhaus,4.5,4,170 m²,,1130 m³,2001,2023,,
haus,bern?map=false&pt=1500000,"Oberfeldweg 3c, ",3072 Ostermundigen, 1935840.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Estrich, Reduit, Geschirrspüler, Kabel-TV, Cheminée, Aussicht, Kinderfreundlich, Spielplatz, Parkplatz, Garage, Eckhaus",Sofort,Reihenfamilienhaus,4,4,320 m²,250 m²,,1994,,,
haus,bern?map=false&pt=1500000,,4900 Langenthal,auf Anfrage,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,3.5,2,260 m²,725 m²,,1936,1997,,
haus,bern?map=false&pt=1500000,"Kalkstätten 181, ",3158 Guggisberg, 510120.– ,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Reihenfamilienhaus,2.5,3,52 m²,80 m²,650 m³,,,,
haus,bern?map=false&pt=1500000,"Hintere Gasse 3, ",3132 Riggisberg, 1438800.– ,"Balkon / Terrasse, Aussicht, Parkplatz",Nach Vereinbarung,Mehrfamilienhaus,,4,300 m²,204 m²,,1984,2017,,
haus,bern?map=false&pt=1500000,"Gässli 12, ",2513 Twann, 771720.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Altbau",Nach Vereinbarung,Einfamilienhaus,3.5,2,260 m²,306 m²,880 m³,1720,1980,,
haus,bern?map=false&pt=1500000,"Mööslistrasse, ",3425 Willadingen, 1340700.– ,"Balkon / Terrasse, Cheminée, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,3,260 m²,388 m²,1006 m³,2024,,,2.4
haus,bern?map=false&pt=1500000,"Hinter den Häusern 1, ",3235 Erlach, 1190280.– ,"Balkon / Terrasse, Keller, Geschirrspüler, Steamer, Kabel-TV, Aussicht, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Reihenfamilienhaus,3.5,4,150 m²,,,2023,,,
haus,bern?map=false&pt=1500000,"Stockackerweg, ",4704 Niederbipp, 1373400.– ,"Balkon / Terrasse, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,3.5,3,190 m²,421 m²,748 m³,2023,,,2.4
haus,bern?map=false&pt=1500000,"Bodenstrasse 108, ",3783 Grund b. Gstaad,auf Anfrage,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Chalet,3.5,3,,1272 m²,,2022,,,
haus,bern?map=false&pt=1500000,"Hubel 1, ",3534 Signau, 1569600.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,5.5,4,200 m²,920 m²,819 m³,1983,2021,,2.4
haus,bern?map=false&pt=1500000,"Alpenstrasse 85G, ",3627 Heimberg, 1432260.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Garage",Nach Vereinbarung,Reihenfamilienhaus,3.5,4,210 m²,297 m²,717 m³,2005,2023,,
haus,bern?map=false&pt=1500000,"seidenfadenstrasse 3a, ",3800 Unterseen, 1373400.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz",01.06.2024,Reihenfamilienhaus,3.5,2,160 m²,152 m²,,2004,2018,,2.38
haus,bern?map=false&pt=1500000,"Mühleweg 1, ",3292 Busswil BE, 1137960.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Reihenfamilienhaus,3.5,3,260 m²,1080 m²,,1994,2014,,
haus,bern?map=false&pt=1500000,"Rue de Jolimont 8, ",2732 Reconvilier, 1045090.– ,"Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Altbau",Sofort,Einfamilienhaus,3.5,3,200 m²,893 m²,1037 m³,1987,2023,,
haus,bern?map=false&pt=1500000,"Hohmadstrasse 53, ",3600 Thun,auf Anfrage,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz",Nach Vereinbarung,Einfamilienhaus,3,2,67 m²,431 m²,535 m³,1954,2023,,2.45
haus,bern?map=false&pt=1500000,"Haltenstrasse 129, ",3145 Niederscherli, 1438800.– ,"Balkon / Terrasse, Cheminée, Aussicht, Parkplatz, Garage",Sofort,Einfamilienhaus,3.5,2,160 m²,935 m²,,1981,2010,,
haus,bern?map=false&pt=1500000,"Oberdorf 58, ",4937 Ursenbach,auf Anfrage,"Haustiere erlaubt, Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Altbau",Nach Vereinbarung,Einfamilienhaus,3.5,4,260 m²,750 m²,1006 m³,1900,2023,,2.3
haus,bern?map=false&pt=1500000,,3315 Bätterkinden,auf Anfrage,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,4.5,3,210 m²,801 m²,,1951,2022,,
haus,bern?map=false&pt=1500000,"Bachweg 48, ",3053 Lätti, 1170660.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Reihenfamilienhaus,4.5,4,240 m²,199 m²,,2001,2021,,
haus,bern?map=false&pt=1500000,"Schlüsselmattenweg 7, ",3700 Spiez, 1765800.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,3,220 m²,276 m²,936 m³,2024,,,
haus,bern?map=false&pt=1500000,"Birkenweg 10, ",4914 Roggwil, 810960.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage",Sofort,Doppeleinfamilienhaus,3,,130 m²,477 m²,500 m³,1956,2015,,
haus,bern?map=false&pt=1500000,,3072 Ostermundigen, 1242600.– ,"Balkon / Terrasse, Cheminée, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage",Sofort,Reihenfamilienhaus,3,1,,,,,,,
haus,bern?map=false&pt=1500000,"Rue du Temple 21, ",2735 Bévilard, 1124880.– ,"Haustiere erlaubt, Balkon / Terrasse, Geschirrspüler, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Altbau",Nach Vereinbarung,Einfamilienhaus,5,4,300 m²,385 m²,610 m³,,2024,,
haus,bern?map=false&pt=1500000,"Hintere Gasse 16B, ",3700 Spiez, 1765800.– ,,Nach Vereinbarung,Reihenfamilienhaus,4.5,,250 m²,,989 m³,2024,,,
haus,bern?map=false&pt=1500000,,2542 Pieterlen, 1111800.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,5,,200 m²,656 m²,1042 m³,1930,2019,,
haus,bern?map=false&pt=1500000,"Frutigenstrasse 29, ",3700 Spiez, 1373400.– ,,Nach Vereinbarung,Einfamilienhaus,4.5,3,170 m²,990 m²,936 m³,1964,2015,,
haus,bern?map=false&pt=1500000,"Niederberg 78, ",3537 Eggiwil, 1543440.– ,"Balkon / Terrasse, Parkplatz",Nach Vereinbarung,Einfamilienhaus,9,4,560 m²,1181 m²,2703 m³,1953,,,
haus,bern?map=false&pt=1500000,"Friedhofstrasse 3, ",4912 Aarwangen,auf Anfrage,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage",Sofort,Doppeleinfamilienhaus,3.5,3,220 m²,411 m²,884 m³,1989,2023,,2.43
haus,bern?map=false&pt=1500000,"Rue du Tempé 2, ",2520 La Neuveville, 1308000.– ,Altbau,Sofort,Mehrfamilienhaus,,3,350 m²,,924 m³,1730,,,
haus,bern?map=false&pt=1500000,"La rafour 6, ",2515 Prêles, 1438800.– ,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Kabel-TV, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Eckhaus",Sofort,Einfamilienhaus,4,3,360 m²,1039 m²,1234 m³,1982,,,
haus,bern?map=false&pt=1500000,"Moosbachstrasse 10, ",4911 Schwarzhäusern, 1066020.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage",Sofort,Einfamilienhaus,4,3,190 m²,746 m²,750 m³,1948,2019,,
haus,bern?map=false&pt=1500000,"Morillontreppe 50, ",3095 Spiegel b. Bern,auf Anfrage,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Swimmingpool, Altbau",Nach Vereinbarung,Einfamilienhaus,5,2,350 m²,1460 m²,,1730,2007,,
haus,bern?map=false&pt=1500000,"Stutzligasse 27, ",3855 Schwanden bei Brienz, 1896600.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Altbau",Nach Vereinbarung,Mehrfamilienhaus,6.5,3,390 m²,1299 m²,,1902,2012,,
haus,bern?map=false&pt=1500000,"Rüderswilstrasse 50, ",3437 Rüderswil, 981000.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage",Sofort,Mehrfamilienhaus,5,3,,1914 m²,1000 m³,1850,2019,,2.3
haus,bern?map=false&pt=1500000,"Galmisweg 5, ",4704 Niederbipp, 981000.– ,"Balkon / Terrasse, Cheminée, Parkplatz, Garage",Sofort,Einfamilienhaus,3.5,2,170 m²,975 m²,564 m³,1966,,,2.4
haus,bern?map=false&pt=1500000,,3294 Büren an der Aare, 1242600.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Doppeleinfamilienhaus,5.5,3,250 m²,428 m²,1170 m³,1920,2016,,
haus,bern?map=false&pt=1500000,"Im Alpenblick, ",2543 Lengnau BE,auf Anfrage,,Nach Vereinbarung,Mehrfamilienhaus,,3,,3250 m²,,,,,
haus,bern?map=false&pt=1500000,"Fleur de Lys 13, ",2608 Courtelary, 778260.– ,"Balkon / Terrasse, Keller, Estrich, Reduit, Geschirrspüler, Kabel-TV, Cheminée, Kinderfreundlich, Parkplatz, Altbau",Sofort,Einfamilienhaus,4,3,230 m²,271 m²,615 m³,1800,2011,,
haus,bern?map=false&pt=1500000,"Rue de Champ-Meusel 17, ",2610 Saint-Imier,auf Anfrage,"Aussicht, Kinderfreundlich, Garage, Altbau",Sofort,Einfamilienhaus,5,3,,1624 m²,,1905,,,
haus,bern?map=false&pt=1500000,"Niederfeldweg 10, ",4704 Niederbipp, 981000.– ,,Sofort,Einfamilienhaus,3.5,,,945 m²,,,,,
haus,bern?map=false&pt=1500000,"Gehrengasse 30, ",4704 Niederbipp, 1033320.– ,,Nach Vereinbarung,Einfamilienhaus,3.5,,,672 m²,,1947,,,
haus,bern?map=false&pt=1500000,"Bipperstrasse 16, ",4913 Bannwil, 902520.– ,"Balkon / Terrasse, Cheminée, Parkplatz, Garage",Sofort,Reihenfamilienhaus,5.5,2,220 m²,502 m²,1201 m³,1963,2006,,
haus,bern?map=false&pt=1500000,"Rue du Marché 14, ",2520 La Neuveville, 1935840.– ,"Balkon / Terrasse, Cheminée",Nach Vereinbarung,Reihenfamilienhaus,3,5,340 m²,90 m²,1235 m³,1595,2004,,
haus,bern?map=false&pt=1500000,"Rue du Marché 14, ",2520 La Neuveville, 1935840.– ,"Balkon / Terrasse, Cheminée",Nach Vereinbarung,Reihenfamilienhaus,3,5,340 m²,90 m²,1235 m³,1595,2004,,
haus,bern?map=false&pt=1500000,"Oelestrasse 13, ",2543 Lengnau, 909060.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Aussicht, Rauchen erlaubt, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Altbau, Stromanschluss, Wasseranschluss, Abwasseranschluss",Nach Vereinbarung,Einfamilienhaus,3.5,3,170 m²,636 m²,930 m³,1921,,,
haus,bern?map=false&pt=1500000,"Lotzwil, ",4932 Lotzwil, 1281840.– ,"Balkon / Terrasse, Cheminée, Parkplatz, Garage",Sofort,Einfamilienhaus,4.5,3,480 m²,729 m²,1293 m³,1928,2015,,
haus,bern?map=false&pt=1500000,"Leiserenweg 20, ",3122 Kehrsatz, 1892670.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage",Sofort,Einfamilienhaus,4.5,4,370 m²,912 m²,1240 m³,1984,2020,,
haus,bern?map=false&pt=1500000,"Fröschackerweg 4, ",4564 Zielebach, 1437490.– ,,Sofort,Einfamilienhaus,3.5,,290 m²,649 m²,1187 m³,1999,,,
haus,bern?map=false&pt=1500000,"Chanderbrügg 75, ",3645 Gwatt (Thun), 869820.– ,"Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Kabel-TV, Cheminée, Aussicht, Parkplatz, Garage, Lift, Mittelhaus",Sofort,Reihenfamilienhaus,3.5,3,140 m²,184 m²,510 m³,1988,2022,,
haus,bern?map=false&pt=1500000,"Buchshaldenstrasse 18, ",3661 Uetendorf, 1122260.– ,"Balkon / Terrasse, Keller, Geschirrspüler, Kabel-TV, Kinderfreundlich, Spielplatz, Garage, Eckhaus",Sofort,Reihenfamilienhaus,3.5,3,150 m²,200 m²,540 m³,1996,2022,,
haus,bern?map=false&pt=1500000,"Busswilstrasse 38, ",3263 Büetigen, 1170660.– ,"Balkon / Terrasse, Parkplatz",Nach Vereinbarung,Einfamilienhaus,2.5,,140 m²,863 m²,,2008,,,
