type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,freiburg,"Route du Village 52, ",1724 Le Mouret, 1307430.– ,"Haustiere erlaubt, Balkon / Terrasse, Ruhige Lage, Parkplatz, Neubau, Stromanschluss, Wasseranschluss, Abwasseranschluss",Sofort,Einfamilienhaus,3.5,3,170,484,633,2024,,,
haus,freiburg,"Chemin du Motélon, ",1630 Bulle, 2227230.– ,"Balkon / Terrasse, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,,300,415,,2023,,,
haus,freiburg,"Route du Centre, ",1727 Corpataux, 1701630.– ,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Parkplatz, Garage, Neubau",Sofort,Einfamilienhaus,4.5,3,260,467,975,2025,,,
haus,freiburg,"Route du Centre, ",1727 Corpataux, 1701630.– ,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Parkplatz, Garage, Neubau",Sofort,Einfamilienhaus,4.5,3,250,525,975,2025,,,
haus,freiburg,"Route de Chany, ",1564 Domdidier, 1471680.– ,"Balkon / Terrasse, Aussicht, Garage, Neubau",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,,190,210,,2023,,,
haus,freiburg,,1694 Chavannes sous Orsonnens, 1432260.– ,"Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Villa,4.5,3,200,464,,2024,,,2.4
haus,freiburg,"Route de Chany, ",1564 Domdidier, 1603080.– ,"Balkon / Terrasse, Aussicht, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,,200,220,,2023,,,
haus,freiburg,,1616 Attalens, 1806750.– ,"Aussicht, Garage, Neubau, Minergie Bauweise, Stromanschluss, Wasseranschluss",Nach Vereinbarung,Villa,3.5,,160,,,,,,
haus,freiburg,"Route de la Petite-Fin 29, ",1636 Broc, 1352100.– ,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Neubau, Minergie Bauweise",01.12.2024,Reihenfamilienhaus,4.5,2,160,215,640,2024,,,
haus,freiburg,,1616 Attalens, 2089260.– ,"Aussicht, Garage, Neubau, Minergie Bauweise, Stromanschluss, Wasseranschluss",Nach Vereinbarung,Villa,4.5,,190,,,,,,
haus,freiburg,,1653 Crésuz,auf Anfrage,"Balkon / Terrasse, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Chalet,4.5,,170,376,,2023,,,
haus,freiburg,,1656 Jaun, 1511100.– ,"Balkon / Terrasse, Aussicht, Garage, Neubau",Nach Vereinbarung,Chalet,3.5,,190,1105,,2022,,,
haus,freiburg,"Route de Chany, ",1564 Domdidier, 1432260.– ,"Balkon / Terrasse, Aussicht, Garage, Neubau",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,,190,242,,2023,,,
haus,freiburg,"Route de la Ria, ",1544 Gletterens, 1826460.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Parkplatz, Lift, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,,250,,,2023,,,
