type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,st-gallen,"Kronbergstrasse, ",9240 Uzwil, 1861800.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Garage, Neubau, Minergie Bauweise",31.10.2024,Doppeleinfamilienhaus,3.5,3,250 m²,328 m²,1205 m³,2024,,,2.4
haus,st-gallen,,9423 Altenrhein, 1656360.– ,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Steamer, Kabel-TV, Cheminée, Aussicht, Rollstuhlgängig, Kinderfreundlich, Spielplatz, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,3.5,2,200 m²,780 m²,,2000,2010,,
haus,st-gallen,,9000 St. Gallen,auf Anfrage,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Steamer, Kabel-TV, Cheminée, Aussicht, Rollstuhlgängig, Kinderfreundlich, Spielplatz, Parkplatz, Garage, Lift, Swimmingpool, Altbau, Minergie zertifiziert",Sofort,Villa,3,2,890 m²,2500 m²,,2012,,,
haus,st-gallen,"Schmidbergstrasse 8, ",9631 Ulisbach,auf Anfrage,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Altbau",Sofort,Einfamilienhaus,3.5,4,120 m²,644 m²,957 m³,1933,2017,,2.2
haus,st-gallen,,8881 Tscherlach, 1123500.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Garage",Nach Vereinbarung,Reihenfamilienhaus,2.5,3,120 m²,230 m²,,1993,2022,,
haus,st-gallen,"Hörenstrasse 20, ",9113 Degersheim, 1521540.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau, Minergie Bauweise",30.09.2026,Doppeleinfamilienhaus,3.5,3,200 m²,324 m²,900 m³,2026,,,2.42
haus,st-gallen,"Ulrich-Röschstrasse 10, ",9500 Wil SG, 2811960.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Kabel-TV, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau, Minergie zertifiziert",01.05.2025,Einfamilienhaus,3,4,270 m²,329 m²,1438 m³,2024,,,
haus,st-gallen,,9500 Wil,auf Anfrage,"Balkon / Terrasse, Kabel-TV, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Villa,4.5,3,390 m²,867 m²,,2022,,,
haus,st-gallen,"Solenbergstrasse 106, ",8723 Schänis, 1457340.– ,"Balkon / Terrasse, Aussicht, Ruhige Lage, Parkplatz, Garage, Neubau, Minergie zertifiziert, Minergie Bauweise",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,2,190 m²,,,2023,,,
haus,st-gallen,,8730 Uznach, 2439600.– ,"Balkon / Terrasse, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Neubau",Sofort,Einfamilienhaus,3.5,4,260 m²,424 m²,,2025,,,
haus,st-gallen,"Lindaustrasse 10a, ",9524 Zuzwil SG,auf Anfrage,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Bauland erschlossen, Neubau",Nach Vereinbarung,Einfamilienhaus,3.5,3,190 m²,497 m²,1007 m³,2024,,,
haus,st-gallen,"Solenberg 106, ",8723 Schänis, 1656360.– ,"Balkon / Terrasse, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Neubau, Minergie zertifiziert, Minergie Bauweise",Nach Vereinbarung,Doppeleinfamilienhaus,3.5,2,210 m²,,,2023,,,
haus,st-gallen,,9010 St. Gallen,auf Anfrage,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Neubau",Nach Vereinbarung,Villa,3.5,,520 m²,,,2018,,,
haus,st-gallen,"Neuwiesstrasse 6a, ",9435 Heerbrugg, 1791180.– ,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Bauland erschlossen, Neubau",Nach Vereinbarung,Einfamilienhaus,3.5,2,190 m²,396 m²,750 m³,2024,,,2.45
haus,st-gallen,"Kirchenaustrasse, ",9430 St. Margrethen SG, 1348200.– ,"Balkon / Terrasse, Reduit, Geschirrspüler, Steamer, Kinderfreundlich, Spielplatz, Parkplatz, Garage, Neubau, Mittelhaus",Nach Vereinbarung,Reihenfamilienhaus,3.5,2,220 m²,735 m²,1220 m³,2025,,,2.4
haus,st-gallen,"Unterdorfstrasse, ",9621 Oberhelfenschwil, 1784760.– ,"Balkon / Terrasse, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Neubau, Minergie Bauweise",Sofort,Einfamilienhaus,3.5,2,190 m²,751 m²,956 m³,2024,,,2.45
