type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,tessin?map=true&pf=1250000&pt=2500000,,6987 Caslano, 1684800.– ,"Cheminée, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,3.5,2,230,,,2021,,1,260
haus,tessin?map=true&pf=1250000&pt=2500000,"Via Salici 16, ",6987 Caslano, 1620000.– ,Parkplatz,Nach Vereinbarung,Villa,3.5,,240,150,,2017,,,
haus,tessin?map=true&pf=1250000&pt=2500000,"Via Rava, ",6974 Aldesago, 2851200.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Aussicht, Ruhige Lage, Parkplatz, Garage",Sofort,Villa,4.5,3,320,,,,,,
haus,tessin?map=true&pf=1250000&pt=2500000,"Via alla Cava 7, ",6965 Cadro, 1937520.– ,"Balkon / Terrasse, Cheminée, Parkplatz, Swimmingpool",Nach Vereinbarung,Villa,4.5,,470,650,,1970,,,
haus,tessin?map=true&pf=1250000&pt=2500000,"via collina d'oro, ",6926 Montagnola, 2073600.– ,Parkplatz,Nach Vereinbarung,Villa,3,,300,140,,,,,
haus,tessin?map=true&pf=1250000&pt=2500000,"Via Costascia 6, ",6578 Caviano, 2941920.– ,"Balkon / Terrasse, Cheminée, Parkplatz, Garage, Swimmingpool",Nach Vereinbarung,Einfamilienhaus,4.5,,370,1759,,1983,,,
haus,tessin?map=true&pf=1250000&pt=2500000,"Via Lübiee 39, ",6575 Vairano, 1645920.– ,"Balkon / Terrasse, Cheminée, Parkplatz",Nach Vereinbarung,Einfamilienhaus,4.5,,190,446,,1990,,2,
haus,tessin?map=true&pf=1250000&pt=2500000,"Via San Carlo 15, ",6600 Muralto, 2527200.– ,"Balkon / Terrasse, Cheminée, Parkplatz",Nach Vereinbarung,Einfamilienhaus,3.5,2,180,327,,1929,2021,,
haus,tessin?map=true&pf=1250000&pt=2500000,"Via Boschetto 1 a, ",6654 Cavigliano, 1671840.– ,"Rollstuhlgängig, Parkplatz",Nach Vereinbarung,Einfamilienhaus,3.5,,200,551,,2015,,,
haus,tessin?map=true&pf=1250000&pt=2500000,"Via Livurcio 6, ",6622 Ronco sopra Ascona, 2721600.– ,"Balkon / Terrasse, Swimmingpool",Nach Vereinbarung,Einfamilienhaus,3,,240,866,,1966,,2,
haus,tessin?map=true&pf=1250000&pt=2500000,,6834 Morbio Inferiore, 1727560.– ,"Balkon / Terrasse, Cheminée, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage",Sofort,Villa,4,3,420,452,222,1988,2021,,2.9
