type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,waadt?map=false&pf=1500000&pt=2500000,,1807 Blonay, 2537330.– ,"Aussicht, Garage, Neubau",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,,200,526,1070,2024,,,
haus,waadt?map=false&pf=1500000&pt=2500000,,1169 Yens, 2430900.– ,"Cheminée, Garage, Lift, Swimmingpool, Neubau, Minergie Bauweise",Nach Vereinbarung,Einfamilienhaus,6.5,,420,1181,2340,2025,,,
haus,waadt?map=false&pf=1500000&pt=2500000,,1009 Pully, 3127320.– ,"Aussicht, Neubau, Minergie zertifiziert, Minergie Bauweise",Nach Vereinbarung,Reihenfamilienhaus,4.5,,,,,2024,,,
haus,waadt?map=false&pf=1500000&pt=2500000,,1315 La Sarraz, 2562300.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Parkplatz, Neubau",Sofort,Villa,4.5,3,330,898,,,,,2.5
haus,waadt?map=false&pf=1500000&pt=2500000,,1297 Founex,auf Anfrage,"Balkon / Terrasse, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,5.5,,420,,,2024,,1,
haus,waadt?map=false&pf=1500000&pt=2500000,,1807 Blonay, 3087900.– ,"Aussicht, Parkplatz, Neubau",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,,200,463,1042,2024,,,
haus,waadt?map=false&pf=1500000&pt=2500000,,1807 Blonay, 2537330.– ,"Aussicht, Garage, Neubau",15.12.2025,Doppeleinfamilienhaus,4.5,,200,526,1134,2024,,,
haus,waadt?map=false&pf=1500000&pt=2500000,"Chemin du Lacuez, ",1807 Blonay, 3219300.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau, Minergie Bauweise",Nach Vereinbarung,Einfamilienhaus,5.5,,,1000,,2024,,,
haus,waadt?map=false&pf=1500000&pt=2500000,,1029 Villars-Ste-Croix,auf Anfrage,Neubau,Sofort,Einfamilienhaus,6,,720,1910,,2023,,,
haus,waadt?map=false&pf=1500000&pt=2500000,,1865 Les Diablerets, 3022200.– ,"Balkon / Terrasse, Aussicht, Garage, Neubau",Sofort,Chalet,7,4,390,1696,1403,2019,,,
