type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
haus,wallis?map=false&pf=900000&pt=1500000,"Corniche du Soleil, ",3960 Sierre, 1471680.– ,"Balkon / Terrasse, Lift, Neubau, Mittelhaus",Nach Vereinbarung,Einfamilienhaus,3.5,,,,,,,,
haus,wallis?map=false&pf=900000&pt=1500000,"Rte d'Outre-Vièze 75, ",1870 Monthey, 1370500.– ,"Aussicht, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,,170,,508,2024,,,
haus,wallis?map=false&pf=900000&pt=1500000,"Route de Grand-Combe 72, ",3961 Grimentz, 1806750.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Neubau",Sofort,Chalet,4.5,3,190,310,,,,,
haus,wallis?map=false&pf=900000&pt=1500000,"Route d'Epran, ",1993 Veysonnaz, 1215450.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Cheminée, Aussicht, Rauchen erlaubt, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Im Baurecht, Neubau, Hochparterre, Stromanschluss, Wasseranschluss, Abwasseranschluss",Sofort,Chalet,3.5,3,290,447,,2024,,,
haus,wallis?map=false&pf=900000&pt=1500000,,1926 Fully,auf Anfrage,"Aussicht, Garage, Neubau",31.08.2024,Doppeleinfamilienhaus,4.5,,200,,,2024,,,
haus,wallis?map=false&pf=900000&pt=1500000,"Rte d'Outre-Vièze 75, ",1870 Monthey, 1405980.– ,"Aussicht, Neubau",Nach Vereinbarung,Einfamilienhaus,3.5,,170,,508,2024,,,
haus,wallis?map=false&pf=900000&pt=1500000,,3973 Venthône, 1281150.– ,"Aussicht, Parkplatz, Garage, Neubau",01.03.2025,Villa,4.5,,280,570,,2024,,,
haus,wallis?map=false&pf=900000&pt=1500000,"Corniche du Soleil, ",3960 Sierre, 1563660.– ,"Balkon / Terrasse, Lift, Neubau, Mittelhaus",Nach Vereinbarung,Einfamilienhaus,3.5,,,,,,,,
haus,wallis?map=false&pf=900000&pt=1500000,"Rte d'Outre-Vièze 75, ",1870 Monthey, 1356040.– ,"Aussicht, Neubau",Nach Vereinbarung,Einfamilienhaus,3.5,,170,,508,2024,,,
haus,wallis?map=false&pf=900000&pt=1500000,"Aegärtustrasse 11, ",3916 Ferden,auf Anfrage,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau",Sofort,Einfamilienhaus,3.5,2,150,290,486,2024,,,2.6
haus,wallis?map=false&pf=900000&pt=1500000,,1978 Lens,auf Anfrage,"Aussicht, Parkplatz, Garage, Neubau",Nach Vereinbarung,Chalet,2.5,,210,795,,,,,
haus,wallis?map=false&pf=900000&pt=1500000,"Südstrasse, ",3942 St. German, 1681920.– ,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,3,240,300,,2023,,1,
haus,wallis?map=false&pf=900000&pt=1500000,"Corniche du Soleil, ",3960 Sierre, 1695060.– ,"Balkon / Terrasse, Lift, Neubau, Mittelhaus",Nach Vereinbarung,Einfamilienhaus,4.5,,,,,,,,
haus,wallis?map=false&pf=900000&pt=1500000,,3984 Fiesch,auf Anfrage,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Garage, Neubau, Minergie Bauweise",Nach Vereinbarung,Chalet,2.5,2,130,330,,2023,,,
haus,wallis?map=false&pf=900000&pt=1500000,,1987 Hérémence, 1839600.– ,"Haustiere erlaubt, Balkon / Terrasse, Parkplatz, Lift, Swimmingpool, Neubau",Nach Vereinbarung,Chalet,4.5,,250,543,,2024,,1,
