type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
immobilien,basel-stadt,"Basel, ",4057 Basel, 1258320.– ,"Balkon / Terrasse, Parkplatz, Garage, Lift, Im Baurecht",Sofort,Maisonette / Duplex,2.5,4,130 m²,,,1990,,,
immobilien,basel-stadt,"Riehen, ",4125 Riehen, 2722080.– ,"Balkon / Terrasse, Cheminée, Garage",Sofort,Einfamilienhaus,3.5,3,170 m²,832 m²,831 m³,1948,2012,,
immobilien,basel-stadt,"Basel, ",4054 Basel, 2047980.– ,"Balkon / Terrasse, Garage",Nach Vereinbarung,Dachwohnung,2.5,4,220 m²,,,1930,2005,,
immobilien,basel-stadt,"Im Sesselacker 24, ",4059 Basel, 1181280.– ,"Balkon / Terrasse, Aussicht",Sofort,Wohnung,2.5,,50 m²,,,1937,2022,,2.58
immobilien,basel-stadt,"Bäumlihofstrasse 125, ",4058 Basel, 2118600.– ,"Balkon / Terrasse, Kinderfreundlich, Eckhaus",01.10.2024,Reihenfamilienhaus,3,,190 m²,434 m²,,1925,,2,
immobilien,basel-stadt,"Elisabethenstrasse, ",4051 Basel, 2028720.– ,"Balkon / Terrasse, Rollstuhlgängig, Lift",Sofort,Wohnung,2.5,,170 m²,,,1996,2021,,
immobilien,basel-stadt,"Austrasse 111, ",4051 Basel, 7447200.– ,"Aussicht, Parkplatz",Nach Vereinbarung,Mehrfamilienhaus,,6,,475 m²,6270 m³,1975,2021,,
immobilien,basel-stadt,"Anwilerstrasse 10, ",4059 Basel, 1129920.– ,"Haustiere erlaubt, Balkon / Terrasse, Geschirrspüler, Waschmaschine, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift",Sofort,Wohnung,3.5,,130 m²,,,1969,1997,,
immobilien,basel-stadt,,4054 Basel,auf Anfrage,"Kinderfreundlich, Mittelhaus",Nach Vereinbarung,Villa,3,,200 m²,247 m²,,1928,2021,,
immobilien,basel-stadt,,4125 Riehen, 4429800.– ,"Balkon / Terrasse, Mit Gartenhaus, Kinderfreundlich, Garage",Sofort,Mehrfamilienhaus,,,,,,1980,2008,,
immobilien,basel-stadt,"Bäumlihofstrasse 381, ",4125 Riehen, 744720.– ,"Balkon / Terrasse, Kinderfreundlich, Garage",Nach Vereinbarung,Wohnung,2,,40 m²,,,1964,,,
immobilien,basel-stadt,"Lerchenstrasse 2, ",4059 Basel, 2176380.– ,"Balkon / Terrasse, Cheminée, Aussicht",Sofort,Maisonette / Duplex,3.5,2,220 m²,,,1910,,3,
immobilien,basel-stadt,"Im Hirshalm 42, ",4125 Riehen, 744720.– ,"Balkon / Terrasse, Aussicht, Lift",Sofort,Wohnung,2.5,,36 m²,,,1974,,8,
immobilien,basel-stadt,,4058 Basel, 2054400.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",Nach Vereinbarung,Maisonette / Duplex,2.5,2,,,,2024,,6,
immobilien,basel-stadt,"Meierweg 44, ",4125 Riehen, 2247000.– ,"Balkon / Terrasse, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Reihenfamilienhaus,2.5,,170 m²,,,2024,,,
immobilien,basel-stadt,"Unterm Schellenberg 153, ",4125 Riehen, 1592160.– ,"Haustiere erlaubt, Rollstuhlgängig, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,2,,,,2024,,6,2.5
immobilien,basel-stadt,,4055 Basel, 1142760.– ,"Cheminée, Parkplatz, Garage, Lift",Nach Vereinbarung,Wohnung,2.5,3,45 m²,811 m²,,1973,,,
immobilien,basel-stadt,"Basel, ",4053 Basel, 1149180.– ,"Balkon / Terrasse, Cheminée",Nach Vereinbarung,Wohnung,2.5,4,48 m²,,,1890,1998,,
immobilien,basel-stadt,"Basel, ",4057 Basel, 1014360.– ,"Balkon / Terrasse, Lift",Sofort,Wohnung,2.5,,53 m²,,,1972,2021,,
immobilien,basel-stadt,"Unterm Schellenberg 153, ",4125 Riehen, 2054400.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",Nach Vereinbarung,Maisonette / Duplex,2.5,2,,,,2024,,6,
immobilien,basel-stadt,"Fürstensteinerstrasse 59, ",4053 Basel, 1900320.– ,"Balkon / Terrasse, Kabel-TV",Nach Vereinbarung,Dachwohnung,2,,160 m²,,1416 m³,1933,2023,,
immobilien,basel-stadt,"Im Hinterengeli 6, ",4125 Riehen, 2413920.– ,"Balkon / Terrasse, Kabel-TV, Kinderfreundlich",Sofort,Doppeleinfamilienhaus,4,,240 m²,282 m²,739 m³,1995,,,
immobilien,basel-stadt,,4055 Basel, 699780.– ,,Nach Vereinbarung,Wohnung,3.5,,30 m²,,,1930,,,
immobilien,basel-stadt,"Gotthardstrasse 37, ",4054 Basel, 622740.– ,"Balkon / Terrasse, Lift, Im Baurecht",Nach Vereinbarung,Wohnung,2,,40 m²,,,,,,
immobilien,basel-stadt,"In den Klostermatten 10, ",4052 Basel, 706200.– ,"Balkon / Terrasse, Lift",Nach Vereinbarung,Wohnung,2.5,,38 m²,1518 m²,,1965,,,
immobilien,basel-stadt,"Neuweilerstrasse 101, ",4054 Basel, 1605000.– ,"Garage, Lift",Nach Vereinbarung,Wohnung,2.5,,120 m²,1252 m²,11712 m³,2017,,,
immobilien,basel-stadt,"Unterm Schellenberg 176, ",4125 Riehen, 1476600.– ,"Parkplatz, Mittelhaus",Nach Vereinbarung,Reihenfamilienhaus,2.5,,52 m²,184 m²,,1955,2023,,
immobilien,basel-stadt,"Rennweg 51, ",4052 Basel,auf Anfrage,"Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Garage, Lift, Swimmingpool",Sofort,Wohnung,3.5,,220 m²,3103 m²,,1973,2024,,2.61
immobilien,basel-stadt,"Lehenmattstrasse 242, ",4052 Basel, 950160.– ,"Balkon / Terrasse, Waschmaschine, Kabel-TV",Nach Vereinbarung,Wohnung,2.5,,41 m²,,,,,,
immobilien,basel-stadt,"Oberer Batterieweg 84, ",4059 Basel,auf Anfrage,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau, Minergie Bauweise",Sofort,Wohnung,3.5,,210 m²,,,2023,,,
immobilien,basel-stadt,"St. Jakobs-Strasse 151, ",4052 Basel, 1476600.– ,"Balkon / Terrasse, Kabel-TV",Sofort,Wohnung,2,,120 m²,407 m²,,1929,2011,,2.66
immobilien,basel-stadt,,4125 Riehen, 706200.– ,Cheminée,Nach Vereinbarung,Dachwohnung,3.5,,48 m²,,,1865,1996,,
immobilien,basel-stadt,,4054 Basel, 1065720.– ,Balkon / Terrasse,Nach Vereinbarung,Dachwohnung,2,2,40 m²,,,1904,,,
immobilien,basel-stadt,"Aeussere Baselstrasse 143, ",4125 Riehen, 1771920.– ,,Sofort,Reihenfamilienhaus,3,,170 m²,,736 m³,1923,,,
immobilien,basel-stadt,"Burgstrasse 73, ",4125 Riehen, 2028720.– ,"Haustiere erlaubt, Cheminée, Kinderfreundlich, Parkplatz, Garage, Lift",Nach Vereinbarung,Dachwohnung,3.5,4,220 m²,1495 m²,10846 m³,1994,,15,
immobilien,basel-stadt,"Sierenzerstrasse 23, ",4055 Basel, 995100.– ,"Haustiere erlaubt, Balkon / Terrasse, Rauchen erlaubt, Ruhige Lage, Kinderfreundlich",Nach Vereinbarung,Wohnung,2.5,,49 m²,,,1958,2023,,
immobilien,basel-stadt,"Niederholzstrasse 38, ",4125 Riehen, 1104240.– ,"Haustiere erlaubt, Balkon / Terrasse, Cheminée, Kinderfreundlich, Garage",Sofort,Dachwohnung,2.5,3,120 m²,644 m²,2579 m³,1981,2010,5,
immobilien,basel-stadt,"Fürstensteinerstrasse 59, ",4053 Basel, 1206960.– ,"Balkon / Terrasse, Kabel-TV",Nach Vereinbarung,Wohnung,2,,40 m²,,1416 m³,1933,2023,,
immobilien,basel-stadt,"Conrad Ferdinand Meyer-Strasse 32, ",4059 Basel, 1412400.– ,"Balkon / Terrasse, Kabel-TV, Garage, Lift",Nach Vereinbarung,Wohnung,2.5,,120 m²,1128 m²,,1973,,,
immobilien,basel-stadt,,4054 Basel, 1181280.– ,Balkon / Terrasse,Nach Vereinbarung,Wohnung,2,,46 m²,,,1910,2023,,
immobilien,basel-stadt,"Schützenmattstrasse 52, ",4051 Basel, 1271160.– ,,Nach Vereinbarung,Wohnung,2.5,,130 m²,,,1975,,,
immobilien,basel-stadt,"Schützenmattstrasse 52, ",4051 Basel, 1540800.– ,,Nach Vereinbarung,Wohnung,2.5,,130 m²,,,1975,,,
immobilien,basel-stadt,"Morystrasse 92, ",4125 Riehen, 1181280.– ,"Balkon / Terrasse, Parkplatz",Nach Vereinbarung,Wohnung,2.5,4,51 m²,,2766 m³,1962,,,
immobilien,basel-stadt,"Morystrasse 92, ",4125 Riehen, 1181280.– ,"Balkon / Terrasse, Parkplatz",Nach Vereinbarung,Wohnung,2.5,4,51 m²,,2766 m³,1962,,,
immobilien,basel-stadt,,4059 Basel, 3595200.– ,"Balkon / Terrasse, Kabel-TV, Cheminée",Sofort,Wohnung,3.5,,310 m²,423 m²,,1913,2024,,
immobilien,basel-stadt,"Beim Buremichelskopf 21, ",4059 Basel, 5778000.– ,,Nach Vereinbarung,Villa,4,,400 m²,1070 m²,1740 m³,,,,
immobilien,basel-stadt,"Fischerweg, ",4058 Basel, 2889000.– ,,Nach Vereinbarung,Wohnung,3,,220 m²,,,2003,,,
immobilien,basel-stadt,"Gellertstrasse 18, ",4052 Basel,auf Anfrage,"Balkon / Terrasse, Cheminée, Rollstuhlgängig, Garage, Lift",Nach Vereinbarung,Attikawohnung,3,,300 m²,,,1966,,,
immobilien,basel-stadt,"Steinbühlallee 189, ",4054 Basel, 1534380.– ,"Balkon / Terrasse, Aussicht, Parkplatz, Garage",Nach Vereinbarung,Wohnung,3,3,160 m²,,,1961,,,
immobilien,basel-stadt,"Zürcherstrasse 146, ",4052 Basel, 2285520.– ,"Balkon / Terrasse, Keller, Geschirrspüler, Waschmaschine, Tumbler, Aussicht, Rollstuhlgängig, Garage, Lift",Nach Vereinbarung,Wohnung,3.5,,150 m²,,,,,,
