type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
immobilien,glarus?loc=geo-canton-jura,,2943 Vendlincourt,auf Anfrage,"Aussicht, Parkplatz, Garage, Neubau",Sofort,Villa,4.5,,200,,,2023,,,
immobilien,glarus?loc=geo-canton-jura,"Rue des Grands-Prés, ",2854 Haute-Sorne, 913230.– ,"Balkon / Terrasse, Ruhige Lage, Garage, Neubau",Sofort,Einfamilienhaus,4.5,2,,410,,2024,,,2.47
immobilien,glarus?loc=geo-canton-jura,"Sur Roté, ",2942 Alle, 781830.– ,"Balkon / Terrasse, Kabel-TV, Ruhige Lage, Kinderfreundlich, Parkplatz, Neubau",Sofort,Doppeleinfamilienhaus,4.5,1,190,,,2022,,,
immobilien,glarus?loc=geo-canton-jura,"Chemin de la Combe, ",2853 Courfaivre, 1228590.– ,"Balkon / Terrasse, Ruhige Lage, Kinderfreundlich, Parkplatz, Neubau",Nach Vereinbarung,Villa,4.5,2,190,417,,2023,,,
immobilien,glarus?loc=geo-canton-jura,"Milieu du Village 2, ",2923 Courtemaîche,auf Anfrage,"Aussicht, Neubau",Nach Vereinbarung,Einfamilienhaus,4.5,,160,706,,,,1,
immobilien,glarus?loc=geo-canton-jura,,2912 Réclère, 913230.– ,"Balkon / Terrasse, Kabel-TV, Neubau, Minergie Bauweise",Nach Vereinbarung,Einfamilienhaus,4.5,,210,670,,2023,,,
immobilien,glarus?loc=geo-canton-jura,,2916 Fahy,auf Anfrage,"Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,,,,888,,,,,
immobilien,glarus?loc=geo-canton-jura,"Rue Denise Péronne 2, ",2800 Delémont, 530850.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Sofort,Wohnung,2.5,,61,,,2022,,,
immobilien,glarus?loc=geo-canton-jura,"Rue du Breuil, ",2952 Cornol, 1048570.– ,"Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau",01.07.2024,Einfamilienhaus,4.5,2,170,595,784,2024,,,
immobilien,glarus?loc=geo-canton-jura,,2853 Courfaivre, 705610.– ,"Lift, Neubau",Nach Vereinbarung,Attikawohnung,2.5,,140,,,2024,,,
immobilien,glarus?loc=geo-canton-jura,,2824 Vicques, 643860.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,67,,,2023,,,
immobilien,glarus?loc=geo-canton-jura,"Primevères, ",2854 Bassecourt,auf Anfrage,"Balkon / Terrasse, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Sofort,Terrassenwohnung,3.5,,130,,,,,,
immobilien,glarus?loc=geo-canton-jura,,2853 Courfaivre, 692470.– ,"Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,150,,,,,,
immobilien,glarus?loc=geo-canton-jura,,2853 Courfaivre, 679330.– ,"Balkon / Terrasse, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,150,,,2024,,,
immobilien,glarus?loc=geo-canton-jura,"Rue Denise Péronne 2, ",2800 Delémont, 360030.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Sofort,Wohnung,3.5,,41,,,2022,,,
immobilien,glarus?loc=geo-canton-jura,"Badstrasse 27A, ",8867 Glarus Nord, 932940.– ,"Balkon / Terrasse, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,,73,,,2024,,,
