type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
immobilien,graubuenden,"Gassa Suto 33, ",7013 Domat/Ems, 1307430.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rollstuhlgängig, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise, Stromanschluss, Wasseranschluss, Abwasseranschluss",01.08.2025,Maisonette / Duplex,3.5,,140,,,2025,,,
immobilien,graubuenden,"Gassa Suto 33, ",7013 Domat/Ems, 1419120.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rollstuhlgängig, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise, Stromanschluss, Wasseranschluss, Abwasseranschluss",01.08.2025,Wohnung,4.5,,160,,,2025,,,
immobilien,graubuenden,"Via Tinus 24, ",7500 St. Moritz,auf Anfrage,"Balkon / Terrasse, Kabel-TV, Cheminée, Aussicht, Rollstuhlgängig, Parkplatz, Garage, Neubau, Hochparterre",Sofort,Einfamilienhaus,4,4,590,,,2013,,,
immobilien,graubuenden,"Gassa Suto 33, ",7013 Domat/Ems, 1044630.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rollstuhlgängig, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise, Stromanschluss, Wasseranschluss, Abwasseranschluss",01.08.2025,Wohnung,2.5,,130,,,2025,,,
immobilien,graubuenden,"Gassa Suto 33, ",7013 Domat/Ems, 1511100.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rollstuhlgängig, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise, Stromanschluss, Wasseranschluss, Abwasseranschluss",01.08.2025,Maisonette / Duplex,3.5,,170,,,2025,,,
immobilien,graubuenden,"Gassa Suto 33, ",7013 Domat/Ems, 1156320.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rollstuhlgängig, Parkplatz, Garage, Lift, Neubau, Stromanschluss, Wasseranschluss, Abwasseranschluss",01.08.2025,Wohnung,3.5,,140,,,2025,,,
immobilien,graubuenden,"Fanalweg 3a, ",7307 Jenins, 2982780.– ,"Balkon / Terrasse, Aussicht, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau",30.09.2024,Wohnung,4.5,,260,,,2023,,,
immobilien,graubuenden,"Gassa Suto 33, ",7013 Domat/Ems, 1024920.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rollstuhlgängig, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise, Stromanschluss, Wasseranschluss, Abwasseranschluss",01.08.2025,Wohnung,2.5,,75,,,2025,,,
immobilien,graubuenden,"Dorfstrasse 78, ",7220 Schiers, 1204930.– ,"Balkon / Terrasse, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,3,170,,,2023,,11,
immobilien,graubuenden,"Via Muschnas 3, ",7180 Disentis, 1031490.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie Bauweise",01.07.2025,Wohnung,3.5,,130,,,2025,,,
immobilien,graubuenden,"Via Muschnas 3, ",7180 Disentis, 867240.– ,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie Bauweise",01.07.2025,Wohnung,2.5,,64,,,2025,,,
immobilien,graubuenden,"Gassa Suto 33, ",7013 Domat/Ems, 624150.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rollstuhlgängig, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise, Stromanschluss, Wasseranschluss, Abwasseranschluss",01.08.2025,Wohnung,3.5,,40,,,2025,,,
immobilien,graubuenden,"Rheinfelsstrasse 80, ",7000 Chur, 722700.– ,"Balkon / Terrasse, Aussicht, Neubau",Sofort,Wohnung,3.5,,51,,,2022,,,2.7
immobilien,graubuenden,,6556 Leggia, 709560.– ,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Parkplatz, Neubau",Nach Vereinbarung,Wohnung,2.5,1,130,,,2023,,2,2.4
immobilien,graubuenden,"Via Principale 741, ",7746 Le Prese, 716130.– ,"Aussicht, Parkplatz, Lift, Neubau",Sofort,Dachwohnung,2.5,2,150,1585,,2015,,,
immobilien,graubuenden,"Dorfstrasse 78, ",7220 Schiers, 1622790.– ,"Balkon / Terrasse, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,3,240,,,2023,,11,
immobilien,graubuenden,"Solariastrasse, ",7260 Davos Dorf, 2312640.– ,"Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,3.5,3,190,,,2025,,,
immobilien,graubuenden,"Vorholzweg 6, ",7203 Trimmis, 1169460.– ,"Cheminée, Kinderfreundlich, Garage",Sofort,Einfamilienhaus,4.5,3,170,375,,,,,
immobilien,graubuenden,"Via DA la Rasiga 23, ",7745 Li Curt,auf Anfrage,"Balkon / Terrasse, Cheminée, Aussicht, Kinderfreundlich, Parkplatz, Minergie zertifiziert, Minergie Bauweise",Nach Vereinbarung,Einfamilienhaus,4.5,3,250,522,,1994,,,2.3
immobilien,graubuenden,"Via Runs 14, ",7031 Laax, 1261440.– ,"Balkon / Terrasse, Aussicht, Garage",Sofort,Möbliertes Wohnobjekt,2,,,,,,2024,,
immobilien,graubuenden,"Via Da Brentsch 416cf, ",7550 Scuol, 1314000.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift",Sofort,Terrassenwohnung,2.5,,69,,,,2018,,
immobilien,graubuenden,"Linde 3, ",7412 Scharans, 1563660.– ,,Sofort,Mehrfamilienhaus,,,300,507,,1900,1995,3,
