type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,,6330 Cham, 1714770.– ,Garage,Nach Vereinbarung,Wohnung,3.5,,130,,,,2023,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,,6472 Erstfeld, 400770.– ,"Balkon / Terrasse, Parkplatz",Nach Vereinbarung,Dachwohnung,3.5,,35,,,,2004,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Lutisbachweg 5, ",6315 Oberägeri, 2917080.– ,"Rollstuhlgängig, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,3.5,4,160,,,2023,,9,2.5
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Lutisbachweg 13, ",6315 Oberägeri, 2575440.– ,"Rollstuhlgängig, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,4,130,,,2023,,9,2.5
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,,6490 Andermatt, 1281150.– ,"Aussicht, Parkplatz, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,3.5,3,150,419,,2023,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Bahnhofstrasse 2, ",6460 Altdorf UR, 1103760.– ,"Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,,73,,,2023,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Fabrikstrasse 10, ",8806 Wollerau,auf Anfrage,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,3.5,5,,,,2024,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Gütschweg 1, Goldau, ",6410 Goldau, 1222020.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,3.5,,50,,,2025,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Ritomgasse 9, ",6490 Andermatt, 721380.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",Nach Vereinbarung,Studio,2.5,,21,,,2022,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Hünistrasse, ",6473 Silenen, 1281150.– ,"Aussicht, Parkplatz, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,3.5,3,150,419,,2023,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Bahnhofstrasse 33, ",6440 Ingenbohl, 1215450.– ,"Balkon / Terrasse, Rollstuhlgängig, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,51,,,2025,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Fabrikstrasse 7, ",6482 Gurtnellen, 1432260.– ,"Balkon / Terrasse, Aussicht, Ruhige Lage, Kinderfreundlich, Garage, Neubau",01.10.2025,Einfamilienhaus,4.5,3,170,,,2024,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Hafenstrasse3, ",6440 Brunnen, 2089260.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,130,,,2024,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Bahnhofstrasse 33, ",6440 Ingenbohl, 1248300.– ,"Rollstuhlgängig, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,51,,,2025,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Schiller, ",6440 Brunnen, 3771180.– ,"Balkon / Terrasse, Aussicht, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,4.5,,190,,,2025,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,,6315 Oberägeri, 3482100.– ,"Balkon / Terrasse, Parkplatz, Garage, Neubau",Sofort,Einfamilienhaus,3.5,2,190,611,535,2024,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,,6442 Gersau, 1511100.– ,"Kabel-TV, Rollstuhlgängig, Parkplatz, Garage, Lift",Sofort,Wohnung,3.5,,190,2310,,2013,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,,6476 Intschi, 906660.– ,"Balkon / Terrasse, Kabel-TV, Parkplatz",Sofort,Einfamilienhaus,6,3,200,1000,923,1945,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Hagendorn, ",6332 Hagendorn, 1957860.– ,"Balkon / Terrasse, Cheminée, Parkplatz, Garage",Sofort,Mansarde,4.5,4,190,,,1986,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Lindenstrasse 13, ",6472 Erstfeld, 8146800.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Altbau",Nach Vereinbarung,Mehrfamilienhaus,,4,1480,1256,,1920,2023,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Lutisbachweg 11, ",6315 Oberägeri, 1931580.– ,"Rollstuhlgängig, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,3.5,4,58,,,2023,,9,2.5
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Lorzenparkstrasse 17, ",6330 Cham, 2352060.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Garage, Lift, Neubau, Minergie zertifiziert, Hochparterre",Sofort,Wohnung,2.5,,130,,,,,,
immobilien,schwyz?loc=geo-canton-uri%2Cgeo-canton-zug,"Lorzenparkstrasse 21, ",6330 Cham, 2746260.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau, Minergie zertifiziert",Sofort,Wohnung,3.5,,150,,,,,,
