type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
immobilien,solothurn,"Nesplenweg, ",4710 Balsthal, 1241730.– ,"Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Kabel-TV, Aussicht, Kinderfreundlich, Spielplatz, Parkplatz, Garage, Neubau",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,3,170,245,850,2024,,,
immobilien,solothurn,"Ulmenweg 14, ",4600 Olten, 1957860.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",01.03.2025,Attikawohnung,4.5,,190,,,2024,,,
immobilien,solothurn,"Längmattstrasse 11, ",4563 Gerlafingen, 1143180.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Geschirrspüler, Waschmaschine, Tumbler, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Hochparterre",Nach Vereinbarung,Wohnung,4.5,3,170,,,2024,,,
immobilien,solothurn,"Alemannenweg 11, ",4112 Hofstetten-Flüh, 1905300.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Cheminée, Aussicht, Rauchen erlaubt, Ruhige Lage, Kinderfreundlich, Parkplatz, Swimmingpool, Neubau, Hochparterre, Stromanschluss, Wasseranschluss, Abwasseranschluss",01.10.2025,Doppeleinfamilienhaus,4.5,4,230,400,,2025,,,2.4
immobilien,solothurn,"Zentrumstrasse, ",4556 Aeschi SO, 959220.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Spielplatz, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert",Nach Vereinbarung,Wohnung,3.5,4,,,,2024,,,
immobilien,solothurn,"Lischmatt 6 + 8, ",4719 Ramiswil, 1130040.– ,"Haustiere erlaubt, Balkon / Terrasse, Geschirrspüler, Kabel-TV, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau, Minergie zertifiziert, Minergie Bauweise",Sofort,Einfamilienhaus,3,3,190,548,,2021,,,
immobilien,solothurn,"Längmattstrasse 11, ",4563 Gerlafingen, 1116900.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Geschirrspüler, Waschmaschine, Tumbler, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,4.5,3,170,,,2024,,,
immobilien,solothurn,"Zentrumstrasse, ",4556 Aeschi SO, 1103760.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Estrich, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Spielplatz, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert",Nach Vereinbarung,Wohnung,3.5,4,,,,2024,,,
immobilien,solothurn,"Allmendstrasse 80, ",2540 Grenchen, 466470.– ,"Balkon / Terrasse, Aussicht, Parkplatz, Neubau, Minergie zertifiziert",Nach Vereinbarung,Wohnung,3.5,,45,,,,,,
immobilien,solothurn,,4653 Obergösgen, 1307430.– ,"Aussicht, Kinderfreundlich, Garage, Neubau, Eckhaus",Nach Vereinbarung,Doppeleinfamilienhaus,4.5,2,210,313,807,2024,,,
