type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
immobilien,thurgau,"Grauensteinstrasse, ",8594 Güttingen,auf Anfrage,Neubau,Nach Vereinbarung,Attikawohnung,3.5,,,,,,,,
immobilien,thurgau,"Zollhausstrasse, ",8524 Uesslingen, 1052880.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,,130 m²,,,2023,,,
immobilien,thurgau,"Giessereistrasse, ",9320 Arbon,auf Anfrage,Neubau,Nach Vereinbarung,Wohnung,2.5,,,,,,,,
immobilien,thurgau,"Zollhausstrasse, ",8524 Uesslingen, 616320.– ,"Balkon / Terrasse, Rollstuhlgängig, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",Nach Vereinbarung,Wohnung,3.5,,37 m²,,,2023,,,
immobilien,thurgau,"Grauensteinstrasse, ",8594 Güttingen,auf Anfrage,Neubau,Nach Vereinbarung,Attikawohnung,2.5,,,,,,,,
immobilien,thurgau,"Romanshornerstrasse, ",8580 Amriswil, 820470.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Sofort,Attikawohnung,2.5,4,50 m²,,,2024,,,2.4
immobilien,thurgau,"Aachstrasse 2, ",9326 Horn, 1399560.– ,"Haustiere erlaubt, Balkon / Terrasse, Rollstuhlgängig, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,160 m²,,,2023,,,
immobilien,thurgau,"Im Dorf 18, ",8547 Gachnang, 1142760.– ,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Garage, Neubau",30.06.2025,Wohnung,2.5,3,56 m²,379 m²,,2024,,3,
immobilien,thurgau,"Dorfstrasse 14, ",8536 Hüttwilen, 892380.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",31.10.2024,Maisonette / Duplex,2.5,2,130 m²,,,2023,,,
immobilien,thurgau,"Winkelstrasse 17a, ",9553 Bettwiesen, 1572900.– ,Neubau,Nach Vereinbarung,Doppeleinfamilienhaus,3.5,,170 m²,415 m²,930 m³,2024,,,
immobilien,thurgau,"Im Dorf 18, ",8547 Gachnang, 1470180.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Garage, Neubau",30.06.2025,Maisonette / Duplex,3.5,3,230 m²,379 m²,,2024,,3,
immobilien,thurgau,"Winkelstrasse 17b, ",9553 Bettwiesen, 1534380.– ,Neubau,Nach Vereinbarung,Doppeleinfamilienhaus,3.5,,170 m²,313 m²,930 m³,2024,,,
immobilien,thurgau,"Grauensteinstrasse, ",8594 Güttingen,auf Anfrage,Neubau,Nach Vereinbarung,Wohnung,2.5,,,,,,,,
immobilien,thurgau,"Im buchfeld 8, ",8500 Frauenfeld, 1162020.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Aussicht, Rauchen erlaubt, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Stromanschluss, Wasseranschluss",31.05.2025,Wohnung,2.5,,150 m²,,,2023,,,
immobilien,thurgau,"Giessereistrasse, ",9320 Arbon,auf Anfrage,Neubau,Nach Vereinbarung,Reihenfamilienhaus,3.5,,,,,,,,
