type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,aargau?map=false&pf=1000000,"Bachstrasse 34, ",5033 Buchs AG, 1412550.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Lift",Nach Vereinbarung,Wohnung,3.5,1,190,2212,6929,2014,,,
wohnung,aargau?map=false&pf=1000000,"Alpenweg 2, ",5707 Seengen, 1511100.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Gedeckt",Nach Vereinbarung,Wohnung,3.5,,150,,,2011,,,
wohnung,aargau?map=false&pf=1000000,"Oberzelgstrasse 18, ",5612 Villmergen, 1918440.– ,"Haustiere erlaubt, Balkon / Terrasse, Aussicht, Rauchen erlaubt, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",Sofort,Attikawohnung,3.5,,190,,,2024,,,2.5
wohnung,aargau?map=false&pf=1000000,"Oberzelgstrasse 18, ",5612 Villmergen, 1524240.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",Sofort,Wohnung,4.5,,180,,,2024,,,2.5
wohnung,aargau?map=false&pf=1000000,"Oberzelgstrasse 18, ",5612 Villmergen, 1524240.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",Sofort,Wohnung,4.5,,180,,,2024,,,2.5
wohnung,aargau?map=false&pf=1000000,"Oberzelgstrasse 16, ",5612 Villmergen, 1787040.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Aussicht, Rauchen erlaubt, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",Sofort,Attikawohnung,3.5,,170,,,2024,,,2.5
wohnung,aargau?map=false&pf=1000000,"Parkweg 1, ",4665 Oftringen, 1432260.– ,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Waschmaschine, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Altbau",Nach Vereinbarung,Attikawohnung,3.5,1,180,,348,2010,2021,,
wohnung,aargau?map=false&pf=1000000,"Landstrasse 54, ",5415 Rieden, 1813320.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Lift",Nach Vereinbarung,Terrassenwohnung,2.5,,150,,,2018,,,
wohnung,aargau?map=false&pf=1000000,"Sageweid 4, ",5646 Abtwil AG, 1563660.– ,,Nach Vereinbarung,Attikawohnung,3.5,,,,,2012,,6,
wohnung,aargau?map=false&pf=1000000,"Bachstrasse 111, ",5000 Aarau,auf Anfrage,,Nach Vereinbarung,Attikawohnung,4.5,,280,,,1990,,,
wohnung,aargau?map=false&pf=1000000,"Sennhofstrasse 2, ",5454 Bellikon, 2522880.– ,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Waschmaschine, Kabel-TV, Cheminée, Aussicht, Garage, Swimmingpool",Nach Vereinbarung,Terrassenwohnung,3.5,4,230,,,2007,,,
wohnung,aargau?map=false&pf=1000000,"Letzigasse 2, ",4800 Zofingen, 1563660.– ,Lift,Sofort,Wohnung,4.5,1,240,,,1993,2012,,2.4
wohnung,aargau?map=false&pf=1000000,"Floraweg 10, ",5734 Reinach AG,auf Anfrage,"Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Wohnung,4,,180,,,1974,2018,,
wohnung,aargau?map=false&pf=1000000,"Schartenstrasse 10, ",5400 Baden, 2207520.– ,"Balkon / Terrasse, Aussicht, Garage, Lift",Sofort,Attikawohnung,4.5,2,200,,,2001,,,
wohnung,aargau?map=false&pf=1000000,,5642 Mühlau, 1392840.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,4.5,,200,,,2025,,,
wohnung,aargau?map=false&pf=1000000,"Hardstrasse 6, ",5432 Neuenhof, 1576800.– ,"Balkon / Terrasse, Rollstuhlgängig, Parkplatz, Lift, Neubau",01.04.2026,Wohnung,4.5,,160,,,2024,,,
wohnung,aargau?map=false&pf=1000000,"Dorfstrasse 17, ",5102 Rupperswil, 1938150.– ,"Balkon / Terrasse, Garage",Nach Vereinbarung,Attikawohnung,4.5,,270,,,2007,,,
wohnung,aargau?map=false&pf=1000000,"Tägerhardstrasse 63, ",5430 Wettingen, 2102400.– ,"Balkon / Terrasse, Cheminée, Kinderfreundlich, Garage, Lift",Nach Vereinbarung,Attikawohnung,4.5,3,240,,,2005,,,
wohnung,aargau?map=false&pf=1000000,"Landstrasse 79, ",5430 Wettingen, 1511100.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Garage, Lift",Nach Vereinbarung,Terrassenwohnung,3.5,,,,,1970,,,
wohnung,aargau?map=false&pf=1000000,"Dättwilerstrasse 46, ",5405 Baden, 1905300.– ,"Balkon / Terrasse, Rollstuhlgängig, Garage",Nach Vereinbarung,Attikawohnung,3.5,3,150,,,2024,,,
wohnung,aargau?map=false&pf=1000000,"Bündtlistrasse 2, ",5707 Seengen, 1944720.– ,"Balkon / Terrasse, Kinderfreundlich, Garage, Lift",Nach Vereinbarung,Attikawohnung,4.5,2,240,,,2012,,,
wohnung,aargau?map=false&pf=1000000,"Steinfeldstrasse 8, ",5033 Buchs AG, 1570230.– ,"Haustiere erlaubt, Balkon / Terrasse, Parkplatz, Lift, Minergie Bauweise",Nach Vereinbarung,Wohnung,3.5,,160,,,2013,,,
wohnung,aargau?map=false&pf=1000000,"Rossweid 3, ",5643 Sins, 2562300.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Aussicht, Kinderfreundlich, Parkplatz, Garage, Lift",Sofort,Attikawohnung,4.5,,190,,,2009,2024,,
wohnung,aargau?map=false&pf=1000000,"Hinterer Kirchweg 2B, ",5076 Bözen,auf Anfrage,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Kinderfreundlich, Garage, Lift, Minergie zertifiziert, Hochparterre",Nach Vereinbarung,Wohnung,3.5,,,,,2019,,,
wohnung,aargau?map=false&pf=1000000,"Meisterschwanden, ",5616 Meisterschwanden, 1773900.– ,"Balkon / Terrasse, Aussicht, Parkplatz, Garage, Lift",Nach Vereinbarung,Attikawohnung,2.5,3,130,,,2021,,,
wohnung,aargau?map=false&pf=1000000,"Landstrasse 107c, ",5430 Wettingen, 1412550.– ,"Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Lift",Nach Vereinbarung,Wohnung,3.5,,130,743,5117,2007,,9,
wohnung,aargau?map=false&pf=1000000,"Dättwilerstrasse 7a, ",5405 Dättwil, 1373130.– ,Parkplatz,Nach Vereinbarung,Attikawohnung,3.5,,140,,,2012,,,
wohnung,aargau?map=false&pf=1000000,"Aarauerstrasse 10, ",5600 Lenzburg,auf Anfrage,,Nach Vereinbarung,Wohnung,4.5,3,230,,,2008,,6,
wohnung,aargau?map=false&pf=1000000,"Wolfeggstrasse 5, ",8967 Widen, 3133890.– ,"Aussicht, Parkplatz, Garage, Lift, Swimmingpool",Nach Vereinbarung,Attikawohnung,3.5,,190,,,2016,,,
wohnung,aargau?map=false&pf=1000000,"Unterdorfstrasse 5, ",5621 Zufikon, 1445400.– ,,Sofort,Maisonette / Duplex,3.5,,200,,,1998,,,
wohnung,aargau?map=false&pf=1000000,"Baumattstrasse 10e, ",4813 Uerkheim, 1905300.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Rollstuhlgängig, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert",01.10.2025,Terrassenwohnung,4,2,290,,,2025,,,
wohnung,aargau?map=false&pf=1000000,"Baumattstrasse 8f, ",4813 Uerkheim, 1642500.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Rollstuhlgängig, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert",01.08.2025,Terrassenwohnung,4.5,1,180,,,2024,,,
wohnung,aargau?map=false&pf=1000000,,5210 Windisch, 3278430.– ,"Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Lift",Nach Vereinbarung,Wohnung,4.5,2,620,,,1835,2002,,
wohnung,aargau?map=false&pf=1000000,"Sonnengasse 6, ",5313 Klingnau, 1511100.– ,"Rollstuhlgängig, Parkplatz, Lift",Nach Vereinbarung,Wohnung,2.5,4,230,,,1970,2020,,2.8
wohnung,aargau?map=false&pf=1000000,"Parkweg, ",4852 Rothrist, 1432260.– ,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Waschmaschine, Rauchen erlaubt, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise, Stromanschluss, Wasseranschluss",01.09.2025,Wohnung,4.5,3,190,,,2024,,,
wohnung,aargau?map=false&pf=1000000,"Schlossberg 17, ",5454 Bellikon, 1964430.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift",Sofort,Attikawohnung,3.5,,210,,,2004,,,
wohnung,aargau?map=false&pf=1000000,"Rudolfstetten, ",8964 Rudolfstetten,auf Anfrage,"Cheminée, Aussicht, Parkplatz, Garage, Lift",Nach Vereinbarung,Wohnung,3.5,4,170,,,1972,,,
wohnung,aargau?map=false&pf=1000000,"Sonnhalde, ",8966 Oberwil-Lieli, 2890800.– ,Neubau,Nach Vereinbarung,Wohnung,4.5,,210,,,,,,2.55
wohnung,aargau?map=false&pf=1000000,"Bahnhofstrasse 23, ",8965 Berikon, 1425690.– ,,Nach Vereinbarung,Wohnung,2.5,,70,,,2019,,,2.49
