type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,bern?map=false&pf=800000,"Gillenauweg 5, ",3177 Laupen BE,auf Anfrage,"Aussicht, Kinderfreundlich, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,3.5,,160,,,2024,,,
wohnung,bern?map=false&pf=800000,"Sägegasse 26c, ",3110 Münsingen, 1366560.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Garage, Lift, Neubau",30.08.2025,Wohnung,3.5,3,150,,,2024,,,
wohnung,bern?map=false&pf=800000,"Unterweg 25, ",3302 Moosseedorf, 1701630.– ,"Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,4.5,,200,,,2025,,,
wohnung,bern?map=false&pf=800000,"Unterweg 25, ",3302 Moosseedorf, 1379700.– ,"Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,160,,,2025,,,
wohnung,bern?map=false&pf=800000,"Gillenauweg 5, ",3177 Laupen BE,auf Anfrage,"Aussicht, Kinderfreundlich, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,3.5,,53,,,2024,,,
wohnung,bern?map=false&pf=800000,"Lilienweg 7, ",3426 Aefligen, 1248300.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,170,,,2024,,,
wohnung,bern?map=false&pf=800000,"Lilienweg 7, ",3426 Aefligen, 1248300.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,4.5,,170,,,2024,,,
wohnung,bern?map=false&pf=800000,"Weissensteinstrasse, ",3427 Utzenstorf,auf Anfrage,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,4.5,,190,,,2024,,,
wohnung,bern?map=false&pf=800000,"Zeughausstrasse 2, ",3714 Frutigen,auf Anfrage,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,4.5,,170,,,2024,,,
wohnung,bern?map=false&pf=800000,"Karl Haueter-Strasse 15b, ",3770 Zweisimmen, 1287720.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",01.07.2025,Wohnung,3.5,,160,,,2025,,,
wohnung,bern?map=false&pf=800000,"Bäraustrasse 73a, ",3552 Bärau, 1261440.– ,"Balkon / Terrasse, Reduit, Geschirrspüler, Waschmaschine, Aussicht, Kinderfreundlich, Parkplatz, Garage, Neubau, Stromanschluss, Wasseranschluss, Abwasseranschluss",Nach Vereinbarung,Attikawohnung,4.5,2,190,,,2024,,,
wohnung,bern?map=false&pf=800000,"Landhausweg 1, ",4922 Thunstetten, 2388850.– ,"Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Waschmaschine, Tumbler, Kabel-TV, Cheminée, Aussicht, Rollstuhlgängig, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,4.5,3,310,,,2023,,,
wohnung,bern?map=false&pf=800000,"Schulstrasse 4, ",3414 Oberburg, 1359990.– ,"Haustiere erlaubt, Balkon / Terrasse, Mit Gartenhaus, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Bauland erschlossen, Neubau",Nach Vereinbarung,Wohnung,4.5,,190,,,2024,,,
wohnung,bern?map=false&pf=800000,"Wiesenweg 11, ",4536 Attiswil,auf Anfrage,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Sofort,Wohnung,3.5,,180,,,2013,,,
wohnung,bern?map=false&pf=800000,,3600 Thun, 1169460.– ,"Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Spielplatz, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert",01.12.2025,Wohnung,3.5,8,150,,,2025,,,2.5
wohnung,bern?map=false&pf=800000,,3645 Gwatt (Thun),auf Anfrage,"Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",Sofort,Terrassenwohnung,3.5,1,200,2976,,2024,,,
wohnung,bern?map=false&pf=800000,"Meisenweg 4, ",3073 Gümligen, 1392840.– ,"Balkon / Terrasse, Kabel-TV, Cheminée, Kinderfreundlich, Parkplatz, Lift",Nach Vereinbarung,Dachwohnung,2.5,4,160,,,1992,2019,,
wohnung,bern?map=false&pf=800000,"Müheldorfstrasse 1, ",3018 Bern, 2233800.– ,"Balkon / Terrasse, Rollstuhlgängig, Parkplatz, Garage, Lift",Sofort,Wohnung,16,,620,,,1974,2023,,
wohnung,bern?map=false&pf=800000,"Blattistrasse 7, ",3775 Lenk, 1274580.– ,"Balkon / Terrasse, Aussicht, Parkplatz, Garage, Neubau",Nach Vereinbarung,Maisonette / Duplex,2.5,2,65,,,2016,2019,,
wohnung,bern?map=false&pf=800000,"Gabelacher, ",3323 Bäriswil BE, 1392840.– ,"Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Spielplatz, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,170,,,,,,
wohnung,bern?map=false&pf=800000,"Freiburgstrasse 915, ",3174 Köniz, 1169460.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,140,,274,2024,,,2.4
wohnung,bern?map=false&pf=800000,"Burgersriedstrasse 6, ",2555 Brügg, 1484820.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Attikawohnung,3.5,,130,,,2024,,,2.4
wohnung,bern?map=false&pf=800000,"Schulstrasse 4, ",3414 Oberburg, 1438830.– ,"Haustiere erlaubt, Balkon / Terrasse, Mit Gartenhaus, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Bauland erschlossen, Neubau",Nach Vereinbarung,Wohnung,3.5,,190,,,2024,,,
wohnung,bern?map=false&pf=800000,"Bernstrasse 48, ",3125 Toffen, 1097190.– ,"Balkon / Terrasse, Keller, Estrich, Reduit, Geschirrspüler, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Kinderfreundlich, Spielplatz, Garage, Lift, Neubau, Minergie zertifiziert",Nach Vereinbarung,Dachwohnung,3.5,,160,,,2023,,,
wohnung,bern?map=false&pf=800000,"Neubrückstrasse 11, ",2555 Brügg BE, 3613500.– ,"Haustiere erlaubt, Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,4,,290,,,,,,
