type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,freiburg?map=false&pf=700000,"wilerstrasse 5, ",1796 Gurwolf, 1166830.– ,"Balkon / Terrasse, Aussicht, Garage, Altbau, Minergie zertifiziert, Minergie Bauweise",Nach Vereinbarung,Maisonette / Duplex,3.5,2,68,,,1725,2025,,
wohnung,freiburg?map=false&pf=700000,"Route d'Essert 31, ",1733 Treyvaux, 1044630.– ,"Haustiere erlaubt, Balkon / Terrasse, Waschmaschine, Aussicht, Rollstuhlgängig, Ruhige Lage, Parkplatz, Lift, Neubau",Sofort,Attikawohnung,3.5,,130,,,2024,,,
wohnung,freiburg?map=false&pf=700000,,1726 Grenilles, 919800.– ,"Aussicht, Neubau",Sofort,Maisonette / Duplex,3.5,1,150,,,2023,,,
wohnung,freiburg?map=false&pf=700000,"A Marly, ",1723 Marly, 1077480.– ,"Balkon / Terrasse, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,140,,,2024,,,
wohnung,freiburg?map=false&pf=700000,"Alte Freiburgstrasse 17, ",3280 Murten, 1195740.– ,"Balkon / Terrasse, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,4,130,,,2025,,,
wohnung,freiburg?map=false&pf=700000,"Hauptstrasse 143, ",3286 Muntelier, 2338920.– ,"Balkon / Terrasse, Keller, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Spielplatz, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,3.5,3,230,,,,,,
wohnung,freiburg?map=false&pf=700000,,1680 Romont FR, 1038060.– ,"Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,150,,,2024,,,
wohnung,freiburg?map=false&pf=700000,"A Marly, ",1723 Marly, 1057770.– ,"Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,140,,,2024,,,
wohnung,freiburg?map=false&pf=700000,"Route de la Laiterie 6, ",1745 Lentigny, 1044630.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Waschmaschine, Tumbler, Kabel-TV, Cheminée, Aussicht, Rollstuhlgängig, Kinderfreundlich, Spielplatz, Parkplatz, Lift, Neubau",01.12.2024,Wohnung,3.5,3,150,,,2024,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 6, ",1753 Matran, 1156320.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,1,130,,,2022,,,
wohnung,freiburg?map=false&pf=700000,,1619 Les Paccots, 1110330.– ,"Balkon / Terrasse, Aussicht, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,67,67,,,,,
wohnung,freiburg?map=false&pf=700000,"Route de la Ria, ",1544 Gletterens, 1024920.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,140,,,2023,,,
wohnung,freiburg?map=false&pf=700000,"Route des Pervenches 7, ",1700 Fribourg, 1084050.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Lift, Neubau",30.09.2025,Wohnung,2.5,,70,,,2024,,,
wohnung,freiburg?map=false&pf=700000,,1619 Les Paccots, 1438830.– ,"Balkon / Terrasse, Aussicht, Lift, Neubau",Nach Vereinbarung,Wohnung,4.5,,160,,,,,,
wohnung,freiburg?map=false&pf=700000,"Promenade de Folliéran 11, ",1740 Neyruz FR, 998640.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,2.5,,71,,,2019,,,
wohnung,freiburg?map=false&pf=700000,"Route de la Ria, ",1544 Gletterens, 1169460.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,160,,,2023,,,
wohnung,freiburg?map=false&pf=700000,"Morat, ",3280 Morat, 965790.– ,"Cheminée, Aussicht",Sofort,Maisonette / Duplex,3.5,3,150,,,1985,,,
wohnung,freiburg?map=false&pf=700000,"Quartier Beauregard, ",1700 Fribourg, 1550520.– ,,Nach Vereinbarung,Wohnung,3.5,,170,,,2010,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 6, ",1753 Matran, 1130040.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,1,130,,,2022,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 6, ",1753 Matran, 1143180.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,1,130,,,2022,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 5, ",1753 Matran, 1130040.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,1,130,,,2022,,,
wohnung,freiburg?map=false&pf=700000,"Route du Lavapesson 11, ",1763 Granges-Paccot, 1833030.– ,Parkplatz,Nach Vereinbarung,Attikawohnung,3.5,,200,,,2018,,,
wohnung,freiburg?map=false&pf=700000,"Pré de la Vigne 12, ",1468 Cheyres, 959220.– ,"Cheminée, Aussicht, Garage",Sofort,Wohnung,2.5,,53,,,1983,2023,,
wohnung,freiburg?map=false&pf=700000,"Sonnhaldenstrasse 48, ",3210 Kerzers, 1169460.– ,"Balkon / Terrasse, Cheminée, Garage",01.06.2024,Terrassenwohnung,2.5,,150,,,2003,,,
wohnung,freiburg?map=false&pf=700000,"Route de la Singine 10, ",1700 Fribourg, 1038060.– ,"Cheminée, Garage",Sofort,Maisonette / Duplex,3.5,,170,,,,,,2.6
wohnung,freiburg?map=false&pf=700000,"Route de la Singine 10, ",1700 Fribourg, 1038060.– ,"Cheminée, Garage",Sofort,Maisonette / Duplex,3.5,,170,,,,,,2.6
wohnung,freiburg?map=false&pf=700000,"Bernstrasse 7, ",3280 Murten, 1432260.– ,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Geschirrspüler, Waschmaschine, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",01.06.2025,Wohnung,2.5,4,,,,,,,
wohnung,freiburg?map=false&pf=700000,"Oelegasse 12, ",3210 Kerzers, 1162890.– ,"Haustiere erlaubt, Balkon / Terrasse, Reduit, Waschmaschine, Kabel-TV, Cheminée, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Sofort,Wohnung,4.5,,,,,2022,,,
wohnung,freiburg?map=false&pf=700000,"Route de la Chenevière 33a, ",1763 Granges-Paccot, 1419120.– ,"Haustiere erlaubt, Balkon / Terrasse, Geschirrspüler, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie Bauweise",10.03.2025,Wohnung,3.5,3,190,,,2023,,,
wohnung,freiburg?map=false&pf=700000,"Kapelle 55, ",1718 Rechthalten, 1286400.– ,"Balkon / Terrasse, Reduit, Geschirrspüler, Waschmaschine, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert",Nach Vereinbarung,Wohnung,4.5,4,240,,529,,,,
wohnung,freiburg?map=false&pf=700000,"Agriswilstrasse 25, ",3216 Ried bei Kerzers, 1149750.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",01.08.2025,Wohnung,3.5,,180,,,2024,,,
wohnung,freiburg?map=false&pf=700000,"Kapelle 55, ",1718 Rechthalten, 1155000.– ,"Balkon / Terrasse, Reduit, Geschirrspüler, Waschmaschine, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert",Nach Vereinbarung,Wohnung,3.5,5,190,,438,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 919800.– ,,Nach Vereinbarung,Wohnung,2.5,,71,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 1130040.– ,,Nach Vereinbarung,Wohnung,3.5,,130,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 1156320.– ,,Nach Vereinbarung,Wohnung,3.5,,130,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 959220.– ,,Nach Vereinbarung,Wohnung,2.5,,72,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 946080.– ,,Nach Vereinbarung,Wohnung,2.5,,73,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 1116900.– ,,Nach Vereinbarung,Wohnung,3.5,,130,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 972360.– ,,Nach Vereinbarung,Wohnung,2.5,,73,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 1038060.– ,,Nach Vereinbarung,Wohnung,2.5,,70,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 1274580.– ,,Nach Vereinbarung,Wohnung,3.5,,150,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 1038060.– ,,Nach Vereinbarung,Wohnung,2.5,,70,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 1130040.– ,,Nach Vereinbarung,Wohnung,3.5,,130,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 1222020.– ,,Nach Vereinbarung,Wohnung,3.5,,140,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 1957860.– ,,Nach Vereinbarung,Wohnung,4.5,,170,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 1130040.– ,,Nach Vereinbarung,Wohnung,3.5,,130,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 1182600.– ,,Nach Vereinbarung,Wohnung,3.5,,140,,,,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Champ Riond 1-2-3-4-5-6, ",1753 Matran, 959220.– ,,Nach Vereinbarung,Wohnung,2.5,,73,,,,,,
wohnung,freiburg?map=false&pf=700000,"Route du Zible 8 et 10, ",1634 La Roche FR, 919800.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Sofort,Wohnung,3.5,2,160,,,2024,,,
wohnung,freiburg?map=false&pf=700000,"Rue de l'Industrie, ",1700 Fribourg, 972360.– ,"Balkon / Terrasse, Kabel-TV, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,76,,,2023,,,
wohnung,freiburg?map=false&pf=700000,"Rue de l'Industrie, ",1700 Fribourg, 1011780.– ,"Balkon / Terrasse, Kabel-TV, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,76,,,2023,,,
wohnung,freiburg?map=false&pf=700000,"Rue de l'Industrie, ",1700 Fribourg, 1169460.– ,Balkon / Terrasse,Nach Vereinbarung,Wohnung,3.5,,140,,,2023,,,
wohnung,freiburg?map=false&pf=700000,"Rue de l'Industrie, ",1700 Fribourg, 972360.– ,Balkon / Terrasse,Nach Vereinbarung,Wohnung,2.5,,75,,,2023,,,
wohnung,freiburg?map=false&pf=700000,"Rue de l'Industrie, ",1700 Fribourg, 1011780.– ,Balkon / Terrasse,Nach Vereinbarung,Wohnung,2.5,,75,,,2023,,,
wohnung,freiburg?map=false&pf=700000,"Impasse de Vulliama, ",1489 Estavayer-le-Lac, 951330.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift",Nach Vereinbarung,Wohnung,4.5,4,160,,,2026,,42,
wohnung,freiburg?map=false&pf=700000,"Impasse de Vulliama, ",1489 Estavayer-le-Lac, 961840.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift",Nach Vereinbarung,Wohnung,3.5,4,160,,,2026,,42,
wohnung,freiburg?map=false&pf=700000,"Impasse de Vulliama, ",1489 Estavayer-le-Lac, 922420.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift",Nach Vereinbarung,Wohnung,3.5,4,230,,,2026,,42,
wohnung,freiburg?map=false&pf=700000,"Impasse de Vulliama, ",1489 Estavayer-le-Lac, 944760.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift",Nach Vereinbarung,Wohnung,3.5,4,190,,,2026,,42,
