type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,tessin?map=false&pt=400000,"Via Fabrizia 12c, ",6512 Giubiasco, 522970.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Wohnung,2.5,,71,,,,,,
wohnung,tessin?map=false&pt=400000,"Via Ferrera 72, ",6612 Ascona,auf Anfrage,"Balkon / Terrasse, Aussicht, Parkplatz, Lift",Sofort,Wohnung,3,,39,,,1980,2023,,
wohnung,tessin?map=false&pt=400000,"45.848554, 9.013788, ",6834 Morbio Inferiore,auf Anfrage,"Balkon / Terrasse, Geschirrspüler, Waschmaschine, Parkplatz, Garage, Lift, Neubau, Minergie Bauweise",01.09.2024,Wohnung,,6,,,,2023,,,
wohnung,tessin?map=false&pt=400000,,6612 Ascona,auf Anfrage,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Maisonette / Duplex,4.5,4,320,,,2021,2021,,
wohnung,tessin?map=false&pt=400000,"Via Chiossascio, ",6594 Contone, 341640.– ,"Haustiere erlaubt, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Neubau",Nach Vereinbarung,Wohnung,3.5,4,32,891,,2024,,9,
wohnung,tessin?map=false&pt=400000,"Via Prati dei Mulini, ",6532 Arbedo-Castione, 525600.– ,"Balkon / Terrasse, Waschmaschine, Kabel-TV, Ruhige Lage, Parkplatz, Garage, Lift, Neubau, Stromanschluss, Wasseranschluss, Abwasseranschluss",Sofort,Wohnung,3.5,,56,,,,,,
wohnung,tessin?map=false&pt=400000,"Via Vela 4, ",6834 Morbio Inferiore, 446760.– ,"Balkon / Terrasse, Rollstuhlgängig, Ruhige Lage, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,39,,,2023,,,
wohnung,tessin?map=false&pt=400000,,6828 Balerna, 473040.– ,"Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Sofort,Wohnung,3,,39,,,2018,,,
wohnung,tessin?map=false&pt=400000,,6518 Gorduno, 519030.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,50,,,2015,,,
wohnung,tessin?map=false&pt=400000,,6616 Losone,auf Anfrage,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,3.5,,230,,,,,,
