type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,waadt?map=false&pt=700000,"Route de Lucens 2, ",1682 Prévonloup, 900090.– ,"Balkon / Terrasse, Aussicht, Lift, Neubau",Nach Vereinbarung,Wohnung,4.5,,150,,,2024,,,
wohnung,waadt?map=false&pt=700000,"Rue d'orbe 75, ",1400 Yverdon-les-Bains, 654370.– ,"Balkon / Terrasse, Lift, Neubau",Sofort,Wohnung,3.5,,34,80,,2023,,,
wohnung,waadt?map=false&pt=700000,"Rue d'orbe 75, ",1400 Yverdon-les-Bains, 696420.– ,"Balkon / Terrasse, Lift, Neubau",Sofort,Wohnung,3.5,,34,124,,2023,,,
wohnung,waadt?map=false&pt=700000,,1052 Le Mont-sur-Lausanne, 854100.– ,"Aussicht, Parkplatz, Lift, Neubau, Minergie zertifiziert",Nach Vereinbarung,Wohnung,3.5,,,,,2019,,,
wohnung,waadt?map=false&pt=700000,,1417 Epautheyres, 781830.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,59,,,2023,,,
wohnung,waadt?map=false&pt=700000,,1347 Le Sentier, 852780.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Hochparterre",Sofort,Wohnung,2.5,,61,,,2025,,,
wohnung,waadt?map=false&pt=700000,,1417 Epautheyres, 538740.– ,"Balkon / Terrasse, Rollstuhlgängig, Kinderfreundlich, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,39,,,2023,,,
wohnung,waadt?map=false&pt=700000,"Route de Lucens 2, ",1682 Prévonloup, 794970.– ,"Aussicht, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,140,,,2024,,,
wohnung,waadt?map=false&pt=700000,,1145 Bière, 839640.– ,"Aussicht, Garage, Neubau",01.04.2025,Wohnung,2.5,,58,,,2024,,,
wohnung,waadt?map=false&pt=700000,,1004 Lausanne,auf Anfrage,Neubau,01.12.2024,Wohnung,2.5,,70,14,,2023,,,
wohnung,waadt?map=false&pt=700000,,1820 Montreux, 650430.– ,"Aussicht, Lift, Neubau, Minergie zertifiziert",Nach Vereinbarung,Wohnung,3.5,5,44,,,2022,,,
wohnung,waadt?map=false&pt=700000,,1347 Le Sentier, 865920.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Sofort,Wohnung,2.5,,61,,,2025,,,
wohnung,waadt?map=false&pt=700000,"Route du flon 20, ",1610 Oron-la-Ville, 884320.– ,"Balkon / Terrasse, Kinderfreundlich, Lift, Neubau, Minergie Bauweise",27.05.2024,Wohnung,2.5,,62,,,2022,,,
wohnung,waadt?map=false&pt=700000,"Rue des Alpes 4, ",1020 Renens, 906660.– ,"Ruhige Lage, Kinderfreundlich, Parkplatz, Neubau",30.04.2025,Dachwohnung,2.5,,48,,,2024,,,
wohnung,waadt?map=false&pt=700000,,1347 Le Sentier, 879060.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Hochparterre",Sofort,Wohnung,2.5,,65,,,2025,,,
wohnung,waadt?map=false&pt=700000,,1018 Lausanne, 834390.– ,"Balkon / Terrasse, Aussicht, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,45,,,,,,
wohnung,waadt?map=false&pt=700000,"Route des Cheseaux-Dessus B5, ",1264 Saint-Cergue, 565020.– ,,Nach Vereinbarung,Wohnung,2.5,,51,,,1985,,,
wohnung,waadt?map=false&pt=700000,"Avenue de la Reine Fabiola 4, ",1854 Leysin, 840960.– ,,Nach Vereinbarung,Wohnung,3.5,,150,,,1978,,,
wohnung,waadt?map=false&pt=700000,"Avenue Centrale 191, ",1884 Arveyes, 913230.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage, Lift",Nach Vereinbarung,Wohnung,2.5,,61,,,1991,2024,,
wohnung,waadt?map=false&pt=700000,,1131 Tolochenaz, 735840.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Garage, Lift, Minergie zertifiziert",Sofort,Wohnung,3.5,,39,,,1975,2015,,
wohnung,waadt?map=false&pt=700000,"Chemin des Fleurs 6, ",1023 Crissier, 827820.– ,"Kabel-TV, Cheminée, Kinderfreundlich, Parkplatz",Nach Vereinbarung,Mansarde,3.5,1,46,,,1980,2018,,2.5
wohnung,waadt?map=false&pt=700000,,1860 Aigle, 808110.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Neubau, Altbau",Nach Vereinbarung,Maisonette / Duplex,2.5,2,63,,,1932,2024,,
wohnung,waadt?map=false&pt=700000,,1264 St-Cergue, 479610.– ,"Balkon / Terrasse, Lift",Nach Vereinbarung,Wohnung,2,,46,,,,,,
wohnung,waadt?map=false&pt=700000,,1815 Clarens, 827820.– ,"Balkon / Terrasse, Parkplatz",Nach Vereinbarung,Wohnung,3.5,,47,,,,2014,,
wohnung,waadt?map=false&pt=700000,,1884 Villars-sur-Ollon, 906660.– ,"Garage, Lift",Nach Vereinbarung,Wohnung,2.5,,57,,,,2022,,
wohnung,waadt?map=false&pt=700000,,1860 Aigle, 696420.– ,"Balkon / Terrasse, Lift",Nach Vereinbarung,Wohnung,2.5,,65,,,,,,
wohnung,waadt?map=false&pt=700000,,1031 Mex VD, 446760.– ,"Balkon / Terrasse, Neubau",Nach Vereinbarung,Studio,2,,20,,,,,,
wohnung,waadt?map=false&pt=700000,,1867 Ollon VD, 854100.– ,"Balkon / Terrasse, Aussicht, Parkplatz, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,,70,,,2023,,,
wohnung,waadt?map=false&pt=700000,"Les Terrasses de Lavaux, ",1070 Puidoux,auf Anfrage,"Balkon / Terrasse, Kabel-TV, Cheminée, Aussicht, Parkplatz, Garage, Lift, Swimmingpool, Neubau",Nach Vereinbarung,Attikawohnung,3,,730,,,2020,,,
wohnung,waadt?map=false&pt=700000,,1562 Corcelles-près-Payerne, 716130.– ,"Balkon / Terrasse, Aussicht, Kinderfreundlich, Parkplatz, Lift, Neubau",Sofort,Wohnung,2.5,,130,1664,,2023,,,
wohnung,waadt?map=false&pt=700000,,1145 Bière, 839640.– ,"Aussicht, Garage, Neubau",01.09.2025,Wohnung,2.5,,58,,,2024,,,
