type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
wohnung,zuerich?map=false&pf=1000000,"Wigarteweg 5, ",8915 Hausen am Albis, 2040480.– ,"Balkon / Terrasse, Kabel-TV, Aussicht, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,3,160 m²,,,2024,,,
wohnung,zuerich?map=false&pf=1000000,"Grossacherstrasse 16, ",8904 Aesch ZH, 2472120.– ,"Haustiere erlaubt, Balkon / Terrasse, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Dachwohnung,3.5,,170 m²,,,2024,,6,
wohnung,zuerich?map=false&pf=1000000,"Obere Mattstrasse 39, ",8712 Uerikon, 4185600.– ,"Balkon / Terrasse, Rollstuhlgängig, Garage, Lift, Bauland erschlossen, Neubau",Nach Vereinbarung,Maisonette / Duplex,3.5,3,280 m²,,,,,8,
wohnung,zuerich?map=false&pf=1000000,,8103 Unterengstringen, 2026090.– ,"Balkon / Terrasse, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,3.5,,160 m²,,,2022,,,
wohnung,zuerich?map=false&pf=1000000,,8104 Weiningen ZH, 1818120.– ,Neubau,31.05.2025,Maisonette / Duplex,2.5,,160 m²,,,,,,
wohnung,zuerich?map=false&pf=1000000,"Jakob-Fügli-Strasse 2, ",8048 Zürich, 1635000.– ,"Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Garage, Lift, Neubau",01.02.2025,Wohnung,3.5,,55 m²,,,2025,,,
wohnung,zuerich?map=false&pf=1000000,,8483 Kollbrunn, 2066640.– ,"Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Lift, Neubau",31.10.2024,Dachwohnung,4.5,,220 m²,,,,,,
wohnung,zuerich?map=false&pf=1000000,"Rieterstrasse 102, ",8002 Zürich, 4708800.– ,"Balkon / Terrasse, Waschmaschine, Rollstuhlgängig, Ruhige Lage, Garage, Lift, Neubau, Minergie zertifiziert",01.04.2026,Maisonette / Duplex,4.5,2,240 m²,,,2026,,,2.45
wohnung,zuerich?map=false&pf=1000000,,8712 Stäfa, 2289000.– ,"Balkon / Terrasse, Mit Gartenhaus, Rollstuhlgängig, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,3,170 m²,,,2025,,9,
wohnung,zuerich?map=false&pf=1000000,,8802 Kilchberg ZH, 4054800.– ,"Balkon / Terrasse, Aussicht, Rollstuhlgängig, Ruhige Lage, Garage, Lift, Neubau, Minergie Bauweise",Sofort,Terrassenwohnung,2.5,,140 m²,,,2024,,,
wohnung,zuerich?map=false&pf=1000000,"Greifenseestrasse 13, ",8603 Schwerzenbach, 1726560.– ,"Balkon / Terrasse, Rollstuhlgängig, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie zertifiziert, Minergie Bauweise",01.11.2024,Wohnung,3.5,,140 m²,,,2024,,,2.4
wohnung,zuerich?map=false&pf=1000000,,8802 Kilchberg ZH,auf Anfrage,"Balkon / Terrasse, Cheminée, Aussicht, Garage, Neubau",Nach Vereinbarung,Attikawohnung,2.5,,180 m²,,,1969,2016,,
wohnung,zuerich?map=false&pf=1000000,"Höhenweg 12, ",8824 Schönenberg ZH, 1412640.– ,"Haustiere erlaubt, Rollstuhlgängig, Garage, Lift, Neubau",01.10.2025,Dachwohnung,3.5,4,62 m²,,,2025,,4,
wohnung,zuerich?map=false&pf=1000000,"Regensbergstrasse 138, ",8050 Zürich, 2210520.– ,"Balkon / Terrasse, Aussicht, Parkplatz, Lift, Neubau, Minergie Bauweise",Nach Vereinbarung,Wohnung,2.5,,71 m²,,,2025,,,
wohnung,zuerich?map=false&pf=1000000,"Obere Mattstrasse 39, ",8713 Stäfa, 4185600.– ,"Balkon / Terrasse, Rollstuhlgängig, Lift, Neubau",Nach Vereinbarung,Maisonette / Duplex,3.5,3,280 m²,,,,,8,
